county_fips,state_abbrev,county_name,cbsa_title,nchs_code_2023,nchs_urban_rural_6,nchs_collapsed_3
01001,AL,Autauga County,"Montgomery, AL",3,medium_metro,small_medium_metro
01003,AL,Baldwin County,"Daphne-Fairhope-Foley, AL",4,small_metro,small_medium_metro
01005,AL,Barbour County,"Eufaula, AL-GA",5,micropolitan,nonmetro
01007,AL,Bibb County,"Birmingham, AL",2,large_fringe_metro,large_metro
01009,AL,Blount County,"Birmingham, AL",2,large_fringe_metro,large_metro
01011,AL,Bullock County,,6,noncore,nonmetro
01013,AL,Butler County,,6,noncore,nonmetro
01015,AL,Calhoun County,"Anniston-Oxford, AL",4,small_metro,small_medium_metro
01017,AL,Chambers County,"LaGrange, GA-AL",5,micropolitan,nonmetro
01019,AL,Cherokee County,,6,noncore,nonmetro
01021,AL,Chilton County,"Birmingham, AL",2,large_fringe_metro,large_metro
01023,AL,Choctaw County,,6,noncore,nonmetro
01025,AL,Clarke County,,6,noncore,nonmetro
01027,AL,Clay County,,6,noncore,nonmetro
01029,AL,Cleburne County,,6,noncore,nonmetro
01031,AL,Coffee County,"Enterprise, AL",5,micropolitan,nonmetro
01033,AL,Colbert County,"Florence-Muscle Shoals, AL",4,small_metro,small_medium_metro
01035,AL,Conecuh County,,6,noncore,nonmetro
01037,AL,Coosa County,"Talladega-Sylacauga, AL",5,micropolitan,nonmetro
01039,AL,Covington County,,6,noncore,nonmetro
01041,AL,Crenshaw County,,6,noncore,nonmetro
01043,AL,Cullman County,"Cullman, AL",5,micropolitan,nonmetro
01045,AL,Dale County,"Ozark, AL",5,micropolitan,nonmetro
01047,AL,Dallas County,"Selma, AL",5,micropolitan,nonmetro
01049,AL,DeKalb County,"Fort Payne, AL",5,micropolitan,nonmetro
01051,AL,Elmore County,"Montgomery, AL",3,medium_metro,small_medium_metro
01053,AL,Escambia County,,6,noncore,nonmetro
01055,AL,Etowah County,"Gadsden, AL",4,small_metro,small_medium_metro
01057,AL,Fayette County,,6,noncore,nonmetro
01059,AL,Franklin County,"Russellville, AL",5,micropolitan,nonmetro
01061,AL,Geneva County,"Dothan, AL",4,small_metro,small_medium_metro
01063,AL,Greene County,"Tuscaloosa, AL",3,medium_metro,small_medium_metro
01065,AL,Hale County,"Tuscaloosa, AL",3,medium_metro,small_medium_metro
01067,AL,Henry County,"Dothan, AL",4,small_metro,small_medium_metro
01069,AL,Houston County,"Dothan, AL",4,small_metro,small_medium_metro
01071,AL,Jackson County,"Scottsboro, AL",5,micropolitan,nonmetro
01073,AL,Jefferson County,"Birmingham, AL",2,large_fringe_metro,large_metro
01075,AL,Lamar County,,6,noncore,nonmetro
01077,AL,Lauderdale County,"Florence-Muscle Shoals, AL",4,small_metro,small_medium_metro
01079,AL,Lawrence County,"Decatur, AL",4,small_metro,small_medium_metro
01081,AL,Lee County,"Auburn-Opelika, AL",4,small_metro,small_medium_metro
01083,AL,Limestone County,"Huntsville, AL",3,medium_metro,small_medium_metro
01085,AL,Lowndes County,"Montgomery, AL",3,medium_metro,small_medium_metro
01087,AL,Macon County,"Auburn-Opelika, AL",4,small_metro,small_medium_metro
01089,AL,Madison County,"Huntsville, AL",3,medium_metro,small_medium_metro
01091,AL,Marengo County,,6,noncore,nonmetro
01093,AL,Marion County,,6,noncore,nonmetro
01095,AL,Marshall County,"Albertville, AL",5,micropolitan,nonmetro
01097,AL,Mobile County,"Mobile, AL",3,medium_metro,small_medium_metro
01099,AL,Monroe County,,6,noncore,nonmetro
01101,AL,Montgomery County,"Montgomery, AL",3,medium_metro,small_medium_metro
01103,AL,Morgan County,"Decatur, AL",4,small_metro,small_medium_metro
01105,AL,Perry County,,6,noncore,nonmetro
01107,AL,Pickens County,"Tuscaloosa, AL",3,medium_metro,small_medium_metro
01109,AL,Pike County,"Troy, AL",5,micropolitan,nonmetro
01111,AL,Randolph County,,6,noncore,nonmetro
01113,AL,Russell County,"Columbus, GA-AL",3,medium_metro,small_medium_metro
01115,AL,St. Clair County,"Birmingham, AL",2,large_fringe_metro,large_metro
01117,AL,Shelby County,"Birmingham, AL",2,large_fringe_metro,large_metro
01119,AL,Sumter County,,6,noncore,nonmetro
01121,AL,Talladega County,"Talladega-Sylacauga, AL",5,micropolitan,nonmetro
01123,AL,Tallapoosa County,"Alexander City, AL",5,micropolitan,nonmetro
01125,AL,Tuscaloosa County,"Tuscaloosa, AL",3,medium_metro,small_medium_metro
01127,AL,Walker County,"Birmingham, AL",2,large_fringe_metro,large_metro
01129,AL,Washington County,,6,noncore,nonmetro
01131,AL,Wilcox County,,6,noncore,nonmetro
01133,AL,Winston County,,6,noncore,nonmetro
02013,AK,Aleutians East Borough,,6,noncore,nonmetro
02016,AK,Aleutians West Census Area,,6,noncore,nonmetro
02020,AK,Anchorage Municipality,"Anchorage, AK",3,medium_metro,small_medium_metro
02050,AK,Bethel Census Area,,6,noncore,nonmetro
02060,AK,Bristol Bay Borough,,6,noncore,nonmetro
02063,AK,Chugach Census Area,,6,noncore,nonmetro
02066,AK,Copper River Census Area,,6,noncore,nonmetro
02068,AK,Denali Borough,,6,noncore,nonmetro
02070,AK,Dillingham Census Area,,6,noncore,nonmetro
02090,AK,Fairbanks North Star Borough,"Fairbanks-College, AK",4,small_metro,small_medium_metro
02100,AK,Haines Borough,,6,noncore,nonmetro
02105,AK,Hoonah-Angoon Census Area,,6,noncore,nonmetro
02110,AK,Juneau City and Borough,"Juneau, AK",5,micropolitan,nonmetro
02122,AK,Kenai Peninsula Borough,,6,noncore,nonmetro
02130,AK,Ketchikan Gateway Borough,"Ketchikan, AK",5,micropolitan,nonmetro
02150,AK,Kodiak Island Borough,,6,noncore,nonmetro
02158,AK,Kusilvak Census Area,,6,noncore,nonmetro
02164,AK,Lake and Peninsula Borough,,6,noncore,nonmetro
02170,AK,Matanuska-Susitna Borough,"Anchorage, AK",3,medium_metro,small_medium_metro
02180,AK,Nome Census Area,,6,noncore,nonmetro
02185,AK,North Slope Borough,,6,noncore,nonmetro
02188,AK,Northwest Arctic Borough,,6,noncore,nonmetro
02195,AK,Petersburg Census Area,,6,noncore,nonmetro
02198,AK,Prince of Wales-Hyder Census Area,,6,noncore,nonmetro
02220,AK,Sitka City and Borough,,6,noncore,nonmetro
02230,AK,Skagway Municipality,,6,noncore,nonmetro
02240,AK,Southeast Fairbanks Census Area,,6,noncore,nonmetro
02275,AK,Wrangell City and Borough,,6,noncore,nonmetro
02282,AK,Yakutat City and Borough,,6,noncore,nonmetro
02290,AK,Yukon-Koyukuk Census Area,,6,noncore,nonmetro
04001,AZ,Apache County,,6,noncore,nonmetro
04003,AZ,Cochise County,"Sierra Vista-Douglas, AZ",4,small_metro,small_medium_metro
04005,AZ,Coconino County,"Flagstaff, AZ",4,small_metro,small_medium_metro
04007,AZ,Gila County,"Payson, AZ",5,micropolitan,nonmetro
04009,AZ,Graham County,"Safford, AZ",5,micropolitan,nonmetro
04011,AZ,Greenlee County,,6,noncore,nonmetro
04012,AZ,La Paz County,,6,noncore,nonmetro
04013,AZ,Maricopa County,"Phoenix-Mesa-Chandler, AZ",1,large_central_metro,large_metro
04015,AZ,Mohave County,"Lake Havasu City-Kingman, AZ",4,small_metro,small_medium_metro
04017,AZ,Navajo County,"Show Low, AZ",5,micropolitan,nonmetro
04019,AZ,Pima County,"Tucson, AZ",1,large_central_metro,large_metro
04021,AZ,Pinal County,"Phoenix-Mesa-Chandler, AZ",2,large_fringe_metro,large_metro
04023,AZ,Santa Cruz County,"Nogales, AZ",5,micropolitan,nonmetro
04025,AZ,Yavapai County,"Prescott Valley-Prescott, AZ",4,small_metro,small_medium_metro
04027,AZ,Yuma County,"Yuma, AZ",4,small_metro,small_medium_metro
05001,AR,Arkansas County,,6,noncore,nonmetro
05003,AR,Ashley County,,6,noncore,nonmetro
05005,AR,Baxter County,"Mountain Home, AR",5,micropolitan,nonmetro
05007,AR,Benton County,"Fayetteville-Springdale-Rogers, AR",3,medium_metro,small_medium_metro
05009,AR,Boone County,"Harrison, AR",5,micropolitan,nonmetro
05011,AR,Bradley County,,6,noncore,nonmetro
05013,AR,Calhoun County,"Camden, AR",5,micropolitan,nonmetro
05015,AR,Carroll County,,6,noncore,nonmetro
05017,AR,Chicot County,,6,noncore,nonmetro
05019,AR,Clark County,"Arkadelphia, AR",5,micropolitan,nonmetro
05021,AR,Clay County,,6,noncore,nonmetro
05023,AR,Cleburne County,,6,noncore,nonmetro
05025,AR,Cleveland County,"Pine Bluff, AR",5,micropolitan,nonmetro
05027,AR,Columbia County,"Magnolia, AR",5,micropolitan,nonmetro
05029,AR,Conway County,,6,noncore,nonmetro
05031,AR,Craighead County,"Jonesboro, AR",4,small_metro,small_medium_metro
05033,AR,Crawford County,"Fort Smith, AR-OK",4,small_metro,small_medium_metro
05035,AR,Crittenden County,"Memphis, TN-MS-AR",2,large_fringe_metro,large_metro
05037,AR,Cross County,,6,noncore,nonmetro
05039,AR,Dallas County,,6,noncore,nonmetro
05041,AR,Desha County,,6,noncore,nonmetro
05043,AR,Drew County,,6,noncore,nonmetro
05045,AR,Faulkner County,"Little Rock-North Little Rock-Conway, AR",3,medium_metro,small_medium_metro
05047,AR,Franklin County,,6,noncore,nonmetro
05049,AR,Fulton County,,6,noncore,nonmetro
05051,AR,Garland County,"Hot Springs, AR",4,small_metro,small_medium_metro
05053,AR,Grant County,"Little Rock-North Little Rock-Conway, AR",3,medium_metro,small_medium_metro
05055,AR,Greene County,"Paragould, AR",5,micropolitan,nonmetro
05057,AR,Hempstead County,,6,noncore,nonmetro
05059,AR,Hot Spring County,"Malvern, AR",5,micropolitan,nonmetro
05061,AR,Howard County,,6,noncore,nonmetro
