county_fips,state_abbrev,county_name,rucc_code,rucc_description,rucc_population_2020,rucc_collapsed,metro_nonmetro,rucc_nonmetro_binary
01001,AL,Autauga County,2,"Metro - Counties in metro areas of 250,000 to 1 million population",58805,rucc_metro_250k_1m,metro,0
01003,AL,Baldwin County,3,"Metro - Counties in metro areas of fewer than 250,000 population",231767,rucc_metro_lt250k,metro,0
01005,AL,Barbour County,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",25223,rucc_nonmetro_adjacent,nonmetro,1
01007,AL,Bibb County,1,Metro - Counties in metro areas of 1 million population or more,22293,rucc_metro_1m_plus,metro,0
01009,AL,Blount County,1,Metro - Counties in metro areas of 1 million population or more,59134,rucc_metro_1m_plus,metro,0
01011,AL,Bullock County,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",10357,rucc_nonmetro_adjacent,nonmetro,1
01013,AL,Butler County,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",19051,rucc_nonmetro_adjacent,nonmetro,1
01015,AL,Calhoun County,3,"Metro - Counties in metro areas of fewer than 250,000 population",116441,rucc_metro_lt250k,metro,0
01017,AL,Chambers County,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",34772,rucc_nonmetro_adjacent,nonmetro,1
01019,AL,Cherokee County,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",24971,rucc_nonmetro_adjacent,nonmetro,1
01021,AL,Chilton County,1,Metro - Counties in metro areas of 1 million population or more,45014,rucc_metro_1m_plus,metro,0
01023,AL,Choctaw County,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",12665,rucc_nonmetro_nonadjacent,nonmetro,1
01025,AL,Clarke County,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",23087,rucc_nonmetro_nonadjacent,nonmetro,1
01027,AL,Clay County,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",14236,rucc_nonmetro_nonadjacent,nonmetro,1
01029,AL,Cleburne County,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",15056,rucc_nonmetro_adjacent,nonmetro,1
01031,AL,Coffee County,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",53465,rucc_nonmetro_adjacent,nonmetro,1
01033,AL,Colbert County,3,"Metro - Counties in metro areas of fewer than 250,000 population",57227,rucc_metro_lt250k,metro,0
01035,AL,Conecuh County,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",11597,rucc_nonmetro_nonadjacent,nonmetro,1
01037,AL,Coosa County,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",10387,rucc_nonmetro_adjacent,nonmetro,1
01039,AL,Covington County,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",37570,rucc_nonmetro_adjacent,nonmetro,1
01041,AL,Crenshaw County,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",13194,rucc_nonmetro_adjacent,nonmetro,1
01043,AL,Cullman County,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",87866,rucc_nonmetro_adjacent,nonmetro,1
01045,AL,Dale County,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",49326,rucc_nonmetro_adjacent,nonmetro,1
01047,AL,Dallas County,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",38462,rucc_nonmetro_adjacent,nonmetro,1
01049,AL,DeKalb County,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",71608,rucc_nonmetro_adjacent,nonmetro,1
01051,AL,Elmore County,2,"Metro - Counties in metro areas of 250,000 to 1 million population",87977,rucc_metro_250k_1m,metro,0
01053,AL,Escambia County,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",36757,rucc_nonmetro_adjacent,nonmetro,1
01055,AL,Etowah County,3,"Metro - Counties in metro areas of fewer than 250,000 population",103436,rucc_metro_lt250k,metro,0
01057,AL,Fayette County,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",16321,rucc_nonmetro_adjacent,nonmetro,1
01059,AL,Franklin County,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",32113,rucc_nonmetro_adjacent,nonmetro,1
01061,AL,Geneva County,3,"Metro - Counties in metro areas of fewer than 250,000 population",26659,rucc_metro_lt250k,metro,0
01063,AL,Greene County,2,"Metro - Counties in metro areas of 250,000 to 1 million population",7730,rucc_metro_250k_1m,metro,0
01065,AL,Hale County,2,"Metro - Counties in metro areas of 250,000 to 1 million population",14785,rucc_metro_250k_1m,metro,0
