county_fips,state_fips,state,state_abbrev,county_name,svi_overall,svi_theme1,svi_theme2,svi_theme3,svi_theme4,svi_total_flags,svi_ep_poverty_150,svi_ep_uninsured,svi_ep_age65,svi_ep_minority,svi_ep_black,svi_ep_hispanic,svi_e_totpop,svi_quartile
01001,01,Alabama,AL,Autauga County,0.2663,0.2367,0.3675,0.6354,0.2358,0,20.2,7.4,15.6,27.4,19.6,3.2,58761,Q2
01003,01,Alabama,AL,Baldwin County,0.3487,0.3433,0.2883,0.489,0.4308,1,18.3,9.3,21.2,17.7,8.3,4.8,233420,Q2
01005,01,Alabama,AL,Barbour County,0.9927,0.9399,0.9399,0.8941,0.9959,6,37.7,10.7,19.8,55.4,46.9,4.8,24877,Q4_highest
01007,01,Alabama,AL,Bibb County,0.8451,0.8893,0.4954,0.6185,0.8931,3,29.0,8.4,16.8,25.8,20.7,2.9,22251,Q4_highest
01009,01,Alabama,AL,Blount County,0.6166,0.6866,0.7884,0.413,0.3532,0,22.9,10.2,18.3,14.3,1.2,9.7,59077,Q3
01011,01,Alabama,AL,Bullock County,0.8985,0.8654,0.5138,0.9809,0.9491,6,47.4,12.2,16.6,79.4,68.9,8.8,10328,Q4_highest
01013,01,Alabama,AL,Butler County,0.6872,0.8441,0.6106,0.8661,0.217,0,33.8,11.0,21.2,49.1,44.6,1.7,18981,Q3
01015,01,Alabama,AL,Calhoun County,0.8145,0.854,0.65,0.658,0.7114,0,28.7,10.8,17.9,29.5,21.7,4.1,116162,Q4_highest
01017,01,Alabama,AL,Chambers County,0.8295,0.7171,0.5317,0.8396,0.9469,1,28.8,10.8,19.7,45.7,40.8,3.3,34612,Q4_highest
01019,01,Alabama,AL,Cherokee County,0.406,0.6077,0.6494,0.2628,0.1152,1,25.6,10.2,23.2,9.3,4.0,1.9,25069,Q2
01021,01,Alabama,AL,Chilton County,0.5336,0.5924,0.6837,0.5425,0.2698,1,22.8,11.5,16.8,20.9,9.4,8.1,45140,Q3
01023,01,Alabama,AL,Choctaw County,0.6548,0.6901,0.798,0.8151,0.2539,2,31.9,8.2,23.3,43.5,39.9,1.1,12669,Q3
01025,01,Alabama,AL,Clarke County,0.8365,0.8412,0.7264,0.8641,0.6462,2,29.7,9.5,20.4,48.8,45.4,1.5,23058,Q4_highest
01027,01,Alabama,AL,Clay County,0.6223,0.7235,0.3688,0.5269,0.5851,0,29.1,8.1,20.8,19.9,12.6,3.1,14209,Q3
01029,01,Alabama,AL,Cleburne County,0.5196,0.4938,0.6739,0.1985,0.5482,1,27.7,10.1,19.6,7.8,2.7,2.6,15144,Q3
01031,01,Alabama,AL,Coffee County,0.6802,0.6497,0.9488,0.6806,0.2323,1,26.2,10.9,17.1,31.2,16.1,8.4,53559,Q3
01033,01,Alabama,AL,Colbert County,0.4467,0.4944,0.6984,0.5644,0.16,0,23.1,7.9,20.0,22.3,16.0,3.2,57270,Q2
01035,01,Alabama,AL,Conecuh County,0.5122,0.5272,0.5332,0.8727,0.2482,2,38.6,8.6,23.4,50.3,48.0,0.7,11576,Q3
01037,01,Alabama,AL,Coosa County,0.4808,0.3513,0.328,0.7321,0.6427,2,22.2,6.2,24.4,35.8,30.2,2.7,10329,Q2
01039,01,Alabama,AL,Covington County,0.7121,0.7509,0.7821,0.4839,0.5075,0,30.1,10.3,21.7,17.5,12.3,2.0,37542,Q3
01041,01,Alabama,AL,Crenshaw County,0.685,0.7588,0.6201,0.6656,0.4575,1,28.4,8.5,19.8,30.1,22.9,2.5,13205,Q3
01043,01,Alabama,AL,Cullman County,0.4909,0.5323,0.713,0.2587,0.3341,0,23.3,10.6,18.8,9.2,1.1,4.6,88284,Q2
01045,01,Alabama,AL,Dale County,0.7766,0.8648,0.9014,0.7003,0.2736,1,29.6,10.0,17.5,32.7,20.4,7.0,49455,Q4_highest
01047,01,Alabama,AL,Dallas County,0.9189,0.9555,0.867,0.9698,0.594,4,40.8,9.5,19.4,73.0,68.7,1.1,38326,Q4_highest
01049,01,Alabama,AL,DeKalb County,0.756,0.7996,0.8139,0.5425,0.5017,2,33.6,14.6,17.3,20.9,1.5,15.4,71680,Q4_highest
01051,01,Alabama,AL,Elmore County,0.4397,0.3185,0.3869,0.6373,0.5667,0,18.7,8.2,15.8,27.6,20.8,3.1,87694,Q2
01053,01,Alabama,AL,Escambia County,0.8473,0.9462,0.7353,0.7814,0.4986,2,38.3,12.3,18.6,39.8,30.2,2.6,36755,Q4_highest
01055,01,Alabama,AL,Etowah County,0.672,0.7961,0.7544,0.574,0.2911,0,27.2,11.7,19.4,22.9,15.0,4.4,103348,Q3
01057,01,Alabama,AL,Fayette County,0.7458,0.8514,0.4788,0.4556,0.6914,3,34.5,10.1,21.2,16.1,12.7,0.4,16297,Q3
01059,01,Alabama,AL,Franklin County,0.7576,0.6675,0.9491,0.6045,0.4846,2,33.3,12.5,17.1,24.8,4.2,18.4,32011,Q4_highest
01061,01,Alabama,AL,Geneva County,0.5822,0.6729,0.6427,0.5161,0.3509,1,32.0,12.1,20.3,19.2,8.9,4.4,26647,Q3
01063,01,Alabama,AL,Greene County,0.9157,0.9211,0.8425,0.9857,0.7254,5,50.0,13.9,23.7,82.9,81.8,0.3,7706,Q4_highest
01065,01,Alabama,AL,Hale County,0.8826,0.9341,0.5072,0.9259,0.8148,7,35.9,7.0,19.7,61.6,56.8,0.2,14742,Q4_highest
01067,01,Alabama,AL,Henry County,0.6195,0.6519,0.5695,0.6726,0.4677,0,25.9,9.6,22.9,30.5,25.1,2.7,17282,Q3
01069,01,Alabama,AL,Houston County,0.7175,0.7703,0.7499,0.7251,0.3936,0,27.8,11.7,18.2,35.1,27.1,3.6,107040,Q3
01071,01,Alabama,AL,Jackson County,0.7194,0.8552,0.8136,0.328,0.3783,0,31.0,11.0,20.6,11.2,3.2,3.2,52618,Q3
01073,01,Alabama,AL,Jefferson County,0.7251,0.6802,0.6109,0.8766,0.6017,1,24.6,9.0,16.3,51.1,42.6,4.2,672265,Q3
01075,01,Alabama,AL,Lamar County,0.4731,0.5654,0.4718,0.413,0.3395,1,26.7,7.8,22.1,14.3,11.0,0.5,13885,Q2
01077,01,Alabama,AL,Lauderdale County,0.4919,0.4687,0.4219,0.4636,0.5568,0,24.4,9.5,20.1,16.6,9.7,3.0,94329,Q2
01079,01,Alabama,AL,Lawrence County,0.3624,0.4652,0.3878,0.5867,0.1833,1,27.2,9.1,18.6,23.7,10.2,2.5,33116,Q2
01081,01,Alabama,AL,Lee County,0.6446,0.5609,0.2046,0.7038,0.9023,1,27.0,8.6,12.7,33.1,22.1,3.9,175126,Q3
01083,01,Alabama,AL,Limestone County,0.3233,0.3,0.2574,0.6115,0.399,0,18.4,8.2,15.4,25.3,13.0,6.3,104199,Q2
01085,01,Alabama,AL,Lowndes County,0.9042,0.9679,0.7642,0.9755,0.5813,7,45.0,8.9,19.4,75.4,74.8,0.2,10153,Q4_highest
01087,01,Alabama,AL,Macon County,0.9656,0.9618,0.6185,0.9866,0.9765,6,36.7,11.1,20.2,83.9,78.8,2.4,19198,Q4_highest
01089,01,Alabama,AL,Madison County,0.3509,0.2813,0.3369,0.7423,0.3723,0,17.8,7.8,15.4,36.5,24.3,5.3,389781,Q2
01091,01,Alabama,AL,Marengo County,0.6691,0.5434,0.7741,0.8953,0.4932,2,32.5,9.3,19.9,55.5,50.8,2.8,19180,Q3
01093,01,Alabama,AL,Marion County,0.6946,0.8565,0.4368,0.2587,0.6507,2,30.1,11.0,20.9,9.2,3.8,2.7,29203,Q3
01095,01,Alabama,AL,Marshall County,0.6201,0.6223,0.9087,0.5425,0.2504,0,26.6,11.1,17.2,20.9,2.7,15.1,97923,Q3
01097,01,Alabama,AL,Mobile County,0.8304,0.8629,0.623,0.8212,0.7095,0,28.3,11.3,16.7,44.2,36.0,3.0,413878,Q4_highest
01099,01,Alabama,AL,Monroe County,0.7416,0.9119,0.2997,0.8473,0.4871,1,34.2,11.0,21.0,46.3,42.3,0.2,19816,Q3
