query_id,row_type,year,state,state_fips,county,county_fips,urbanization,age_group,sex,race,hispanic_origin,place_of_death,deaths_raw,deaths,death_count_status,death_count_known,death_count_suppressed,death_count_zero,population,crude_rate,rate_status,notes
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Large Central Metro,,Female,,,,7983,7983,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Large Central Metro,,Male,,,,8638,8638,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,aggregate_total,,,,,,Large Central Metro,,,,,,16621,16621,aggregate_total,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Large Fringe Metro,,Female,,,,6022,6022,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Large Fringe Metro,,Male,,,,5980,5980,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,aggregate_total,,,,,,Large Fringe Metro,,,,,,12002,12002,aggregate_total,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Medium Metro,,Female,,,,6388,6388,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Medium Metro,,Male,,,,6610,6610,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,aggregate_total,,,,,,Medium Metro,,,,,,12998,12998,aggregate_total,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Small Metro,,Female,,,,2803,2803,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Small Metro,,Male,,,,2942,2942,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,aggregate_total,,,,,,Small Metro,,,,,,5745,5745,aggregate_total,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Micropolitan (Nonmetro),,Female,,,,3096,3096,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Micropolitan (Nonmetro),,Male,,,,3153,3153,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,aggregate_total,,,,,,Micropolitan (Nonmetro),,,,,,6249,6249,aggregate_total,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,NonCore (Nonmetro),,Female,,,,2020,2020,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,NonCore (Nonmetro),,Male,,,,2190,2190,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,aggregate_total,,,,,,NonCore (Nonmetro),,,,,,4210,4210,aggregate_total,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Not Available,,Female,,,,271,271,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,urbanization,,,,,,Not Available,,Male,,,,284,284,exact,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,aggregate_total,,,,,,Not Available,,,,,,555,555,aggregate_total,True,False,False,,,not_applicable,
Q008_urbanization_sex_mc_g40_g41_2019_2024,aggregate_total,,,,,,,,,,,,58380,58380,aggregate_total,True,False,False,,,not_applicable,
