query_id,row_type,year,state,state_fips,county,county_fips,urbanization,age_group,sex,race,hispanic_origin,place_of_death,deaths_raw,deaths,death_count_status,death_count_known,death_count_suppressed,death_count_zero,population,crude_rate,rate_status,notes
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Central Metro,,,American Indian or Alaska Native,,,105,105.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Central Metro,,,Asian,,,626,626.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Central Metro,,,Black or African American,,,5074,5074.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Central Metro,,,Native Hawaiian or Other Pacific Islander,,,50,50.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Central Metro,,,White,,,10560,10560.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Central Metro,,,More than one race,,,206,206.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Central Metro,,,Not Available,,,0,0.0,zero,True,False,True,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Fringe Metro,,,American Indian or Alaska Native,,,49,49.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Fringe Metro,,,Asian,,,291,291.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Fringe Metro,,,Black or African American,,,2491,2491.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Fringe Metro,,,Native Hawaiian or Other Pacific Islander,,,13,13.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Fringe Metro,,,White,,,9069,9069.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Fringe Metro,,,More than one race,,,89,89.0,exact,True,False,False,,,not_applicable,
Q009a_urbanization_race6_mc_g40_g41_2019_2024,urbanization,,,,,,Large Fringe Metro,,,Not Available,,,0,0.0,zero,True,False,True,,,not_applicable,
