query_id,row_type,year,state,state_fips,county,county_fips,urbanization,age_group,sex,race,hispanic_origin,place_of_death,deaths_raw,deaths,death_count_status,death_count_known,death_count_suppressed,death_count_zero,population,crude_rate,rate_status,notes
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2019,,,,,Large Central Metro,,,,,,0,0.0,zero,True,False,True,101468636.0,0.0,known_or_blank,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2020,,,,,Large Central Metro,,,,,,172,172.0,exact,True,False,False,101630353.0,0.2,known_or_blank,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2021,,,,,Large Central Metro,,,,,,161,161.0,exact,True,False,False,101641938.0,0.2,known_or_blank,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2022,,,,,Large Central Metro,,,,,,139,139.0,exact,True,False,False,,,not_applicable,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2023,,,,,Large Central Metro,,,,,,61,61.0,exact,True,False,False,,,not_applicable,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2024,,,,,Large Central Metro,,,,,,33,33.0,exact,True,False,False,,,not_applicable,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,aggregate_total,,,,,,Large Central Metro,,,,,,566,566.0,aggregate_total,True,False,False,,,not_applicable,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2019,,,,,Large Fringe Metro,,,,,,0,0.0,zero,True,False,True,81975902.0,0.0,known_or_blank,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2020,,,,,Large Fringe Metro,,,,,,106,106.0,exact,True,False,False,82574901.0,0.1,known_or_blank,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2021,,,,,Large Fringe Metro,,,,,,114,114.0,exact,True,False,False,83968087.0,0.1,known_or_blank,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2022,,,,,Large Fringe Metro,,,,,,88,88.0,exact,True,False,False,,,not_applicable,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2023,,,,,Large Fringe Metro,,,,,,44,44.0,exact,True,False,False,,,not_applicable,
Q010_urbanization_year_mc_g40_g41_and_u071_2019_2024,urbanization,2024,,,,,Large Fringe Metro,,,,,,32,32.0,exact,True,False,False,,,not_applicable,
