query_id,row_type,year,state,state_fips,county,county_fips,urbanization,age_group,sex,race,hispanic_origin,place_of_death,deaths_raw,deaths,death_count_status,death_count_known,death_count_suppressed,death_count_zero,population,crude_rate,rate_status,notes
Q011_state_year_uc_g40_g41_2019_2024,state,2019,Alabama,01,,,,,,,,,50,50.0,exact,True,False,False,4903185,1.0,known_or_blank,
Q011_state_year_uc_g40_g41_2019_2024,state,2020,Alabama,01,,,,,,,,,52,52.0,exact,True,False,False,4921532,1.1,known_or_blank,
Q011_state_year_uc_g40_g41_2019_2024,state,2021,Alabama,01,,,,,,,,,52,52.0,exact,True,False,False,5039877,1.0,known_or_blank,
Q011_state_year_uc_g40_g41_2019_2024,state,2022,Alabama,01,,,,,,,,,74,74.0,exact,True,False,False,5074296,1.5,known_or_blank,
Q011_state_year_uc_g40_g41_2019_2024,state,2023,Alabama,01,,,,,,,,,68,68.0,exact,True,False,False,5108468,1.3,known_or_blank,
Q011_state_year_uc_g40_g41_2019_2024,state,2024,Alabama,01,,,,,,,,,82,82.0,exact,True,False,False,5157699,1.6,known_or_blank,
Q011_state_year_uc_g40_g41_2019_2024,state,2019,Alaska,02,,,,,,,,,11,11.0,exact,True,False,False,731545,1.5,known_or_blank,
Q011_state_year_uc_g40_g41_2019_2024,state,2020,Alaska,02,,,,,,,,,Suppressed,,suppressed_1_9,False,True,False,731158,,suppressed,
Q011_state_year_uc_g40_g41_2019_2024,state,2021,Alaska,02,,,,,,,,,Suppressed,,suppressed_1_9,False,True,False,732673,,suppressed,
Q011_state_year_uc_g40_g41_2019_2024,state,2022,Alaska,02,,,,,,,,,13,13.0,exact,True,False,False,733583,1.8,known_or_blank,
Q011_state_year_uc_g40_g41_2019_2024,state,2023,Alaska,02,,,,,,,,,11,11.0,exact,True,False,False,733406,1.5,known_or_blank,
Q011_state_year_uc_g40_g41_2019_2024,state,2024,Alaska,02,,,,,,,,,Suppressed,,suppressed_1_9,False,True,False,740133,,suppressed,
Q011_state_year_uc_g40_g41_2019_2024,state,2019,Arizona,04,,,,,,,,,60,60.0,exact,True,False,False,7278717,0.8,known_or_blank,
