number,reference,category,status,source_url,notes
1,"CDC WONDER Multiple Cause of Death, 2018-2024, Single Race database.",CDC WONDER MCOD database,verified_from_source_link,https://wonder.cdc.gov/mcd-icd10-expanded.html,
2,Centers for Disease Control and Prevention. Multiple Cause of Death 2018-2024 by Single Race: CDC WONDER help documentation.,CDC WONDER documentation,verified_from_source_link,https://wonder.cdc.gov/wonder/help/mcd-expanded.html,
3,"CDC WONDER Underlying Cause of Death, 2018-2024, Single Race database.",CDC WONDER UCD database,verified_from_source_link,https://wonder.cdc.gov/ucd-icd10-expanded.html,
4,Centers for Disease Control and Prevention/Agency for Toxic Substances and Disease Registry. CDC/ATSDR Social Vulnerability Index data and documentation.,SVI documentation,verified_from_source_link,https://www.atsdr.cdc.gov/place-health/php/svi/svi-data-documentation-download.html,
5,U.S. Department of Agriculture Economic Research Service. Rural-Urban Continuum Codes documentation.,RUCC documentation,verified_from_source_link,https://www.ers.usda.gov/data-products/rural-urban-continuum-codes/documentation,
6,National Center for Health Statistics. Urban-Rural Classification Scheme for Counties.,NCHS urban-rural documentation,verified_from_source_link,https://www.cdc.gov/nchs/data-analysis-tools/urban-rural.html,
7,U.S. Census Bureau. American Community Survey 5-Year Data documentation.,ACS documentation,verified_from_source_link,https://www.census.gov/data/developers/data-sets/acs-5year.html,
8,"Vandenbroucke JP, von Elm E, Altman DG, et al. Strengthening the Reporting of Observational Studies in Epidemiology: explanation and elaboration. PLoS Med. 2007;4:e297.",STROBE,verified_from_source_link,https://pmc.ncbi.nlm.nih.gov/articles/PMC2034723/,PMCID page may require final reference-manager check.
9,STROBE Statement. STROBE checklists for observational studies.,STROBE checklist,verified_from_source_link,https://www.strobe-statement.org/checklists/,
10,Elsevier. Generative AI policies for journals.,AI disclosure policy,verified_from_source_link,https://www.elsevier.com/about/policies-and-standards/generative-ai-policies-for-journals,
11,"Pierpoint G. Suppression-Aware County-Level Epilepsy and Status Epilepticus Mortality in the United States, 2019–2024. Version 1.0.0. Zenodo. https://doi.org/10.5281/zenodo.20691623",Repository archived release,verified_from_source_link,https://doi.org/10.5281/zenodo.20691623,
12,Quick H. Estimating County-Level Mortality Rates Using Highly Censored Data From CDC WONDER. Prev Chronic Dis. 2019;16:180441. doi:10.5888/pcd16.180441.,suppressed-count methods,verified_from_source_link,https://www.cdc.gov/pcd/issues/2019/18_0441.htm,
13,"DeGiorgio CM, Curtis A, Carapetian A, Hovsepian D, Krishnadasan A, Markovic D. Why are epilepsy mortality rates rising in the United States? A population-based multiple cause-of-death study. BMJ Open. 2020;10:e035767. doi:10.1136/bmjopen-2019-035767.",prior epilepsy mortality literature,verified_from_source_link,https://pubmed.ncbi.nlm.nih.gov/32839157/,
14,"Tian N, Kobau R, Friedman D, Liu Y, Eke PI, Greenlund KJ. Mortality and mortality disparities among people with epilepsy in the United States, 2011-2021. Epilepsy Behav. 2024;155:109770. doi:10.1016/j.yebeh.2024.109770.",prior epilepsy mortality literature,verified_from_source_link,https://pubmed.ncbi.nlm.nih.gov/38636143/,
15,"Duke SM, González Otárula KA, Canales T, Lu E, Stout A, Ghearing GR, Sajatovic M. A systematic literature review of health disparities among rural people with epilepsy in the United States and Canada. Epilepsy Behav. 2021;122:108181. doi:10.1016/j.yebeh.2021.108181.",prior rural epilepsy outcome literature,verified_from_source_link,https://pubmed.ncbi.nlm.nih.gov/34252832/,
16,"Iqbal J, Shafique MA, Rangwala BS, et al. Demographic and regional patterns of epilepsy-related mortality in the USA: insights from CDC WONDER data. Surg Neurol Int. 2024;15:450. doi:10.25259/SNI_592_2024.",prior CDC WONDER epilepsy mortality literature,verified_from_source_link,https://pubmed.ncbi.nlm.nih.gov/39777187/,
17,Centers for Disease Control and Prevention. Reporting and Coding Deaths Due to COVID-19.,COVID death-certificate context,verified_from_source_link,https://www.cdc.gov/nchs/covid19/coding-and-reporting.htm,
