primary_rurality,svi_quartile,counties,lower,midpoint,upper,suppressed,zero,rate_lower_per_100k,rate_midpoint_per_100k,rate_upper_per_100k
metro_large,Q1_lowest,156,3490.0,3730.0,3970.0,60,2,2.116449925113149,2.261993759504884,2.407537593896619
metro_large,Q2,120,5983.0,6123.0,6263.0,35,1,2.375290782557672,2.4308717134548927,2.4864526443521138
metro_large,Q3,90,7143.0,7231.0,7319.0,22,2,2.594715874743072,2.6266821349947014,2.6586483952463307
metro_large,Q4_highest,75,11785.0,11829.0,11873.0,11,0,2.6944439719355318,2.7045038391196776,2.7145637063038235
metro_other,Q1_lowest,167,1657.0,2013.0,2369.0,89,18,2.33869176969766,2.841150592879534,3.3436094160614096
metro_other,Q2,187,3848.0,4152.0,4456.0,76,4,2.838925505060193,3.063206522091975,3.2874875391237577
metro_other,Q3,205,6424.0,6632.0,6840.0,52,8,3.2537359640470687,3.3590873153113567,3.4644386665756457
metro_other,Q4_highest,179,5614.0,5802.0,5990.0,47,3,3.3320358335941416,3.443618080960672,3.555200328327202
nonmetro_adjacent,Q1_lowest,213,600.0,1224.0,1848.0,156,29,1.9443407192680175,3.966455067306757,5.988569415345495
nonmetro_adjacent,Q2,245,1053.0,1729.0,2405.0,169,17,2.246379153601455,3.688499104061648,5.130619054521841
nonmetro_adjacent,Q3,275,1352.0,2108.0,2864.0,189,16,2.5486077174706985,3.973716766588929,5.39882581570716
nonmetro_adjacent,Q4_highest,311,1760.0,2576.0,3392.0,204,15,3.1882719127845323,4.666470708711906,6.14466950463928
nonmetro_nonadjacent,Q1_lowest,248,239.0,783.0,1327.0,136,104,1.6036909315840622,5.253933052009709,8.904175172435357
nonmetro_nonadjacent,Q2,231,381.0,997.0,1613.0,154,61,1.758181635945096,4.600806013221156,7.443430390497218
nonmetro_nonadjacent,Q3,211,566.0,1198.0,1830.0,158,29,2.2676482832640463,4.799721984717894,7.33179568617174
nonmetro_nonadjacent,Q4_highest,218,657.0,1301.0,1945.0,161,26,2.450830081600332,4.853165808465802,7.255501535331271
Unmatched covariates,Unmatched,11,558.0,570.0,582.0,3,0,5.111985930495497,5.221921111796475,5.331856293097454
