relative_path,size_bytes,modified_time
epilepsy_mortality_optionB_submission_package.zip,4217118,2026-06-13T19:32:04
FINAL_CHECKSUMS.csv,935,2026-06-13T19:31:12
FINAL_FILE_INVENTORY.csv,487,2026-06-13T19:31:12
FINAL_HOSTILE_REVIEW.md,3449,2026-06-13T19:32:03
FINAL_PRE_SUBMISSION_REVIEW.md,705,2026-06-13T19:32:04
FINAL_RISK_REGISTER.csv,2865,2026-06-13T19:32:03
GO_NO_GO_DECISION.md,524,2026-06-13T19:32:04
HUMAN_INSPECTION_CHECKLIST.md,684,2026-06-13T19:32:03
PORTAL_COPY_PASTE_FIELDS.md,7148,2026-06-13T19:32:03
SUBMISSION_READINESS_REPORT.md,892,2026-06-13T19:32:04
