chain,block,accepted,proposed,acceptance_rate,type
1,transfer,9873,230968,0.042746181289182915,count_move
1,interval_transfer,16027,83927,0.1909635754882219,count_move
1,swap_2x2,4367,105105,0.04154892726321298,count_move
1,blocked_refresh,25,576,0.043402777777777776,count_move
1,beta,438,1200,0.365,parameter
1,state,464,1200,0.38666666666666666,parameter
1,year,469,1200,0.3908333333333333,parameter
1,log_sigma_state,692,1200,0.5766666666666667,parameter
1,log_sigma_year,797,1200,0.6641666666666667,parameter
1,log_kappa,471,1200,0.3925,parameter
2,transfer,9640,231406,0.04165838396584358,count_move
2,interval_transfer,15823,84046,0.1882659495990291,count_move
2,swap_2x2,4128,104548,0.03948425603550522,count_move
2,blocked_refresh,28,576,0.04861111111111111,count_move
2,beta,451,1200,0.37583333333333335,parameter
2,state,462,1200,0.385,parameter
2,year,497,1200,0.4141666666666667,parameter
2,log_sigma_state,695,1200,0.5791666666666667,parameter
2,log_sigma_year,807,1200,0.6725,parameter
2,log_kappa,497,1200,0.4141666666666667,parameter
3,transfer,9833,230931,0.042579818214098585,count_move
3,interval_transfer,15751,84040,0.18742265587815327,count_move
3,swap_2x2,4281,105029,0.040760171000390366,count_move
3,blocked_refresh,29,576,0.050347222222222224,count_move
3,beta,400,1200,0.3333333333333333,parameter
3,state,473,1200,0.39416666666666667,parameter
3,year,476,1200,0.39666666666666667,parameter
3,log_sigma_state,693,1200,0.5775,parameter
3,log_sigma_year,763,1200,0.6358333333333334,parameter
3,log_kappa,454,1200,0.37833333333333335,parameter
4,transfer,9667,230600,0.04192107545533391,count_move
4,interval_transfer,15888,83980,0.18918790188140033,count_move
4,swap_2x2,4404,105420,0.04177575412635173,count_move
4,blocked_refresh,21,576,0.036458333333333336,count_move
4,beta,428,1200,0.3566666666666667,parameter
4,state,445,1200,0.37083333333333335,parameter
4,year,489,1200,0.4075,parameter
4,log_sigma_state,685,1200,0.5708333333333333,parameter
4,log_sigma_year,793,1200,0.6608333333333334,parameter
4,log_kappa,448,1200,0.37333333333333335,parameter
