parameter,label,r_hat,ess,mean,sd,draws
primary_rurality_metro_other,metro_other vs metro_large,1.1767653240630112,40.29339173749724,0.1293860360693662,0.024121125383959323,360
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.3124518530849325,13.639156494736348,0.2404936442730547,0.03357303467537693,360
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.9118266432465192,7.519281307701544,0.2251034604155924,0.05261204871105444,360
svi_quartile_Q2,SVI Q2 vs Q1,1.2001818373955648,20.061946056850143,0.07540917633090398,0.028414962426031712,360
svi_quartile_Q3,SVI Q3 vs Q1,1.418694645364613,17.842917937540435,0.19119320808625914,0.034309578966650184,360
svi_quartile_Q4_highest,SVI Q4 vs Q1,1.762073807367934,14.25680546433281,0.326465907766214,0.03928892830444444,360
z_pct_age65,pct_age65 coefficient,1.1774910881811091,14.873289076009426,0.09146919250462414,0.014992780466137844,360
z_pct_male,pct_male coefficient,1.0260329408651947,69.65851477900334,-0.04944071224835079,0.01933543378295267,360
kappa,kappa,1.8822845536589332,19.562197853207245,3.0674709373623865,0.3647396159290484,360
sigma_state,sigma_state,1.496136223193053,19.50274911826643,0.13394660786806062,0.022251692555541935,360
sigma_year,sigma_year,1.2872482082984524,23.780484096832858,0.13570431238384323,0.05265674889379287,360
