chain,draw,iteration,parameter,value
1,1,310,Intercept,-10.622327128893817
1,1,310,primary_rurality_metro_other,0.17020215184772927
1,1,310,primary_rurality_nonmetro_adjacent,0.22027162660164448
1,1,310,primary_rurality_nonmetro_nonadjacent,0.24085143887823104
1,1,310,svi_quartile_Q2,0.11775867308617825
1,1,310,svi_quartile_Q3,0.22890050538272233
1,1,310,svi_quartile_Q4_highest,0.36328926710829273
1,1,310,z_pct_age65,0.10017299321115647
1,1,310,z_pct_male,-0.02953799393548467
1,1,310,state_effect[01],-0.06107064015918971
1,1,310,state_effect[02],-0.035488251232020054
1,1,310,state_effect[04],-0.07443977521264522
1,1,310,state_effect[05],0.048422080869298
1,1,310,state_effect[06],-0.041420832474563365
1,1,310,state_effect[08],0.11841173536333918
1,1,310,state_effect[09],0.24980900603892964
1,1,310,state_effect[10],0.005547370992671698
1,1,310,state_effect[11],-0.012199880136715722
1,1,310,state_effect[12],-0.1712786985573769
1,1,310,state_effect[13],-0.21858714583262484
1,1,310,state_effect[15],-0.0232835029473522
1,1,310,state_effect[16],-0.17587128207758299
1,1,310,state_effect[17],-0.11374765626788377
1,1,310,state_effect[18],0.14127571291208108
1,1,310,state_effect[19],0.024777915461561606
1,1,310,state_effect[20],-0.0553008076229767
1,1,310,state_effect[21],-0.06849527499630406
1,1,310,state_effect[22],-0.08701284527952124
1,1,310,state_effect[23],0.08853291682650541
1,1,310,state_effect[24],0.003622565948339252
1,1,310,state_effect[25],-0.08473704153038059
1,1,310,state_effect[26],-0.11586495666013188
1,1,310,state_effect[27],0.18809378040863953
1,1,310,state_effect[28],0.15095411087134372
1,1,310,state_effect[29],-0.09065471024870636
1,1,310,state_effect[30],-0.06029400051452075
1,1,310,state_effect[31],0.09562578683121775
1,1,310,state_effect[32],-0.05203399967652254
1,1,310,state_effect[33],-0.009303723631016548
1,1,310,state_effect[34],-0.15491089699605554
1,1,310,state_effect[35],-0.05448197048130094
1,1,310,state_effect[36],-0.05209605737684595
1,1,310,state_effect[37],-0.013195838065197113
1,1,310,state_effect[38],-0.20380835243217704
1,1,310,state_effect[39],-0.04302808989720526
1,1,310,state_effect[40],0.09012114721979103
1,1,310,state_effect[41],0.12937812362324438
1,1,310,state_effect[42],0.06430715819608934
1,1,310,state_effect[44],0.07376428764588039
1,1,310,state_effect[45],0.1987837179296005
1,1,310,state_effect[46],0.19835405051149652
1,1,310,state_effect[47],0.1038423335328072
1,1,310,state_effect[48],0.01025536716313603
1,1,310,state_effect[49],0.14308469179282354
1,1,310,state_effect[50],-0.005622590266301088
1,1,310,state_effect[51],0.02856630571320671
1,1,310,state_effect[53],-0.008506563506908035
1,1,310,state_effect[54],-0.04987205838943924
1,1,310,state_effect[55],-0.04362747647619916
1,1,310,state_effect[56],0.024704753093662275
1,1,310,year_effect[2019],-0.2267430838542406
1,1,310,year_effect[2020],-0.06539282087305417
1,1,310,year_effect[2021],-0.0019433110561230815
1,1,310,year_effect[2022],0.10721814516407598
1,1,310,year_effect[2023],0.08498194811785242
1,1,310,year_effect[2024],0.10187912250148945
1,1,310,sigma_state,0.10960308381945393
