chain_source,chain,block,accepted,proposed,acceptance_rate,type
chain_01,1,transfer,2272597,49498789,0.0459121737301492,count_move
chain_01,1,interval_transfer,3691633,18000308,0.2050872129521339,count_move
chain_01,1,swap_2x2,1360099,22500903,0.0604464185281808,count_move
chain_01,1,blocked_refresh,4422,96000,0.0460625,count_move
chain_01,1,beta,24471,300000,0.08157,parameter
chain_01,1,state,81474,300000,0.27158,parameter
chain_01,1,year,107140,300000,0.3571333333333333,parameter
chain_01,1,log_sigma_state,244742,300000,0.8158066666666667,parameter
chain_01,1,log_sigma_year,282373,300000,0.9412433333333332,parameter
chain_01,1,log_kappa,194897,300000,0.6496566666666667,parameter
chain_02,2,transfer,2270996,49498441,0.0458801520637791,count_move
chain_02,2,interval_transfer,3691800,17999325,0.2051076915384327,count_move
chain_02,2,swap_2x2,1358464,22502234,0.0603701836893172,count_move
chain_02,2,blocked_refresh,4479,96000,0.04665625,count_move
chain_02,2,beta,24748,300000,0.0824933333333333,parameter
chain_02,2,state,81039,300000,0.27013,parameter
chain_02,2,year,106815,300000,0.35605,parameter
chain_02,2,log_sigma_state,244510,300000,0.8150333333333334,parameter
chain_02,2,log_sigma_year,282356,300000,0.9411866666666666,parameter
chain_02,2,log_kappa,194706,300000,0.64902,parameter
chain_03,3,transfer,2273621,49493733,0.0459375533464004,count_move
chain_03,3,interval_transfer,3692756,17999489,0.2051589353453312,count_move
chain_03,3,swap_2x2,1359092,22506778,0.0603858979726018,count_move
chain_03,3,blocked_refresh,4466,96000,0.0465208333333333,count_move
chain_03,3,beta,24593,300000,0.0819766666666666,parameter
chain_03,3,state,80669,300000,0.2688966666666667,parameter
chain_03,3,year,106921,300000,0.3564033333333333,parameter
chain_03,3,log_sigma_state,244733,300000,0.8157766666666667,parameter
chain_03,3,log_sigma_year,282463,300000,0.9415433333333332,parameter
chain_03,3,log_kappa,195448,300000,0.6514933333333334,parameter
chain_04,4,transfer,2273283,49494753,0.0459297776473397,count_move
chain_04,4,interval_transfer,3689128,17997508,0.204979933888625,count_move
chain_04,4,swap_2x2,1360793,22507739,0.0604588937165123,count_move
chain_04,4,blocked_refresh,4394,96000,0.0457708333333333,count_move
chain_04,4,beta,25023,300000,0.08341,parameter
chain_04,4,state,81310,300000,0.2710333333333333,parameter
chain_04,4,year,107155,300000,0.3571833333333333,parameter
chain_04,4,log_sigma_state,244541,300000,0.8151366666666666,parameter
chain_04,4,log_sigma_year,282289,300000,0.9409633333333334,parameter
chain_04,4,log_kappa,195008,300000,0.6500266666666666,parameter
chain_05,5,transfer,2272009,49501635,0.0458976557036954,count_move
chain_05,5,interval_transfer,3694337,18003667,0.2051991408194786,count_move
chain_05,5,swap_2x2,1357847,22494698,0.0603629797563852,count_move
chain_05,5,blocked_refresh,4528,96000,0.0471666666666666,count_move
chain_05,5,beta,25182,300000,0.08394,parameter
chain_05,5,state,80861,300000,0.2695366666666666,parameter
chain_05,5,year,106758,300000,0.35586,parameter
chain_05,5,log_sigma_state,244631,300000,0.8154366666666667,parameter
chain_05,5,log_sigma_year,281914,300000,0.9397133333333332,parameter
chain_05,5,log_kappa,195395,300000,0.6513166666666667,parameter
chain_06,6,transfer,2271328,49495660,0.0458894375789715,count_move
chain_06,6,interval_transfer,3692140,18002219,0.2050936054049781,count_move
chain_06,6,swap_2x2,1359974,22502121,0.0604375916385837,count_move
chain_06,6,blocked_refresh,4389,96000,0.04571875,count_move
chain_06,6,beta,25368,300000,0.08456,parameter
chain_06,6,state,80998,300000,0.2699933333333333,parameter
chain_06,6,year,106901,300000,0.3563366666666667,parameter
chain_06,6,log_sigma_state,244438,300000,0.8147933333333334,parameter
chain_06,6,log_sigma_year,282890,300000,0.9429666666666666,parameter
chain_06,6,log_kappa,194930,300000,0.6497666666666667,parameter
chain_07,7,transfer,2271487,49499379,0.0458892019635236,count_move
chain_07,7,interval_transfer,3688497,17999655,0.2049204276415298,count_move
chain_07,7,swap_2x2,1358936,22500966,0.0603945626156672,count_move
chain_07,7,blocked_refresh,4301,96000,0.0448020833333333,count_move
chain_07,7,beta,24823,300000,0.0827433333333333,parameter
chain_07,7,state,81132,300000,0.27044,parameter
chain_07,7,year,106875,300000,0.35625,parameter
chain_07,7,log_sigma_state,244807,300000,0.8160233333333333,parameter
chain_07,7,log_sigma_year,282096,300000,0.94032,parameter
chain_07,7,log_kappa,194725,300000,0.6490833333333333,parameter
chain_08,8,transfer,2273330,49488594,0.0459364434560416,count_move
chain_08,8,interval_transfer,3687468,18006104,0.2047898868072738,count_move
chain_08,8,swap_2x2,1354651,22505302,0.0601925270765084,count_move
chain_08,8,blocked_refresh,4445,96000,0.0463020833333333,count_move
chain_08,8,beta,25330,300000,0.0844333333333333,parameter
chain_08,8,state,81408,300000,0.27136,parameter
chain_08,8,year,106937,300000,0.3564566666666666,parameter
chain_08,8,log_sigma_state,244585,300000,0.8152833333333334,parameter
chain_08,8,log_sigma_year,282537,300000,0.94179,parameter
chain_08,8,log_kappa,194667,300000,0.64889,parameter
