chain,block,accepted,proposed,acceptance_rate,type
7,transfer,2271487,49499379,0.045889201963523626,count_move
7,interval_transfer,3688497,17999655,0.2049204276415298,count_move
7,swap_2x2,1358936,22500966,0.06039456261566726,count_move
7,blocked_refresh,4301,96000,0.04480208333333333,count_move
7,beta,24823,300000,0.08274333333333334,parameter
7,state,81132,300000,0.27044,parameter
7,year,106875,300000,0.35625,parameter
7,log_sigma_state,244807,300000,0.8160233333333333,parameter
7,log_sigma_year,282096,300000,0.94032,parameter
7,log_kappa,194725,300000,0.6490833333333333,parameter
