parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,1.0014894674233321,4204.002756901803,10014.059735325878,0.0003032404460583622,0.00021379856096367874,-10.642179515950534,0.019662333214052922,8,4500,36000,4204.002756901803
kappa,kappa,1.001674052861831,5911.4882032022515,19501.252089659447,0.007564594105055071,0.005505813460705932,10.728485503263858,0.5822735974836726,8,4500,36000,5911.4882032022515
primary_rurality_metro_other,metro_other vs metro_large,1.0003806569047404,6213.072925659539,14258.51037036473,0.00020442318622493276,0.00014511193178944648,0.1314799266361659,0.01611142061355895,8,4500,36000,6213.072925659539
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.000910471158249,4923.782347730408,11027.530239416126,0.0003007461254594139,0.0002130327097252216,0.24105456744741302,0.021112267339668207,8,4500,36000,4923.782347730408
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.0009353605050912,4024.3950396146324,8819.052613526208,0.00043024388521722105,0.00030456096638275013,0.21083563722629065,0.027282550982335285,8,4500,36000,4024.3950396146324
sigma_state,sigma_state,1.001446387591007,6769.117745302988,19025.31764389202,0.00026534696199458134,0.0002098443744717409,0.1899743660923759,0.02206031929674559,8,4500,36000,6769.117745302988
sigma_year,sigma_year,1.0005098619427881,11489.704394479313,13312.816586219758,0.0006487337794497412,0.001233657771672801,0.1533871623942049,0.06354137630784484,8,4500,36000,11489.704394479313
state_effect[01],state_effect[01],1.0006210497764596,10132.914879340336,18900.129042576755,0.00040314403380634154,0.00028260222641095917,-0.20283693637793732,0.04057924096466847,8,4500,36000,10132.914879340336
state_effect[02],state_effect[02],1.0010198186088237,2447.10724877663,5120.655777324936,0.0018050437175367326,0.0012797188334176866,0.059645025599386496,0.089278937359299,8,4500,36000,2447.10724877663
state_effect[04],state_effect[04],1.0008062426282227,6311.367536420882,12587.109687866528,0.0006723400923219276,0.0004791779425292737,-0.11780886365623486,0.05339865761911469,8,4500,36000,6311.367536420882
state_effect[05],state_effect[05],1.0003182514966265,9577.789243289806,18328.253819601523,0.00043706703604010576,0.00030986191291996963,0.10095985125379772,0.042783171380434845,8,4500,36000,9577.789243289806
state_effect[06],state_effect[06],1.0002402315418584,12142.991164081193,23820.208484925563,0.0002506818263757061,0.00017703287216317706,-0.06610953198877537,0.027627925830030712,8,4500,36000,12142.991164081193
state_effect[08],state_effect[08],1.0007295628285091,11245.57827371283,19563.45080172937,0.0003721294227454343,0.0002616576754514018,0.3155379426105215,0.039458954323056905,8,4500,36000,11245.57827371283
state_effect[09],state_effect[09],1.0020007330837934,4182.374136167164,8713.094842141618,0.0010076852613185561,0.0006925443103663422,0.17559693236612592,0.0651969609384208,8,4500,36000,4182.374136167164
state_effect[10],state_effect[10],1.0025531209803271,2528.1312733550567,4762.460186049922,0.0017599455293144737,0.0012710077960741322,-0.09067980004126858,0.08839757685005548,8,4500,36000,2528.1312733550567
state_effect[11],state_effect[11],1.0085537588710927,1437.2439572757296,3199.3579952429254,0.0030067970921884963,0.0021631696541767886,0.22701952356975913,0.11391253833560641,8,4500,36000,1437.2439572757296
state_effect[12],state_effect[12],1.0004123251175958,8851.64196407109,18992.288558314245,0.0003328594387022181,0.00023632034503176885,-0.3215656691524444,0.031315306208737945,8,4500,36000,8851.64196407109
state_effect[13],state_effect[13],1.0006044919673982,13945.921877721503,25339.996586080546,0.00026302074160658765,0.00018745050569012313,-0.20705073640526184,0.031063257810125613,8,4500,36000,13945.921877721503
state_effect[15],state_effect[15],1.0046547414474745,1724.7429998516732,3793.636336616184,0.0024589909297590895,0.0017772860361165573,-0.4811940765105052,0.10210631913474821,8,4500,36000,1724.7429998516732
state_effect[16],state_effect[16],1.0007905383793088,5513.009926627385,11225.620179132418,0.0008058145240955952,0.0005669128111960233,-0.031665987477858176,0.059830270632937485,8,4500,36000,5513.009926627385
state_effect[17],state_effect[17],1.0003013585486324,11700.894728858779,20529.297716876586,0.000349821684633448,0.00024705262521683316,-0.26721679779211516,0.03783315270388164,8,4500,36000,11700.894728858779
state_effect[18],state_effect[18],1.0002939372388224,13543.624445502737,23999.627060042316,0.0002816468519973564,0.00019976323501013515,0.21787817314520838,0.03277184768681303,8,4500,36000,13543.624445502737
state_effect[19],state_effect[19],1.0006394332073667,8231.320716811984,15665.156721040648,0.0004996307519313566,0.00035334884548347736,0.04806387815390796,0.045328371157035474,8,4500,36000,8231.320716811984
state_effect[20],state_effect[20],1.000961009399789,7254.726861058384,14098.21738765303,0.0006186602121067378,0.00043172566423672356,-0.10435271210938618,0.05268258276112012,8,4500,36000,7254.726861058384
state_effect[21],state_effect[21],1.0006574702106452,12459.961661383002,21872.41747786988,0.0003448777055510047,0.00024552484697649106,0.0010581102378269462,0.03849634671906043,8,4500,36000,12459.961661383002
state_effect[22],state_effect[22],1.0002509065532086,9316.296629613102,18826.40668650189,0.0004258931702549921,0.00030018415541578175,-0.10567590133062064,0.04110940144027652,8,4500,36000,9316.296629613102
state_effect[23],state_effect[23],1.0013962330943953,5260.0509115087325,11220.761526566905,0.0008462047150303982,0.0005970295944035481,0.18601609353009926,0.0613649571854067,8,4500,36000,5260.0509115087325
state_effect[24],state_effect[24],1.0003731681403114,8812.031772260068,16914.182357805646,0.00046565899185783656,0.0003325679116711966,0.10935708373527059,0.04370132630011882,8,4500,36000,8812.031772260068
state_effect[25],state_effect[25],1.0004408006810266,7236.7822611459005,14159.322355309445,0.0006045598176977282,0.00042329904090097155,-0.3993691752566381,0.05142798864272146,8,4500,36000,7236.7822611459005
state_effect[26],state_effect[26],1.0000909468376495,14680.61387093143,24978.953868243945,0.0002683406431225064,0.00018861539342278596,-0.020319160974613344,0.03252126193782891,8,4500,36000,14680.61387093143
state_effect[27],state_effect[27],1.0001971983805125,11567.72299464077,21603.844860474303,0.00034706285276755116,0.000246769283543563,0.24959139451611995,0.03732627779085276,8,4500,36000,11567.72299464077
state_effect[28],state_effect[28],1.0007961216860264,9536.252091012428,18358.00763899383,0.00042583690643380277,0.00030060253783839114,0.16598466464321104,0.04158908460164525,8,4500,36000,9536.252091012428
state_effect[29],state_effect[29],1.0005468840437528,11111.31561635276,22442.71719332271,0.00034909667537414763,0.00024517862650032496,-0.04023955710111817,0.036797439968191334,8,4500,36000,11111.31561635276
state_effect[30],state_effect[30],1.0024177109688637,3902.8034924757667,7695.027831669544,0.001129988938656641,0.0008067274274829453,-0.019423413940714673,0.07053677122596463,8,4500,36000,3902.8034924757667
state_effect[31],state_effect[31],1.0013836561353295,5933.0313319423685,11963.183573304117,0.0007455954285798239,0.0005225917498130547,0.11521399041657658,0.05742850613104693,8,4500,36000,5933.0313319423685
state_effect[32],state_effect[32],1.0026697176592574,3008.7655645448917,6630.11981107604,0.0014514668798735347,0.0010157961434657452,-0.31104621072542304,0.07959858905284922,8,4500,36000,3008.7655645448917
state_effect[33],state_effect[33],1.0033281914476724,3433.43244619562,7351.492738470911,0.0012869860758076379,0.0008955380604357436,-0.10625056148373646,0.0753268288250171,8,4500,36000,3433.43244619562
state_effect[34],state_effect[34],1.0004461772786466,8607.807796481036,17301.601912549275,0.00046246703544638686,0.0003288005493604833,-0.32694596684627464,0.042907600819112046,8,4500,36000,8607.807796481036
state_effect[35],state_effect[35],1.0009691841846582,6304.342670769704,12637.86005802454,0.0006937585702653162,0.0004907679378820059,0.03622584239487056,0.055087734113993383,8,4500,36000,6304.342670769704
state_effect[36],state_effect[36],1.0003893381255196,13100.036164679985,24623.008455707244,0.0002694223727790526,0.00018959070569074621,-0.09965624819566686,0.03084320464524203,8,4500,36000,13100.036164679985
state_effect[37],state_effect[37],1.0003003229267775,15214.034850266651,24413.490796103066,0.0002380481640469028,0.0001688645062580028,-0.08112811205280795,0.029367442438464685,8,4500,36000,15214.034850266651
state_effect[38],state_effect[38],1.0045657097348746,2515.392517084606,5061.075848228472,0.0017871246640714744,0.001265964469743759,-0.113076261449793,0.08957052275284023,8,4500,36000,2515.392517084606
state_effect[39],state_effect[39],1.0000750025246998,15307.181565018776,26712.301121551507,0.00024320399112436983,0.00017240077994501796,-0.047182896266846575,0.030082232480828874,8,4500,36000,15307.181565018776
state_effect[40],state_effect[40],1.000675495853878,10025.669418999541,19103.968735132443,0.00041048315831166565,0.0002910981880599519,0.13305811143407162,0.04109341647357972,8,4500,36000,10025.669418999541
state_effect[41],state_effect[41],1.0009558536168353,10086.803728363278,18678.992711066167,0.00042656202787985675,0.0002993223551841886,0.1378680226098355,0.04282789701133863,8,4500,36000,10086.803728363278
state_effect[42],state_effect[42],1.0002651682723722,15627.226366580526,24528.270910549232,0.00024027060204291642,0.00016913901996537441,0.01575802961500592,0.03003960768196793,8,4500,36000,15627.226366580526
state_effect[44],state_effect[44],1.0007967223080831,2631.0043671404137,5818.786282571287,0.0016923600067495995,0.0011939785059385697,0.14297385707657198,0.08675982446236336,8,4500,36000,2631.0043671404137
state_effect[45],state_effect[45],1.000611932731686,11713.289299987875,21610.624892875938,0.0003356815101529466,0.0002382192423287691,0.2509010934954614,0.03632452538276312,8,4500,36000,11713.289299987875
state_effect[46],state_effect[46],1.0016805163146076,3974.798829364588,8673.095006036236,0.0011089254306037302,0.0007893808742298587,0.20429459288720983,0.06992175222547531,8,4500,36000,3974.798829364588
state_effect[47],state_effect[47],1.0001456471371986,13345.488473064954,23704.75220595878,0.0002849820438693083,0.00019940412152644928,0.14858717189262685,0.032903516270456144,8,4500,36000,13345.488473064954
state_effect[48],state_effect[48],1.0006778251321935,12031.726641648853,27008.886145870136,0.00021880875201924296,0.00015518250082568655,0.007059282455907137,0.024008002059164063,8,4500,36000,12031.726641648853
state_effect[49],state_effect[49],1.0023617197677845,5225.155941089108,11229.93131263042,0.0008079860649409412,0.0005798469593769636,0.08869106130217358,0.05842100096402239,8,4500,36000,5225.155941089108
state_effect[50],state_effect[50],1.0022838736644026,2908.5048264726556,5990.946781057195,0.001490168165629976,0.0010407791783037842,0.21505491548941102,0.08035987757779839,8,4500,36000,2908.5048264726556
state_effect[51],state_effect[51],1.0001437508286535,15352.589326203726,24739.73491956862,0.0002582295987721145,0.00018053074997342956,0.00569315487470264,0.03200291904842604,8,4500,36000,15352.589326203726
state_effect[53],state_effect[53],1.0004221327361973,10199.763381596844,17585.98338543107,0.0003913511989601668,0.00027627874937427636,0.035493570662371104,0.03950378666960688,8,4500,36000,10199.763381596844
state_effect[54],state_effect[54],1.0008541211525892,6742.112445663553,13006.112283002542,0.0006536770471483954,0.00046261672455907556,0.056256521210310606,0.053653457843334446,8,4500,36000,6742.112445663553
state_effect[55],state_effect[55],1.0002469359950208,10112.403905574629,19270.296310428832,0.000383218530331089,0.0002721354815674432,0.032255607526859374,0.038534520553527164,8,4500,36000,10112.403905574629
state_effect[56],state_effect[56],1.002064961955475,2445.3440137423167,5020.8033034292885,0.00176065931596404,0.0012210152257631898,0.07870107843083976,0.08705734732310003,8,4500,36000,2445.3440137423167
svi_quartile_Q2,SVI Q2 vs Q1,1.0005409596277282,4853.407054512628,10643.109426537738,0.0002939250144436522,0.00020760359384823735,0.10694446536681175,0.020475422589551023,8,4500,36000,4853.407054512628
svi_quartile_Q3,SVI Q3 vs Q1,1.000611293592009,4249.012005919023,10178.860755190108,0.0003215840848583442,0.0002256932304162789,0.2241866579215952,0.020963391588137217,8,4500,36000,4249.012005919023
