parameter,scale,posterior_mean,posterior_median,credible_interval_lower_95,credible_interval_upper_95,posterior_probability_gt_1,r_hat,ess_bulk,ess_tail,mcse_mean,draws
kappa,model_parameter,10.728485503263858,10.705949477833585,9.644111855503422,11.931365371496826,,1.001674052861831,5911.4882032022515,19501.252089659447,0.007564594105055071,36000
primary_rurality_metro_other,mortality_rate_ratio,1.1406630618895068,1.1405209348379821,1.1050622320982229,1.1775313268469803,1.0,1.0003806569047404,6213.072925659539,14258.51037036473,0.00020442318622493276,36000
primary_rurality_nonmetro_adjacent,mortality_rate_ratio,1.272874110245468,1.2726487702339695,1.2212243902960769,1.3258607460875824,1.0,1.000910471158249,4923.782347730408,11027.530239416126,0.0003007461254594139,36000
primary_rurality_nonmetro_nonadjacent,mortality_rate_ratio,1.2351689579996967,1.2349854322162956,1.170513627986865,1.3020170394118624,1.0,1.0009353605050912,4024.3950396146324,8819.052613526208,0.00043024388521722105,36000
sigma_state,model_parameter,0.1899743660923759,0.18807955912207022,0.15173649895046495,0.23830719378451892,,1.001446387591007,6769.117745302988,19025.31764389202,0.00026534696199458134,36000
sigma_year,model_parameter,0.1533871623942049,0.13848157260181232,0.07978230486966617,0.3168111865354628,,1.0005098619427881,11489.704394479313,13312.816586219758,0.0006487337794497412,36000
svi_quartile_Q2,mortality_rate_ratio,1.1131057488717246,1.1128195273925932,1.069041268610539,1.1580482841931528,1.0,1.0005409596277282,4853.407054512628,10643.109426537738,0.0002939250144436522,36000
svi_quartile_Q3,mortality_rate_ratio,1.2515795374357868,1.2513128932779196,1.2009646025071505,1.3035598967006097,1.0,1.000611293592009,4249.012005919023,10178.860755190108,0.0003215840848583442,36000
svi_quartile_Q4_highest,mortality_rate_ratio,1.4333882642072693,1.4329866240234084,1.3698697815979426,1.499754788149133,1.0,1.0008029799405818,3728.4737133588433,8794.641775762038,0.0003809415763843182,36000
z_pct_age65,model_parameter,0.0959733547978038,0.0960090841375892,0.07896338395125718,0.11283374158253638,,1.0006745703157676,7791.6919732614215,17777.842639766317,9.748594560801169e-05,36000
z_pct_male,model_parameter,-0.061442866865411894,-0.06135169186768217,-0.08459345027880724,-0.03848261095171449,,1.0009106480329382,9004.045886249107,21077.74060641128,0.0001239260261942312,36000
