county_fips,year,complete_count,public_status,public_lower,public_upper
13005,2019,0,zero,0,0
13005,2020,0,zero,0,0
13005,2021,1,suppressed_1_9,1,9
13005,2022,1,suppressed_1_9,1,9
13005,2023,3,suppressed_1_9,1,9
13005,2024,0,zero,0,0
13015,2019,4,suppressed_1_9,1,9
13015,2020,4,suppressed_1_9,1,9
13015,2021,5,suppressed_1_9,1,9
13015,2022,4,suppressed_1_9,1,9
13015,2023,6,suppressed_1_9,1,9
13015,2024,6,suppressed_1_9,1,9
13023,2019,0,zero,0,0
13023,2020,3,suppressed_1_9,1,9
13023,2021,2,suppressed_1_9,1,9
13023,2022,0,zero,0,0
13023,2023,1,suppressed_1_9,1,9
13023,2024,0,zero,0,0
13121,2019,42,exact,42,42
13121,2020,44,exact,44,44
13121,2021,57,exact,57,57
13121,2022,34,exact,34,34
13121,2023,33,exact,33,33
13121,2024,35,exact,35,35
13141,2019,0,zero,0,0
13141,2020,1,suppressed_1_9,1,9
13141,2021,0,zero,0,0
13141,2022,0,zero,0,0
13141,2023,3,suppressed_1_9,1,9
13141,2024,1,suppressed_1_9,1,9
13195,2019,3,suppressed_1_9,1,9
13195,2020,1,suppressed_1_9,1,9
13195,2021,4,suppressed_1_9,1,9
13195,2022,1,suppressed_1_9,1,9
13195,2023,1,suppressed_1_9,1,9
13195,2024,2,suppressed_1_9,1,9
13217,2019,8,suppressed_1_9,1,9
13217,2020,1,suppressed_1_9,1,9
13217,2021,6,suppressed_1_9,1,9
13217,2022,11,exact,11,11
13217,2023,2,suppressed_1_9,1,9
13217,2024,2,suppressed_1_9,1,9
13229,2019,1,suppressed_1_9,1,9
13229,2020,1,suppressed_1_9,1,9
13229,2021,2,suppressed_1_9,1,9
13229,2022,2,suppressed_1_9,1,9
13229,2023,2,suppressed_1_9,1,9
13229,2024,2,suppressed_1_9,1,9
13231,2019,0,zero,0,0
13231,2020,0,zero,0,0
13231,2021,1,suppressed_1_9,1,9
13231,2022,0,zero,0,0
13231,2023,1,suppressed_1_9,1,9
13231,2024,0,zero,0,0
13265,2019,0,zero,0,0
13265,2020,1,suppressed_1_9,1,9
13265,2021,1,suppressed_1_9,1,9
13265,2022,0,zero,0,0
13265,2023,0,zero,0,0
13265,2024,0,zero,0,0
13275,2019,1,suppressed_1_9,1,9
13275,2020,2,suppressed_1_9,1,9
