group,status,cells,fraction
overall,suppressed_1_9,227,0.5254629629629629
overall,zero,164,0.37962962962962965
overall,exact,41,0.09490740740740741
nonmetro_nonadjacent,zero,80,0.5555555555555556
nonmetro_nonadjacent,suppressed_1_9,64,0.4444444444444444
metro_large,suppressed_1_9,57,0.5277777777777778
metro_large,exact,39,0.3611111111111111
metro_large,zero,12,0.1111111111111111
nonmetro_adjacent,zero,61,0.5083333333333333
nonmetro_adjacent,suppressed_1_9,59,0.49166666666666664
metro_other,suppressed_1_9,47,0.7833333333333333
metro_other,zero,11,0.18333333333333332
metro_other,exact,2,0.03333333333333333
