chain,block,accepted,proposed,acceptance_rate,type
1,transfer,3656,72116,0.0506961007266071,count_move
1,interval_transfer,49457,180250,0.274380027739251,count_move
1,interval_path,40026,180310,0.2219843602684266,count_move
1,swap_2x2,10163,215464,0.0471679723758957,count_move
1,cycle_swap,462,71860,0.0064291678263289,count_move
1,blocked_refresh,127,2560,0.049609375,count_move
1,beta,7024,8000,0.878,parameter
1,state,5425,8000,0.678125,parameter
1,year,5422,8000,0.67775,parameter
1,log_sigma_state,6260,8000,0.7825,parameter
1,log_sigma_year,5180,8000,0.6475,parameter
1,log_kappa,7112,8000,0.889,parameter
2,transfer,3619,72472,0.0499365272105088,count_move
2,interval_transfer,49580,179972,0.2754872980241371,count_move
2,interval_path,39929,180104,0.2216996846266601,count_move
2,swap_2x2,10111,215578,0.0469018174396274,count_move
2,cycle_swap,457,71874,0.0063583493335559,count_move
2,blocked_refresh,145,2560,0.056640625,count_move
2,beta,7005,8000,0.875625,parameter
2,state,5204,8000,0.6505,parameter
2,year,6400,8000,0.8,parameter
2,log_sigma_state,6266,8000,0.78325,parameter
2,log_sigma_year,5248,8000,0.656,parameter
2,log_kappa,7029,8000,0.878625,parameter
3,transfer,3562,71949,0.0495072898858914,count_move
3,interval_transfer,49560,179836,0.2755844213616851,count_move
3,interval_path,40002,180385,0.2217590154391994,count_move
3,swap_2x2,10066,215912,0.0466208455296602,count_move
3,cycle_swap,465,71918,0.0064656970438555,count_move
3,blocked_refresh,138,2560,0.05390625,count_move
3,beta,6984,8000,0.873,parameter
3,state,5684,8000,0.7105,parameter
3,year,5990,8000,0.74875,parameter
3,log_sigma_state,6353,8000,0.794125,parameter
3,log_sigma_year,5090,8000,0.63625,parameter
3,log_kappa,6984,8000,0.873,parameter
4,transfer,3646,71837,0.0507537898297534,count_move
4,interval_transfer,49415,180717,0.2734385807643996,count_move
4,interval_path,39737,179689,0.2211431974133085,count_move
4,swap_2x2,10218,215731,0.0473645419527096,count_move
4,cycle_swap,442,72026,0.0061366728681309,count_move
4,blocked_refresh,110,2560,0.04296875,count_move
4,beta,7038,8000,0.87975,parameter
4,state,5704,8000,0.713,parameter
4,year,5346,8000,0.66825,parameter
4,log_sigma_state,6322,8000,0.79025,parameter
4,log_sigma_year,5174,8000,0.64675,parameter
4,log_kappa,6943,8000,0.867875,parameter
