type,block,min,median,max
count_move,blocked_refresh,0.04296875,0.0517578125,0.056640625
count_move,cycle_swap,0.0061366728681309,0.0063937585799424,0.0064656970438555
count_move,interval_path,0.2211431974133085,0.22172935003292976,0.2219843602684266
count_move,interval_transfer,0.2734385807643996,0.2749336628816941,0.2755844213616851
count_move,swap_2x2,0.0466208455296602,0.047034894907761554,0.0473645419527096
count_move,transfer,0.0495072898858914,0.05031631396855795,0.0507537898297534
parameter,beta,0.873,0.8768125,0.87975
parameter,log_kappa,0.867875,0.8758125,0.889
parameter,log_sigma_state,0.7825,0.7867500000000001,0.794125
parameter,log_sigma_year,0.63625,0.647125,0.656
parameter,state,0.6505,0.6943125,0.713
parameter,year,0.66825,0.7132499999999999,0.8
