county_fips,year,complete_count,public_status,public_lower,public_upper,posterior_mean,posterior_median,posterior_lower_95,posterior_upper_95,absolute_error_posterior_mean,squared_error_posterior_mean,truth_covered_by_95_interval
13005,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13005,2020,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13005,2021,1,suppressed_1_9,1,9,1.8579166666666667,2.0,1.0,4.0,0.8579166666666667,0.7360210069444444,True
13005,2022,1,suppressed_1_9,1,9,1.5204166666666667,1.0,1.0,3.0,0.5204166666666667,0.2708335069444445,True
13005,2023,3,suppressed_1_9,1,9,1.6233333333333333,1.0,1.0,4.0,1.3766666666666667,1.8952111111111112,True
13005,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13015,2019,4,suppressed_1_9,1,9,6.1725,6.0,3.0,9.0,2.1725000000000003,4.719756250000001,True
13015,2020,4,suppressed_1_9,1,9,2.90375,3.0,1.0,5.0,1.09625,1.2017640625,True
13015,2021,5,suppressed_1_9,1,9,6.347083333333333,6.0,3.0,9.0,1.347083333333333,1.8146335069444435,True
13015,2022,4,suppressed_1_9,1,9,4.191666666666666,4.0,1.0,7.0,0.19166666666666643,0.03673611111111102,True
13015,2023,6,suppressed_1_9,1,9,5.02375,5.0,2.0,8.0,0.9762500000000003,0.9530640625000005,True
13015,2024,6,suppressed_1_9,1,9,4.36125,4.0,1.0,8.0,1.63875,2.6855015625,True
13023,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13023,2020,3,suppressed_1_9,1,9,1.4779166666666668,1.0,1.0,3.0,1.5220833333333332,2.3167376736111107,True
13023,2021,2,suppressed_1_9,1,9,2.0883333333333334,2.0,1.0,4.0,0.08833333333333337,0.007802777777777785,True
13023,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13023,2023,1,suppressed_1_9,1,9,1.7591666666666668,2.0,1.0,4.0,0.7591666666666668,0.576334027777778,True
13023,2024,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13121,2019,42,exact,42,42,42.0,42.0,42.0,42.0,0.0,0.0,True
13121,2020,44,exact,44,44,44.0,44.0,44.0,44.0,0.0,0.0,True
13121,2021,57,exact,57,57,57.0,57.0,57.0,57.0,0.0,0.0,True
13121,2022,34,exact,34,34,34.0,34.0,34.0,34.0,0.0,0.0,True
13121,2023,33,exact,33,33,33.0,33.0,33.0,33.0,0.0,0.0,True
13121,2024,35,exact,35,35,35.0,35.0,35.0,35.0,0.0,0.0,True
13141,2019,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13141,2020,1,suppressed_1_9,1,9,1.25625,1.0,1.0,3.0,0.2562500000000001,0.06566406250000005,True
13141,2021,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13141,2022,0,zero,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True
13141,2023,3,suppressed_1_9,1,9,1.4470833333333333,1.0,1.0,3.0,1.5529166666666667,2.4115501736111113,True
13141,2024,1,suppressed_1_9,1,9,1.3416666666666666,1.0,1.0,3.0,0.34166666666666656,0.11673611111111104,True
13195,2019,3,suppressed_1_9,1,9,2.3225,2.0,1.0,5.0,0.6775000000000002,0.4590062500000003,True
13195,2020,1,suppressed_1_9,1,9,1.5445833333333334,1.0,1.0,3.0,0.5445833333333334,0.29657100694444455,True
13195,2021,4,suppressed_1_9,1,9,2.3758333333333335,2.0,1.0,5.0,1.6241666666666665,2.6379173611111106,True
13195,2022,1,suppressed_1_9,1,9,1.8370833333333334,2.0,1.0,4.0,0.8370833333333334,0.7007085069444445,True
13195,2023,1,suppressed_1_9,1,9,1.9841666666666666,2.0,1.0,4.0,0.9841666666666666,0.9685840277777777,True
13195,2024,2,suppressed_1_9,1,9,1.9358333333333333,2.0,1.0,4.0,0.0641666666666667,0.004117361111111116,True
