parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,2.0331229308851326,5.4457884449617415,14.064089339109305,0.05519709377333639,0.03458755155504972,-10.388460270085142,0.12671049698938877,4,600,2400,5.4457884449617415
kappa,kappa,1.0346103310755472,300.474150241872,399.29381059572876,0.36191534438839157,0.5810476611071583,15.145705836747615,6.23508826811514,4,600,2400,300.474150241872
primary_rurality_metro_other,metro_other vs metro_large,1.3875609572717467,9.408799542368497,14.552142281195733,0.04556881180190376,0.034376882469700915,0.2462240968030638,0.13823806408116174,4,600,2400,9.408799542368497
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.6303328221067406,6.662818482857252,13.268066064859553,0.0579536158424147,0.032817527204728046,0.3974337098885196,0.1472817850828596,4,600,2400,6.662818482857252
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.6057106483540746,6.893647525915646,10.985521166789715,0.061733178810502505,0.044202853675740277,0.13534423410429622,0.15961530109141414,4,600,2400,6.893647525915646
sigma_state,sigma_state,1.059275957328471,68.42439078494529,78.06741855681936,0.006691436552480416,0.010815499608572934,0.07716757127668965,0.06626852515031331,4,600,2400,68.42439078494529
sigma_year,sigma_year,1.0978048919140253,28.777758126321253,90.05841126534877,0.013165594602468071,0.024835414917352725,0.12270603160427314,0.0873638231220173,4,600,2400,28.777758126321253
state_effect[13],state_effect[13],1.0576242800544233,101.42588991239748,158.07456350958725,0.005380210329130469,0.004459411974541454,-0.005405791221972602,0.05336788327815843,4,600,2400,101.42588991239748
state_effect[20],state_effect[20],1.0431704676767686,126.74449048465657,180.0266008775565,0.00510258611783254,0.005696281337074371,0.012783182895769497,0.053114253431002276,4,600,2400,126.74449048465657
state_effect[21],state_effect[21],1.055805106664714,69.62207153583701,169.27764007640025,0.008087084488998477,0.006895671715696646,0.03936379170030219,0.06228406706222916,4,600,2400,69.62207153583701
state_effect[29],state_effect[29],1.0626593513233085,59.03489053974844,172.59283623577448,0.0078059238584625035,0.007979812681343847,-0.02700427018953177,0.05528561259291001,4,600,2400,59.03489053974844
state_effect[48],state_effect[48],1.0263762524682902,97.18240591177833,208.80375003440076,0.0054197972664604,0.0047834578556531955,0.010936287947152297,0.052250334975298546,4,600,2400,97.18240591177833
state_effect[51],state_effect[51],1.028505575675523,134.54212300410916,238.2400010997835,0.0045083079011331035,0.0035185542423307762,-0.030673201131719622,0.05140859308694387,4,600,2400,134.54212300410916
svi_quartile_Q2,SVI Q2 vs Q1,1.766289619552399,6.226045873780719,42.08701947362968,0.05898244318119643,0.038638412660174704,0.19116236399810152,0.14062017051983486,4,600,2400,6.226045873780719
svi_quartile_Q3,SVI Q3 vs Q1,1.5927871426282934,6.858488626799566,25.822083916739725,0.03769809604626958,0.026573786994245525,0.32549406423259175,0.0988977276972164,4,600,2400,6.858488626799566
svi_quartile_Q4_highest,SVI Q4 vs Q1,1.52177000046448,7.663033867851862,27.45022873844514,0.03889235554118898,0.023264579369339095,0.5015199788042748,0.10736804648180942,4,600,2400,7.663033867851862
year_effect[2019],year_effect[2019],1.0782852244446803,52.27570991886177,114.64387550256002,0.009972957165438742,0.007407858180725016,-0.08966992475862429,0.07321577918836725,4,600,2400,52.27570991886177
year_effect[2020],year_effect[2020],1.0413651463088525,155.97914844676131,287.62957190003306,0.004945987384461578,0.003973746087346137,-0.05995678420002155,0.06096010480581597,4,600,2400,155.97914844676131
year_effect[2021],year_effect[2021],1.1361242455213312,24.95846553016354,173.76537416158186,0.014553914456972942,0.009778287452632928,0.09543158542979997,0.07179708466543921,4,600,2400,24.95846553016354
year_effect[2022],year_effect[2022],1.0348199437006633,295.61506866354046,264.32428541806473,0.0037898033202114706,0.0036923924182694677,-0.022505535270392642,0.05944871078869795,4,600,2400,295.61506866354046
year_effect[2023],year_effect[2023],1.030515120812902,156.01751594053349,303.5783978039317,0.0052803835661533165,0.00448101873340751,0.0463787048443276,0.06356203144901239,4,600,2400,156.01751594053349
year_effect[2024],year_effect[2024],1.0212946426391079,256.2653415465646,235.5387756983645,0.0038107621632923736,0.002920698175231039,0.030321953954910916,0.059524025859633053,4,600,2400,256.2653415465646
z_pct_age65,pct_age65 coefficient,1.5100922104504186,7.382794671391233,14.194216175384419,0.031206983831649965,0.0230962125484811,0.04210304775492732,0.08119153434048405,4,600,2400,7.382794671391233
z_pct_male,pct_male coefficient,1.0512142149056296,39.18464664226829,34.352134483298556,0.01128970317081584,0.007983848764965589,-0.08635233002599543,0.06991693901622346,4,600,2400,39.18464664226829
