type,block,chain,accepted,proposed,acceptance_rate
count_move,transfer,1,8858,179498,0.049348739261718795
count_move,interval_transfer,1,123094,451027,0.2729193595948801
count_move,interval_path,1,99454,449325,0.22134090023924777
count_move,swap_2x2,1,25294,539566,0.04687841709818632
count_move,cycle_swap,1,1162,180584,0.006434678598325433
count_move,blocked_refresh,1,321,6400,0.05015625
parameter,beta,1,6797,20000,0.33985
parameter,state,1,7588,20000,0.3794
parameter,year,1,8194,20000,0.4097
parameter,log_sigma_state,1,8730,20000,0.4365
parameter,log_sigma_year,1,8692,20000,0.4346
parameter,log_kappa,1,8891,20000,0.44455
count_move,transfer,2,8895,179829,0.04946365714095057
count_move,interval_transfer,2,123046,450448,0.2731636060100167
count_move,interval_path,2,99506,450005,0.22112198753347184
count_move,swap_2x2,2,25317,540453,0.046844036391693634
count_move,cycle_swap,2,1208,179265,0.006738627172063705
count_move,blocked_refresh,2,335,6400,0.05234375
parameter,beta,2,6883,20000,0.34415
parameter,state,2,7842,20000,0.3921
parameter,year,2,8625,20000,0.43125
parameter,log_sigma_state,2,8810,20000,0.4405
parameter,log_sigma_year,2,8840,20000,0.442
parameter,log_kappa,2,8990,20000,0.4495
count_move,transfer,3,9095,180339,0.050432796011955265
count_move,interval_transfer,3,124163,450744,0.2754623466979039
count_move,interval_path,3,99364,448484,0.22155528402351032
count_move,swap_2x2,3,25328,540292,0.046878354667476106
count_move,cycle_swap,3,1147,180141,0.0063672345551540185
count_move,blocked_refresh,3,300,6400,0.046875
parameter,beta,3,6700,20000,0.335
parameter,state,3,6929,20000,0.34645
parameter,year,3,8027,20000,0.40135
parameter,log_sigma_state,3,8643,20000,0.43215
parameter,log_sigma_year,3,8719,20000,0.43595
parameter,log_kappa,3,9010,20000,0.4505
count_move,transfer,4,8936,179931,0.0496634821125876
count_move,interval_transfer,4,124168,449747,0.2760841095104581
count_move,interval_path,4,99799,449324,0.22210921295101085
count_move,swap_2x2,4,25538,540818,0.04722106142916841
count_move,cycle_swap,4,1149,180180,0.006376956376956377
count_move,blocked_refresh,4,313,6400,0.04890625
parameter,beta,4,6727,20000,0.33635
parameter,state,4,8265,20000,0.41325
parameter,year,4,8242,20000,0.4121
parameter,log_sigma_state,4,8804,20000,0.4402
parameter,log_sigma_year,4,8708,20000,0.4354
parameter,log_kappa,4,8936,20000,0.4468
