type,block,min,median,max
count_move,blocked_refresh,0.046875,0.04953125,0.05234375
count_move,cycle_swap,0.0063672345551540185,0.0064058174876409045,0.006738627172063705
count_move,interval_path,0.22112198753347184,0.22144809213137906,0.22210921295101085
count_move,interval_transfer,0.2729193595948801,0.27431297635396035,0.2760841095104581
count_move,swap_2x2,0.046844036391693634,0.04687838588283121,0.04722106142916841
count_move,transfer,0.049348739261718795,0.04956356962676908,0.050432796011955265
parameter,beta,0.335,0.33809999999999996,0.34415
parameter,log_kappa,0.44455,0.44815,0.4505
parameter,log_sigma_state,0.43215,0.43835,0.4405
parameter,log_sigma_year,0.4346,0.43567500000000003,0.442
parameter,state,0.34645,0.38575000000000004,0.41325
parameter,year,0.40135,0.41090000000000004,0.43125
