parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,1.019117389281005,188.02635512728966,611.1496417681232,0.008295521838687432,0.006077177537948394,-10.353430715811106,0.11352091871044102,4,1800,7200,188.02635512728966
kappa,kappa,1.0023893936754824,3464.5706894585883,4935.692253965502,0.08565059126176462,0.17175764786683687,14.400435234750729,5.5043884207803115,4,1800,7200,3464.5706894585883
primary_rurality_metro_other,metro_other vs metro_large,1.0196051562251078,239.15500156831231,665.0366291999125,0.008041174975437883,0.005754461688728905,0.24675220064586192,0.1239755411364091,4,1800,7200,239.15500156831231
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.021967606648702,152.5878092124334,290.81405753033016,0.012946739491673907,0.00915831704495864,0.30604911380972666,0.15962893573854786,4,1800,7200,152.5878092124334
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.0100020591254744,187.91881471267632,421.4227985344464,0.012436712841711814,0.008208046121309761,0.20419297454932966,0.1703822663617282,4,1800,7200,187.91881471267632
sigma_state,sigma_state,1.0170594316851091,247.55013478850705,125.63940448906673,0.0027336560830843993,0.006368703197564632,0.07387187714322746,0.06647131567529288,4,1800,7200,247.55013478850705
sigma_year,sigma_year,1.0064391770541063,738.5799560489775,292.5482301551711,0.0021756554236442133,0.0048980828673225,0.115214068600977,0.08270098971380825,4,1800,7200,738.5799560489775
state_effect[13],state_effect[13],1.0071170530596154,1037.30241603449,1786.522240433362,0.0016602186013665301,0.0016357552767681134,0.012226826947858227,0.052275805153353436,4,1800,7200,1037.30241603449
state_effect[20],state_effect[20],1.0113546771160937,1410.4051187980012,1439.9079233049395,0.0015974495425669028,0.0016550453504182174,-0.0016915483286832035,0.05539800877210602,4,1800,7200,1410.4051187980012
state_effect[21],state_effect[21],1.007581140474276,837.1599940068546,1453.0636691547854,0.002166061854342706,0.0020790228364509665,0.03128427093049133,0.05761295971646396,4,1800,7200,837.1599940068546
state_effect[29],state_effect[29],1.0034225748565178,1312.444180053252,1555.975621693468,0.0016512342178991058,0.0015395617765240994,-0.028435928330504765,0.055457101394657524,4,1800,7200,1312.444180053252
state_effect[48],state_effect[48],1.0129621878490576,886.5895627553031,1464.2453184805238,0.0019469916235347433,0.0019585469062239442,0.015087661786657462,0.05320696383093785,4,1800,7200,886.5895627553031
state_effect[51],state_effect[51],1.0027162813603736,1271.6090547094955,2406.521540199168,0.0015391809288106911,0.0014652493238976423,-0.02847128300581905,0.053439001543179446,4,1800,7200,1271.6090547094955
svi_quartile_Q2,SVI Q2 vs Q1,1.0079922808502824,413.16204249588606,787.4579089060406,0.005999718702013203,0.004276626419172709,0.16545747469506303,0.12184642754371831,4,1800,7200,413.16204249588606
svi_quartile_Q3,SVI Q3 vs Q1,1.0044805044983185,408.63489990018945,778.0314990679134,0.005244379977421007,0.004012866744015033,0.28311302676578254,0.10474883058354915,4,1800,7200,408.63489990018945
svi_quartile_Q4_highest,SVI Q4 vs Q1,1.0080395094348853,241.0976917672127,355.63281021696594,0.008319283530353676,0.005824609239514995,0.44484828715184127,0.12881715223052004,4,1800,7200,241.0976917672127
year_effect[2019],year_effect[2019],1.0038665638200523,1242.966268984193,3453.113269410826,0.001965308268849267,0.0014189042502343772,-0.07545339330311227,0.07021438463639856,4,1800,7200,1242.966268984193
year_effect[2020],year_effect[2020],1.001578751909734,1790.8120096351145,3295.6371908653523,0.001516229860247101,0.0011795892473693281,-0.05627385448818321,0.0637589824458706,4,1800,7200,1790.8120096351145
year_effect[2021],year_effect[2021],1.0037634642022435,1112.7356531816604,2275.7095059265885,0.0020399731947264195,0.0013504344784201875,0.08620632331043598,0.0697248669615335,4,1800,7200,1112.7356531816604
year_effect[2022],year_effect[2022],1.0012760624346715,2650.3186217291313,4109.357215480676,0.0011267910405706643,0.0008964717165510095,-0.021564406801816764,0.05759963574411743,4,1800,7200,2650.3186217291313
year_effect[2023],year_effect[2023],1.001085655550372,2497.5794746442994,4255.035454459519,0.0011993999043306456,0.0009417201395193409,0.03657713047111037,0.05947631932369236,4,1800,7200,2497.5794746442994
year_effect[2024],year_effect[2024],1.000531141824811,2123.628713425446,3770.541301173414,0.0013077829328089127,0.001061484230619805,0.03050820081156588,0.05948923195216484,4,1800,7200,2123.628713425446
z_pct_age65,pct_age65 coefficient,1.0170819341840043,187.9849578489777,525.8913808748696,0.006024103898981299,0.004136356439866727,0.05615116579119465,0.0824647538458929,4,1800,7200,187.9849578489777
z_pct_male,pct_male coefficient,1.0010255466775002,613.6986570275723,1381.5124066714948,0.0031677823270786433,0.0022365242865883977,-0.10933572590127802,0.07857428262320008,4,1800,7200,613.6986570275723
