truth_scenario,parameter,replicates,coverage_successes,coverage_fraction,coverage_exact_95_lower,coverage_exact_95_upper,mean_bias_irr,root_mean_squared_error_irr
baseline_rate_3_4_kappa_10,primary_rurality_metro_other,5,4,0.8,0.2835820638819105,0.9949492366205319,0.08439339980973967,0.24861175686545778
baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_adjacent,5,3,0.6,0.14663279963467313,0.9472550494736831,0.11545248034618316,0.5141117412294782
baseline_rate_3_4_kappa_10,primary_rurality_nonmetro_nonadjacent,5,5,1.0,0.4781762498950185,1.0,-0.03756634907686314,0.10600080975826554
baseline_rate_3_4_kappa_10,svi_quartile_Q2,5,4,0.8,0.2835820638819105,0.9949492366205319,-0.12543314203856676,0.15201827661967676
baseline_rate_3_4_kappa_10,svi_quartile_Q3,5,5,1.0,0.4781762498950185,1.0,-0.13008479493622177,0.16683234223691976
baseline_rate_3_4_kappa_10,svi_quartile_Q4_highest,5,5,1.0,0.4781762498950185,1.0,-0.12809381765023567,0.2061352168080194
lower_rate_2_4_kappa_10,primary_rurality_metro_other,5,5,1.0,0.4781762498950185,1.0,0.1704712557878431,0.17720957486155217
lower_rate_2_4_kappa_10,primary_rurality_nonmetro_adjacent,5,5,1.0,0.4781762498950185,1.0,0.1148384181619561,0.20649067273443475
lower_rate_2_4_kappa_10,primary_rurality_nonmetro_nonadjacent,5,5,1.0,0.4781762498950185,1.0,0.0795909279047829,0.28305010143458337
lower_rate_2_4_kappa_10,svi_quartile_Q2,5,4,0.8,0.2835820638819105,0.9949492366205319,0.05593539730505257,0.2558773352462222
lower_rate_2_4_kappa_10,svi_quartile_Q3,5,5,1.0,0.4781762498950185,1.0,-0.05430640703401439,0.13727972035876396
lower_rate_2_4_kappa_10,svi_quartile_Q4_highest,5,4,0.8,0.2835820638819105,0.9949492366205319,-0.006464088552727931,0.3105505818981944
higher_rate_5_0_kappa_10,primary_rurality_metro_other,5,5,1.0,0.4781762498950185,1.0,-0.07026827759250288,0.1038306275122991
higher_rate_5_0_kappa_10,primary_rurality_nonmetro_adjacent,5,5,1.0,0.4781762498950185,1.0,-0.03765423436114276,0.166129790413109
higher_rate_5_0_kappa_10,primary_rurality_nonmetro_nonadjacent,5,5,1.0,0.4781762498950185,1.0,-0.026356464878452012,0.19831317514540617
higher_rate_5_0_kappa_10,svi_quartile_Q2,5,5,1.0,0.4781762498950185,1.0,-0.03707850149958996,0.11304743019609363
higher_rate_5_0_kappa_10,svi_quartile_Q3,5,5,1.0,0.4781762498950185,1.0,-0.013387130471513718,0.0629944269039427
higher_rate_5_0_kappa_10,svi_quartile_Q4_highest,5,5,1.0,0.4781762498950185,1.0,-0.07717603063053793,0.19198034864292682
baseline_rate_3_4_kappa_4,primary_rurality_metro_other,5,5,1.0,0.4781762498950185,1.0,-0.07345636472656383,0.10184021275995302
baseline_rate_3_4_kappa_4,primary_rurality_nonmetro_adjacent,5,5,1.0,0.4781762498950185,1.0,-0.11269240809422079,0.17484183314086546
baseline_rate_3_4_kappa_4,primary_rurality_nonmetro_nonadjacent,5,5,1.0,0.4781762498950185,1.0,0.03553165805592422,0.1788917890098722
baseline_rate_3_4_kappa_4,svi_quartile_Q2,5,5,1.0,0.4781762498950185,1.0,0.05016351020848743,0.07649117498465088
baseline_rate_3_4_kappa_4,svi_quartile_Q3,5,5,1.0,0.4781762498950185,1.0,0.11674992389208946,0.16923682469646664
baseline_rate_3_4_kappa_4,svi_quartile_Q4_highest,5,5,1.0,0.4781762498950185,1.0,0.04605785717057194,0.19102979408867146
