handling_scenario,parameter,replicates,coverage_successes,coverage_fraction,coverage_exact_95_lower,coverage_exact_95_upper,mean_bias_irr,root_mean_squared_error_irr
oracle_complete_counts,primary_rurality_metro_other,20,19,0.95,0.7512672372279722,0.9987349105020502,0.039704105486624494,0.1530285366382508
oracle_complete_counts,primary_rurality_nonmetro_adjacent,20,18,0.9,0.6830172859809177,0.9876514728297052,0.020683781332850495,0.25758256454207906
oracle_complete_counts,primary_rurality_nonmetro_nonadjacent,20,19,0.95,0.7512672372279722,0.9987349105020502,0.014231238953274519,0.19260620372981177
oracle_complete_counts,svi_quartile_Q2,20,18,0.9,0.6830172859809177,0.9876514728297052,-0.00802772555798301,0.15497643192552757
oracle_complete_counts,svi_quartile_Q3,20,19,0.95,0.7512672372279722,0.9987349105020502,-0.0445061512647121,0.15957742385812618
oracle_complete_counts,svi_quartile_Q4_highest,20,19,0.95,0.7512672372279722,0.9987349105020502,-0.04419431811604568,0.2293532004269532
visible_exact_and_zero_only,primary_rurality_metro_other,20,6,0.3,0.11893159040572769,0.5427891822762891,-0.9676852367183388,0.9875011524500863
visible_exact_and_zero_only,primary_rurality_nonmetro_adjacent,20,5,0.25,0.08657146910143461,0.49104587170795744,-1.2502223652465494,1.2513190853353122
visible_exact_and_zero_only,primary_rurality_nonmetro_nonadjacent,20,5,0.25,0.08657146910143461,0.49104587170795744,-1.1869150637912784,1.1986845278661837
visible_exact_and_zero_only,svi_quartile_Q2,20,17,0.85,0.621073173454686,0.9679290628145363,0.265281528426946,1.5566410626925564
visible_exact_and_zero_only,svi_quartile_Q3,20,15,0.75,0.5089541282920425,0.9134285308985653,6.958274738554307e+118,3.1118350643054014e+119
visible_exact_and_zero_only,svi_quartile_Q4_highest,20,12,0.6,0.36054258730748967,0.8088099392746928,3.4126815642818867e+18,1.5261975741279957e+19
suppressed_equals_1,primary_rurality_metro_other,20,0,0.0,0.0,0.1684334709830853,-0.5916841464721545,0.5964088760104844
suppressed_equals_1,primary_rurality_nonmetro_adjacent,20,8,0.4,0.1911900607253072,0.6394574126925103,-0.41986502311097135,0.4817948704034181
suppressed_equals_1,primary_rurality_nonmetro_nonadjacent,20,6,0.3,0.11893159040572769,0.5427891822762891,-0.47540719352980726,0.501593171761271
suppressed_equals_1,svi_quartile_Q2,20,18,0.9,0.6830172859809177,0.9876514728297052,0.09917704944705458,0.2090999359236754
suppressed_equals_1,svi_quartile_Q3,20,9,0.45,0.2305778967759241,0.6847218669594515,0.43351985652739683,0.4907375995821465
suppressed_equals_1,svi_quartile_Q4_highest,20,18,0.9,0.6830172859809177,0.9876514728297052,0.30981711038767956,0.41006960496308154
suppressed_equals_5,primary_rurality_metro_other,20,1,0.05,0.0012650894979498038,0.24873276277202777,0.916209288015617,1.0048348564684906
suppressed_equals_5,primary_rurality_nonmetro_adjacent,20,0,0.0,0.0,0.1684334709830853,1.7841453889356338,1.8766958480611564
suppressed_equals_5,primary_rurality_nonmetro_nonadjacent,20,0,0.0,0.0,0.1684334709830853,1.6610895461799207,1.721689795221611
suppressed_equals_5,svi_quartile_Q2,20,18,0.9,0.6830172859809177,0.9876514728297052,-0.12763293733818146,0.20113841169820723
suppressed_equals_5,svi_quartile_Q3,20,10,0.5,0.27195784956079183,0.7280421504392081,-0.28390221314200775,0.32483328722688876
suppressed_equals_5,svi_quartile_Q4_highest,20,3,0.15,0.0320709371854637,0.37892682654531396,-0.5941086518810657,0.6046278980351024
suppressed_equals_9,primary_rurality_metro_other,20,0,0.0,0.0,0.1684334709830853,1.5666148466802847,1.6626156397550302
suppressed_equals_9,primary_rurality_nonmetro_adjacent,20,0,0.0,0.0,0.1684334709830853,2.8185668501299883,2.912089401309564
suppressed_equals_9,primary_rurality_nonmetro_nonadjacent,20,0,0.0,0.0,0.1684334709830853,2.716578768693576,2.7867157779047003
suppressed_equals_9,svi_quartile_Q2,20,17,0.85,0.621073173454686,0.9679290628145363,-0.16600522116843233,0.23346390521336838
suppressed_equals_9,svi_quartile_Q3,20,6,0.3,0.11893159040572769,0.5427891822762891,-0.3959434894312792,0.429547506792496
suppressed_equals_9,svi_quartile_Q4_highest,20,2,0.1,0.012348527170294808,0.31698271401908235,-0.7113327312528092,0.7236963696016513
population_favoring_feasible_allocation,primary_rurality_metro_other,20,18,0.9,0.6830172859809177,0.9876514728297052,0.17222885636748714,0.24836136961971708
population_favoring_feasible_allocation,primary_rurality_nonmetro_adjacent,20,19,0.95,0.7512672372279722,0.9987349105020502,0.023936272528877946,0.26035592661760365
population_favoring_feasible_allocation,primary_rurality_nonmetro_nonadjacent,20,20,1.0,0.8315665290169146,1.0,-0.025347321363418697,0.17545526320767837
population_favoring_feasible_allocation,svi_quartile_Q2,20,19,0.95,0.7512672372279722,0.9987349105020502,0.020427581654699357,0.1348421926399395
population_favoring_feasible_allocation,svi_quartile_Q3,20,20,1.0,0.8315665290169146,1.0,-0.09426520726826852,0.16345232265473544
population_favoring_feasible_allocation,svi_quartile_Q4_highest,20,20,1.0,0.8315665290169146,1.0,-0.07640996750760315,0.22330614426963838
