batch,baseline_rate_per_100k,chains_completed,computational_gate_pass,count_seed,design_summary,draws_per_chain,initialization_seed_base,interpretation_boundary,kappa,maximum_all_parameter_rhat,maximum_primary_rhat,maximum_stochastic_latent_summary_rhat,minimum_primary_bulk_ess,minimum_primary_tail_ess,minimum_stochastic_latent_summary_bulk_ess,primary_median_absolute_relative_bias_percent,primary_truth_coverage_fraction,replicate_id,scenario_id,suppressed_cell_coverage_95,suppressed_cell_rmse,truth_seed,validation_failures
1,3.4,4,True,52001,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 52001, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 39, 'grand_total': 2801, 'initialization_seed_base': 53010, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 285.0, 'minimum_pairwise_initialization_l1': 262, 'replicate_id': 1, 'scenario_id': 'baseline_rate_3_4_kappa_10', 'states': 6, 'suppressed_cells': 217, 'suppressed_fraction': 0.5023148148148148, 'truth_seed': 51001, 'zero_cells': 176}",1800,53010,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.5278510493193451,1.0319303974269791,1.000770157771405,170.84818268423658,294.62712691413606,2891.5820945521027,10.207708314299296,0.8333333333333334,1,baseline_rate_3_4_kappa_10,0.9953917050691244,0.9258935729968168,51001,0
1,2.4,4,True,52002,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 2.4, 'count_seed': 52002, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 32, 'grand_total': 1992, 'initialization_seed_base': 53020, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 245.0, 'minimum_pairwise_initialization_l1': 214, 'replicate_id': 2, 'scenario_id': 'lower_rate_2_4_kappa_10', 'states': 6, 'suppressed_cells': 198, 'suppressed_fraction': 0.4583333333333333, 'truth_seed': 51002, 'zero_cells': 202}",1800,53020,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.5283863287842774,1.0296075225993118,1.0033207900585457,145.44936862892217,377.0804957387315,2037.156877609087,19.01315778314018,0.8333333333333334,2,lower_rate_2_4_kappa_10,0.98989898989899,0.8473648719165711,51002,0
1,5.0,4,True,52003,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 5.0, 'count_seed': 52003, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 47, 'grand_total': 4193, 'initialization_seed_base': 53030, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 467.0, 'minimum_pairwise_initialization_l1': 446, 'replicate_id': 3, 'scenario_id': 'higher_rate_5_0_kappa_10', 'states': 6, 'suppressed_cells': 246, 'suppressed_fraction': 0.5694444444444444, 'truth_seed': 51003, 'zero_cells': 139}",1800,53030,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.013110987545845,1.013110987545845,1.0021214428980387,192.13140425711103,414.4739533561182,3489.765463992097,16.00362139280074,1.0,3,higher_rate_5_0_kappa_10,0.991869918699187,1.1877988887419484,51003,0
1,3.4,4,True,52004,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 52004, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 39, 'grand_total': 2616, 'initialization_seed_base': 53040, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 4.0, 'median_pairwise_initialization_l1': 313.0, 'minimum_pairwise_initialization_l1': 248, 'replicate_id': 4, 'scenario_id': 'baseline_rate_3_4_kappa_4', 'states': 6, 'suppressed_cells': 196, 'suppressed_fraction': 0.4537037037037037, 'truth_seed': 51004, 'zero_cells': 197}",1800,53040,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,4.0,1.5328205698333368,1.0297624911469856,1.0041156962453597,163.36234630526891,390.0862878634167,1137.3023220376078,9.239040334279752,1.0,4,baseline_rate_3_4_kappa_4,0.9897959183673468,1.1763198353779534,51004,0
2,3.4,4,True,72001,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 72001, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 38, 'grand_total': 2892, 'initialization_seed_base': 73010, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 360.0, 'minimum_pairwise_initialization_l1': 288, 'replicate_id': 1, 'scenario_id': 'baseline_rate_3_4_kappa_10', 'states': 6, 'suppressed_cells': 225, 'suppressed_fraction': 0.5208333333333334, 'truth_seed': 71001, 'zero_cells': 169}",1800,73010,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,2.107192049055228,1.0236479879797813,1.003103883894798,132.57317814188056,274.4170389589976,2233.499412112955,13.574399581472916,0.8333333333333334,1,baseline_rate_3_4_kappa_10,1.0,0.7952711394142159,71001,0
2,2.4,4,True,72002,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 2.4, 'count_seed': 72002, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 36, 'grand_total': 1933, 'initialization_seed_base': 73020, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 232.0, 'minimum_pairwise_initialization_l1': 218, 'replicate_id': 2, 'scenario_id': 'lower_rate_2_4_kappa_10', 'states': 6, 'suppressed_cells': 189, 'suppressed_fraction': 0.4375, 'truth_seed': 71002, 'zero_cells': 207}",1800,73020,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.017978693602923,1.017978693602923,1.0022074109953152,167.08007693458188,316.17473311520115,1752.9045575897517,5.2157741056862825,1.0,2,lower_rate_2_4_kappa_10,0.9894179894179894,0.9346315539988764,71002,0
2,5.0,4,True,72003,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 5.0, 'count_seed': 72003, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 45, 'grand_total': 3538, 'initialization_seed_base': 73030, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 454.0, 'minimum_pairwise_initialization_l1': 430, 'replicate_id': 3, 'scenario_id': 'higher_rate_5_0_kappa_10', 'states': 6, 'suppressed_cells': 265, 'suppressed_fraction': 0.6134259259259259, 'truth_seed': 71003, 'zero_cells': 122}",1800,73030,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.061147169528437,1.031121386070774,1.002023761899706,150.81601209373522,350.2222817609241,2898.920836007164,4.287636716235276,1.0,3,higher_rate_5_0_kappa_10,0.9962264150943396,1.087595721186341,71003,0
2,3.4,4,True,72004,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 72004, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 41, 'grand_total': 2618, 'initialization_seed_base': 73040, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 4.0, 'median_pairwise_initialization_l1': 271.0, 'minimum_pairwise_initialization_l1': 232, 'replicate_id': 4, 'scenario_id': 'baseline_rate_3_4_kappa_4', 'states': 6, 'suppressed_cells': 207, 'suppressed_fraction': 0.4791666666666667, 'truth_seed': 71004, 'zero_cells': 184}",1800,73040,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,4.0,1.0362854026971158,1.022627755718395,1.0016256079000856,147.8159336912367,419.0393512648313,1547.9137468013903,8.972870268695697,1.0,4,baseline_rate_3_4_kappa_4,0.9951690821256038,1.0489019588611688,71004,0
2,3.4,4,True,72005,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 72005, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 40, 'grand_total': 2718, 'initialization_seed_base': 73050, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 338.0, 'minimum_pairwise_initialization_l1': 300, 'replicate_id': 5, 'scenario_id': 'baseline_rate_3_4_kappa_10', 'states': 6, 'suppressed_cells': 224, 'suppressed_fraction': 0.5185185185185185, 'truth_seed': 71005, 'zero_cells': 168}",1800,73050,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.0157698871232674,1.0106118330127716,1.003089887936639,188.28226912438575,359.19048571470984,2661.514322177969,8.621880131938102,1.0,5,baseline_rate_3_4_kappa_10,0.9866071428571428,1.0324856850244308,71005,0
2,2.4,4,True,72006,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 2.4, 'count_seed': 72006, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 36, 'grand_total': 1953, 'initialization_seed_base': 73060, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 258.0, 'minimum_pairwise_initialization_l1': 220, 'replicate_id': 6, 'scenario_id': 'lower_rate_2_4_kappa_10', 'states': 6, 'suppressed_cells': 177, 'suppressed_fraction': 0.4097222222222222, 'truth_seed': 71006, 'zero_cells': 219}",1800,73060,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.0279406535316296,1.0191156564012147,1.0023645194277089,136.1269203603806,285.49995224836164,1205.5079661888778,10.196261898591596,1.0,6,lower_rate_2_4_kappa_10,1.0,0.8062836623326316,71006,0
