parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,1.0105893209389716,190.01129137576353,441.2679119621002,0.010444541313240872,0.007121404964776035,-10.649925516046821,0.14409579312786933,4,1800,7200,190.01129137576353
kappa,kappa,1.000209585689203,3792.2922151626703,6043.92428213134,0.06217887704972474,0.0776604032954088,11.018253048374143,3.955387308878412,4,1800,7200,3792.2922151626703
primary_rurality_metro_other,metro_other vs metro_large,1.0079212529024335,268.68772645914026,784.5966008481267,0.00939519507388153,0.006404146620712247,0.3005296863163324,0.15382546041560335,4,1800,7200,268.68772645914026
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.0091608894870774,167.08007693458188,316.17473311520115,0.01658914505878474,0.011616775684399689,0.20509222237380467,0.2130358416875191,4,1800,7200,167.08007693458188
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.007194017929762,197.05383838166324,537.3604674205072,0.014916704140616813,0.010207346007409754,0.2543724231578365,0.20913918539351642,4,1800,7200,197.05383838166324
sigma_state,sigma_state,1.0042308856436597,592.2246256202251,852.1843764700709,0.004731354543898048,0.007210331586963745,0.2273919404121264,0.1340773630682817,4,1800,7200,592.2246256202251
sigma_year,sigma_year,1.006517228691787,688.4614131120952,488.5179910518501,0.0027994371403375438,0.005318623796042629,0.14589981910641175,0.10206446759007738,4,1800,7200,688.4614131120952
state_effect[13],state_effect[13],1.0050822703489701,503.7309575245898,1371.6797986247507,0.00444352322106744,0.003118874731130073,0.13488184585352245,0.09944651028658144,4,1800,7200,503.7309575245898
state_effect[20],state_effect[20],1.0018027403221446,626.5156088363981,1235.7886938477232,0.004188865149598391,0.003504586097724129,-0.000720245213467171,0.10470652403616218,4,1800,7200,626.5156088363981
state_effect[21],state_effect[21],1.0073429510186833,657.1578151719443,1693.0375595263245,0.0035626613584709807,0.0026562450694731787,-0.04927459558380322,0.09161736893883718,4,1800,7200,657.1578151719443
state_effect[29],state_effect[29],1.002472384019416,809.8538240003185,1555.4028371848608,0.0031390961926659766,0.0024600044063989527,0.02168558434093829,0.08903521730542792,4,1800,7200,809.8538240003185
state_effect[48],state_effect[48],1.0074262706434667,334.6504419419146,628.0344838743349,0.006942175245820848,0.004805143092846749,-0.24040361260944365,0.12624678857633823,4,1800,7200,334.6504419419146
state_effect[51],state_effect[51],1.0099897406926848,717.4213118875103,1665.5007046173382,0.0032540858300981715,0.0022240845227732933,0.13383102321225332,0.08735734015816847,4,1800,7200,717.4213118875103
svi_quartile_Q2,SVI Q2 vs Q1,1.017978693602923,293.33164635988874,418.83020393507,0.009150724085061051,0.006369962120663218,0.02762464395233713,0.1558990718963458,4,1800,7200,293.33164635988874
svi_quartile_Q3,SVI Q3 vs Q1,1.0119741552009478,316.3427912683998,638.8772527119287,0.007630010622611955,0.005233018270025339,0.21723665307638582,0.13533778581538142,4,1800,7200,316.3427912683998
svi_quartile_Q4_highest,SVI Q4 vs Q1,1.0100017473798755,223.28453436407955,445.23996099473175,0.012166795640313508,0.008253634045759448,0.3139735359424319,0.1815396706669219,4,1800,7200,223.28453436407955
year_effect[2019],year_effect[2019],1.000787802498069,2841.5916630072743,3793.572492675919,0.0012707585864635835,0.0010240371160588197,0.0013334448474150475,0.06736159088816872,4,1800,7200,2841.5916630072743
year_effect[2020],year_effect[2020],1.0044786732314908,887.9054050155363,2029.0679064255605,0.0030515102105551453,0.0019948726983011443,-0.12908013238369265,0.09216465329951071,4,1800,7200,887.9054050155363
year_effect[2021],year_effect[2021],1.0030553081029774,2282.201726560103,2948.8436222173764,0.0015035183883142127,0.0012506114118486483,-0.0012323287216013422,0.07032126856427257,4,1800,7200,2282.201726560103
year_effect[2022],year_effect[2022],1.0010480001131257,1955.2749028886149,2531.1341047798433,0.0017162407130606194,0.0013716269611716895,-0.04157417422628762,0.07456761760147972,4,1800,7200,1955.2749028886149
year_effect[2023],year_effect[2023],1.003944418530067,1139.008182297696,3129.3526980497854,0.002481290310229343,0.0016798264517904414,0.10212503242236715,0.08273007058167481,4,1800,7200,1139.008182297696
year_effect[2024],year_effect[2024],1.002531242580837,1477.3205297071208,2824.7200261654734,0.0019442245575960635,0.001472571937882462,0.06842815806179942,0.0737557425081295,4,1800,7200,1477.3205297071208
z_pct_age65,pct_age65 coefficient,1.005708389231417,198.45217044668334,526.0029613336321,0.0071399622731175335,0.004827395377633422,-0.0004503197234668273,0.10052027381812287,4,1800,7200,198.45217044668334
z_pct_male,pct_male coefficient,1.0043961360324025,496.67377265045553,1454.717557966972,0.004199487096091047,0.0029646409889756294,0.003150621093171363,0.09358291141333966,4,1800,7200,496.67377265045553
