chain,block,accepted,proposed,acceptance_rate,type
1,transfer,17306,177860,0.0973012481727201,count_move
1,interval_transfer,105880,443363,0.2388110870776316,count_move
1,interval_path,84763,444814,0.1905583007729073,count_move
1,swap_2x2,9569,531823,0.0179928284410414,count_move
1,cycle_swap,561,178140,0.0031492084877062,count_move
1,blocked_refresh,741,7680,0.096484375,count_move
1,beta,11006,24000,0.4585833333333333,parameter
1,state,13654,24000,0.5689166666666666,parameter
1,year,9206,24000,0.3835833333333333,parameter
1,log_sigma_state,10496,24000,0.4373333333333333,parameter
1,log_sigma_year,10516,24000,0.4381666666666666,parameter
1,log_kappa,9079,24000,0.3782916666666667,parameter
2,transfer,17193,176802,0.0972443750636305,count_move
2,interval_transfer,106638,443927,0.2402151705122689,count_move
2,interval_path,85360,443718,0.1923744360156676,count_move
2,swap_2x2,9676,533551,0.0181350986128786,count_move
2,cycle_swap,537,178002,0.0030168200357299,count_move
2,blocked_refresh,750,7680,0.09765625,count_move
2,beta,10736,24000,0.4473333333333333,parameter
2,state,12998,24000,0.5415833333333333,parameter
2,year,5178,24000,0.21575,parameter
2,log_sigma_state,10522,24000,0.4384166666666667,parameter
2,log_sigma_year,10502,24000,0.4375833333333333,parameter
2,log_kappa,9026,24000,0.3760833333333333,parameter
3,transfer,17507,177519,0.0986204293624907,count_move
3,interval_transfer,106945,445101,0.2402713092084717,count_move
3,interval_path,85105,443422,0.1919277798575623,count_move
3,swap_2x2,9599,532300,0.0180330640616193,count_move
3,cycle_swap,553,177658,0.0031127221965799,count_move
3,blocked_refresh,802,7680,0.1044270833333333,count_move
3,beta,10877,24000,0.4532083333333333,parameter
3,state,13363,24000,0.5567916666666667,parameter
3,year,9071,24000,0.3779583333333333,parameter
3,log_sigma_state,10499,24000,0.4374583333333333,parameter
3,log_sigma_year,10480,24000,0.4366666666666666,parameter
3,log_kappa,9166,24000,0.3819166666666667,parameter
4,transfer,17616,178278,0.0988119678255309,count_move
4,interval_transfer,106983,444638,0.2406069656664522,count_move
4,interval_path,84519,443053,0.1907649874845673,count_move
4,swap_2x2,9448,532686,0.0177365277105086,count_move
4,cycle_swap,501,177345,0.0028250021145225,count_move
4,blocked_refresh,774,7680,0.10078125,count_move
4,beta,10829,24000,0.4512083333333333,parameter
4,state,12688,24000,0.5286666666666666,parameter
4,year,8583,24000,0.357625,parameter
4,log_sigma_state,10636,24000,0.4431666666666666,parameter
4,log_sigma_year,10472,24000,0.4363333333333333,parameter
4,log_kappa,9028,24000,0.3761666666666666,parameter
