baseline_rate_per_100k,chains_completed,computational_gate_pass,count_seed,design_summary,draws_per_chain,initialization_seed_base,interpretation_boundary,kappa,maximum_all_parameter_rhat,maximum_primary_rhat,maximum_stochastic_latent_summary_rhat,minimum_primary_bulk_ess,minimum_primary_tail_ess,minimum_stochastic_latent_summary_bulk_ess,primary_median_absolute_relative_bias_percent,primary_truth_coverage_fraction,replicate_id,scenario_id,suppressed_cell_coverage_95,suppressed_cell_rmse,truth_seed,validation_failures
3.4,4,True,72001,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 72001, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 38, 'grand_total': 2892, 'initialization_seed_base': 73010, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 360.0, 'minimum_pairwise_initialization_l1': 288, 'replicate_id': 1, 'scenario_id': 'baseline_rate_3_4_kappa_10', 'states': 6, 'suppressed_cells': 225, 'suppressed_fraction': 0.5208333333333334, 'truth_seed': 71001, 'zero_cells': 169}",1800,73010,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,2.107192049055228,1.0236479879797813,1.0031038838947979,132.57317814188056,274.4170389589976,2233.499412112955,13.574399581472917,0.8333333333333334,1,baseline_rate_3_4_kappa_10,1.0,0.7952711394142159,71001,0
2.4,4,True,72002,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 2.4, 'count_seed': 72002, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 36, 'grand_total': 1933, 'initialization_seed_base': 73020, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 232.0, 'minimum_pairwise_initialization_l1': 218, 'replicate_id': 2, 'scenario_id': 'lower_rate_2_4_kappa_10', 'states': 6, 'suppressed_cells': 189, 'suppressed_fraction': 0.4375, 'truth_seed': 71002, 'zero_cells': 207}",1800,73020,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.017978693602923,1.017978693602923,1.0022074109953152,167.08007693458188,316.17473311520115,1752.9045575897517,5.2157741056862825,1.0,2,lower_rate_2_4_kappa_10,0.9894179894179894,0.9346315539988764,71002,0
5.0,4,True,72003,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 5.0, 'count_seed': 72003, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 45, 'grand_total': 3538, 'initialization_seed_base': 73030, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 454.0, 'minimum_pairwise_initialization_l1': 430, 'replicate_id': 3, 'scenario_id': 'higher_rate_5_0_kappa_10', 'states': 6, 'suppressed_cells': 265, 'suppressed_fraction': 0.6134259259259259, 'truth_seed': 71003, 'zero_cells': 122}",1800,73030,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.0611471695284367,1.031121386070774,1.0020237618997059,150.81601209373522,350.2222817609241,2898.920836007164,4.287636716235276,1.0,3,higher_rate_5_0_kappa_10,0.9962264150943396,1.087595721186341,71003,0
3.4,4,True,72004,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 72004, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 41, 'grand_total': 2618, 'initialization_seed_base': 73040, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 4.0, 'median_pairwise_initialization_l1': 271.0, 'minimum_pairwise_initialization_l1': 232, 'replicate_id': 4, 'scenario_id': 'baseline_rate_3_4_kappa_4', 'states': 6, 'suppressed_cells': 207, 'suppressed_fraction': 0.4791666666666667, 'truth_seed': 71004, 'zero_cells': 184}",1800,73040,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,4.0,1.0362854026971158,1.022627755718395,1.0016256079000856,147.8159336912367,419.0393512648313,1547.9137468013905,8.972870268695697,1.0,4,baseline_rate_3_4_kappa_4,0.9951690821256038,1.0489019588611688,71004,0
3.4,4,True,72005,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 72005, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 40, 'grand_total': 2718, 'initialization_seed_base': 73050, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 338.0, 'minimum_pairwise_initialization_l1': 300, 'replicate_id': 5, 'scenario_id': 'baseline_rate_3_4_kappa_10', 'states': 6, 'suppressed_cells': 224, 'suppressed_fraction': 0.5185185185185185, 'truth_seed': 71005, 'zero_cells': 168}",1800,73050,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.0157698871232674,1.0106118330127716,1.003089887936639,188.28226912438578,359.19048571470984,2661.5143221779686,8.621880131938102,1.0,5,baseline_rate_3_4_kappa_10,0.9866071428571429,1.0324856850244308,71005,0
2.4,4,True,72006,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 2.4, 'count_seed': 72006, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 36, 'grand_total': 1953, 'initialization_seed_base': 73060, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 258.0, 'minimum_pairwise_initialization_l1': 220, 'replicate_id': 6, 'scenario_id': 'lower_rate_2_4_kappa_10', 'states': 6, 'suppressed_cells': 177, 'suppressed_fraction': 0.4097222222222222, 'truth_seed': 71006, 'zero_cells': 219}",1800,73060,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.0279406535316296,1.0191156564012147,1.0023645194277089,136.1269203603806,285.49995224836164,1205.5079661888778,10.196261898591597,1.0,6,lower_rate_2_4_kappa_10,1.0,0.8062836623326316,71006,0
5.0,4,True,72007,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 5.0, 'count_seed': 72007, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 49, 'grand_total': 3640, 'initialization_seed_base': 73070, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 446.0, 'minimum_pairwise_initialization_l1': 394, 'replicate_id': 7, 'scenario_id': 'higher_rate_5_0_kappa_10', 'states': 6, 'suppressed_cells': 247, 'suppressed_fraction': 0.5717592592592593, 'truth_seed': 71007, 'zero_cells': 136}",1800,73070,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.527562644105414,1.022284937580108,1.0022022178796757,150.36009866384603,294.46385925742663,3365.887861490922,6.18773872399686,1.0,7,higher_rate_5_0_kappa_10,0.9878542510121457,1.0766376009586145,71007,0
3.4,4,True,72008,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 72008, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 42, 'grand_total': 2681, 'initialization_seed_base': 73080, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 4.0, 'median_pairwise_initialization_l1': 332.0, 'minimum_pairwise_initialization_l1': 292, 'replicate_id': 8, 'scenario_id': 'baseline_rate_3_4_kappa_4', 'states': 6, 'suppressed_cells': 205, 'suppressed_fraction': 0.47453703703703703, 'truth_seed': 71008, 'zero_cells': 185}",1800,73080,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,4.0,1.0304385395332334,1.0304385395332334,1.0037361942279783,173.111272498955,283.2079155350972,2357.6774992855844,4.166460937091587,1.0,8,baseline_rate_3_4_kappa_4,1.0,1.0618784007210034,71008,0
3.4,4,True,72009,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 3.4, 'count_seed': 72009, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 37, 'grand_total': 2622, 'initialization_seed_base': 73090, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 349.0, 'minimum_pairwise_initialization_l1': 294, 'replicate_id': 9, 'scenario_id': 'baseline_rate_3_4_kappa_10', 'states': 6, 'suppressed_cells': 238, 'suppressed_fraction': 0.5509259259259259, 'truth_seed': 71009, 'zero_cells': 157}",1800,73090,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.0284399218060252,1.0250779819759992,1.0026270598814802,162.9926566843121,299.6398627001937,2882.717683655393,20.414785486623344,0.6666666666666666,9,baseline_rate_3_4_kappa_10,0.9915966386554622,1.067800827656951,71009,0
2.4,4,True,72010,"{'all_initializations_valid': True, 'baseline_rate_per_100k': 2.4, 'count_seed': 72010, 'counties': 72, 'county_year_rows': 432, 'design_pass': True, 'exact_cells': 34, 'grand_total': 1841, 'initialization_seed_base': 73100, 'interpretation_boundary': 'Truth-known calibration replicate design only; no empirical epidemiologic inference.', 'kappa': 10.0, 'median_pairwise_initialization_l1': 237.0, 'minimum_pairwise_initialization_l1': 216, 'replicate_id': 10, 'scenario_id': 'lower_rate_2_4_kappa_10', 'states': 6, 'suppressed_cells': 187, 'suppressed_fraction': 0.43287037037037035, 'truth_seed': 71010, 'zero_cells': 211}",1800,73100,One prespecified synthetic replicate. Batch-level coverage and bias remain exploratory until all replicates are aggregated; no empirical epidemiologic estimate is involved.,10.0,1.282371647400022,1.030640711954588,1.0036373152342952,187.3091240846836,361.22863958447186,2376.1023678612364,20.636133376901768,0.8333333333333334,10,lower_rate_2_4_kappa_10,0.983957219251337,0.7375808721840728,71010,0
