chain,block,accepted,proposed,acceptance_rate,type
1,transfer,5491,96867,0.0566859714866776,count_move
1,interval_transfer,142343,579456,0.2456493676827921,count_move
1,interval_path,97359,482300,0.2018639850715322,count_move
1,swap_2x2,37855,577965,0.0654970456688553,count_move
1,cycle_swap,3444,193412,0.0178065476805989,count_move
1,blocked_refresh,164,3200,0.05125,count_move
1,beta,3852,10000,0.3852,parameter
1,state,2915,10000,0.2915,parameter
1,year,3203,10000,0.3203,parameter
1,log_sigma_state,4552,10000,0.4552,parameter
1,log_sigma_year,6639,10000,0.6639,parameter
1,log_kappa,4077,10000,0.4077,parameter
2,transfer,5328,96661,0.055120472579427,count_move
2,interval_transfer,142714,580006,0.2460560752819798,count_move
2,interval_path,97368,482014,0.2020024314646462,count_move
2,swap_2x2,37530,578686,0.064853824008184,count_move
2,cycle_swap,3556,192633,0.0184599731094879,count_move
2,blocked_refresh,169,3200,0.0528125,count_move
2,beta,3901,10000,0.3901,parameter
2,state,2940,10000,0.294,parameter
2,year,3131,10000,0.3131,parameter
2,log_sigma_state,4436,10000,0.4436,parameter
2,log_sigma_year,6599,10000,0.6599,parameter
2,log_kappa,4029,10000,0.4029,parameter
3,transfer,5475,95991,0.0570365971809857,count_move
3,interval_transfer,142804,578450,0.2468735413605324,count_move
3,interval_path,97484,483769,0.2015093980804888,count_move
3,swap_2x2,37404,578916,0.0646104098003855,count_move
3,cycle_swap,3531,192874,0.0183072886962472,count_move
3,blocked_refresh,178,3200,0.055625,count_move
3,beta,3950,10000,0.395,parameter
3,state,2877,10000,0.2877,parameter
3,year,3208,10000,0.3208,parameter
3,log_sigma_state,4436,10000,0.4436,parameter
3,log_sigma_year,6673,10000,0.6673,parameter
3,log_kappa,4080,10000,0.408,parameter
4,transfer,5377,96589,0.0556688649846255,count_move
4,interval_transfer,142625,578980,0.2463383881999378,count_move
4,interval_path,98002,483304,0.2027750649694602,count_move
4,swap_2x2,38197,579224,0.0659451265831526,count_move
4,cycle_swap,3731,191903,0.0194421139846693,count_move
4,blocked_refresh,189,3200,0.0590625,count_move
4,beta,3934,10000,0.3934,parameter
4,state,2963,10000,0.2963,parameter
4,year,3184,10000,0.3184,parameter
4,log_sigma_state,4523,10000,0.4523,parameter
4,log_sigma_year,6601,10000,0.6601,parameter
4,log_kappa,4051,10000,0.4051,parameter
