type,block,min,median,max
count_move,blocked_refresh,0.05125,0.054218749999999996,0.0590625
count_move,cycle_swap,0.0178065476805989,0.01838363090286755,0.0194421139846693
count_move,interval_path,0.2015093980804888,0.2019332082680892,0.2027750649694602
count_move,interval_transfer,0.2456493676827921,0.2461972317409588,0.2468735413605324
count_move,swap_2x2,0.0646104098003855,0.06517543483851965,0.0659451265831526
count_move,transfer,0.055120472579427,0.05617741823565155,0.0570365971809857
parameter,beta,0.3852,0.39175000000000004,0.395
parameter,log_kappa,0.4029,0.4064,0.408
parameter,log_sigma_state,0.4436,0.44794999999999996,0.4552
parameter,log_sigma_year,0.6599,0.662,0.6673
parameter,state,0.2877,0.29274999999999995,0.2963
parameter,year,0.3131,0.31935,0.3208
