parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,1.0293023993996273,95.98102041682058,193.92344548428326,0.0018510302770791904,0.0013149892613111783,-10.640290750636384,0.018189966785647844,4,650,2600,95.98102041682058
kappa,kappa,1.364523229452016,8.924385009485505,76.28894883883653,0.28597870840265704,0.17874299613837025,9.457408020160727,0.8414409034686978,4,650,2600,8.924385009485505
primary_rurality_metro_other,metro_other vs metro_large,1.0128820433635881,138.20805074918573,267.2805629913251,0.0013183464692585304,0.000949881498304056,0.1298962832228669,0.015556796601052197,4,650,2600,138.20805074918573
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.027539795083867,73.16747911375178,160.27266743079045,0.002458749075576805,0.0018903041539416992,0.2381364069724732,0.021056228311271113,4,650,2600,73.16747911375178
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.0223615503317525,87.55581463107671,209.48377974014548,0.0028132429413926367,0.001986333480119381,0.20840547636132162,0.026207442627026557,4,650,2600,87.55581463107671
sigma_state,sigma_state,1.0340587360299047,112.76454092196761,708.7949921810991,0.002086886893426088,0.0015573134629635185,0.1883198909983442,0.021385970441214923,4,650,2600,112.76454092196761
sigma_year,sigma_year,1.0019877984750603,2210.355833166253,2126.1182469037894,0.001838406984166423,0.007754812004043569,0.1771348014815203,0.08467187452297663,4,650,2600,2210.355833166253
state_effect[01],state_effect[01],1.0357759771075712,112.52102072723396,287.09990536390865,0.003909091783712695,0.0026903704342143833,-0.2015714672986865,0.04130468596576291,4,650,2600,112.52102072723396
state_effect[02],state_effect[02],1.1007891059946857,28.228280614991025,139.43538907076103,0.014912077810756066,0.010593332603739595,0.04336377473928189,0.07859761282107684,4,650,2600,28.228280614991025
state_effect[04],state_effect[04],1.0372631745323881,127.39052898669298,237.66059959392436,0.005036638565049421,0.003953281215489427,-0.12377115064504413,0.05664824470703655,4,650,2600,127.39052898669298
state_effect[05],state_effect[05],1.0100973853137405,150.23535699207457,168.36213693809185,0.003661543751704762,0.0029405992224375023,0.10713719233396461,0.04428106669211478,4,650,2600,150.23535699207457
state_effect[06],state_effect[06],1.0070614421767192,448.5867522830603,771.572923847513,0.0012415908100816384,0.0008825037807151969,-0.06779934032340147,0.026246876727264307,4,650,2600,448.5867522830603
state_effect[08],state_effect[08],1.021567823964675,154.68642162655823,279.9409207058152,0.003233203565882844,0.002294240911563214,0.30841492441855284,0.040151889716167996,4,650,2600,154.68642162655823
state_effect[09],state_effect[09],1.025888318451575,93.83655750509526,123.22172459866745,0.006862733045092313,0.00518215605986939,0.1750739843941761,0.06364971404358286,4,650,2600,93.83655750509526
state_effect[10],state_effect[10],1.1155817476018994,39.670474414704564,18.219440752211256,0.014376268085740416,0.010404125142413565,-0.08869329631786232,0.08243655189563454,4,650,2600,39.670474414704564
state_effect[11],state_effect[11],1.1446552309533635,21.91816124086697,31.177392948847494,0.02363941057584262,0.018406238263367306,0.1883492015385377,0.109043818354625,4,650,2600,21.91816124086697
state_effect[12],state_effect[12],1.0149982470806254,196.1009514441892,407.86537719822564,0.002234644284714813,0.0015329831160204505,-0.3205473018713752,0.031339878651542925,4,650,2600,196.1009514441892
state_effect[13],state_effect[13],1.008135360886796,284.3590763731332,716.9364392986906,0.0018106427809222588,0.0012149100644149706,-0.20693467083522984,0.030484189021177156,4,650,2600,284.3590763731332
state_effect[15],state_effect[15],1.1590116372249342,20.09315395392119,132.12012993473166,0.020254990663681787,0.01307802074344716,-0.45901826377955157,0.08991336642757836,4,650,2600,20.09315395392119
state_effect[16],state_effect[16],1.0198714364576251,124.91426540898422,179.60811065063055,0.005265796551784807,0.003919692357680469,-0.044291695326775155,0.058391959129439355,4,650,2600,124.91426540898422
state_effect[17],state_effect[17],1.0141581235334411,172.61485457988636,419.14106779148335,0.0029385521206028134,0.0021175749236003335,-0.25839351505020614,0.038234696234935805,4,650,2600,172.61485457988636
state_effect[18],state_effect[18],1.0321593550340726,175.4058611912942,365.59879097134524,0.0025835267653682675,0.0018447069288673832,0.21850419350046557,0.034302385140521495,4,650,2600,175.4058611912942
state_effect[19],state_effect[19],1.044472485719936,127.57293766434805,219.85960975290848,0.004055212703371446,0.0031566697722696688,0.05056267482675933,0.04552322856946831,4,650,2600,127.57293766434805
state_effect[20],state_effect[20],1.0909328255576554,44.16591651662391,229.7968319087366,0.008374785814420286,0.0055049357595547705,-0.1009566031532851,0.05557545488285462,4,650,2600,44.16591651662391
state_effect[21],state_effect[21],1.0133930241760278,158.112513203103,361.31916312472794,0.0032589631069436997,0.002439418474590704,-0.0003627740689976094,0.04086157369521874,4,650,2600,158.112513203103
state_effect[22],state_effect[22],1.0066489635101306,160.8722049964727,420.6658363420871,0.003435232560972812,0.002354101430819775,-0.10682250199461099,0.04346102788154446,4,650,2600,160.8722049964727
state_effect[23],state_effect[23],1.053343359655785,116.1770421208376,244.03959962529788,0.005242126083161218,0.0034892272235765576,0.19995339240577611,0.05633190577324015,4,650,2600,116.1770421208376
state_effect[24],state_effect[24],1.013512853332218,187.70029144170033,362.2041091141861,0.0031712838859135613,0.002080581668888768,0.1084298924961298,0.04327989450279403,4,650,2600,187.70029144170033
state_effect[25],state_effect[25],1.0156832488949847,142.29001425005856,256.28165198734627,0.004161595867381036,0.003504472917540283,-0.391547340845312,0.04945056304448016,4,650,2600,142.29001425005856
state_effect[26],state_effect[26],1.0057551468714987,265.2611898214536,474.9655174481713,0.002078497912781272,0.0014874589640525057,-0.02568130865132852,0.03377769718391985,4,650,2600,265.2611898214536
state_effect[27],state_effect[27],1.0263026275996767,171.56973757988433,282.6956387297302,0.0030355513088287686,0.0021843691828584712,0.24989515217687955,0.03953435816325249,4,650,2600,171.56973757988433
state_effect[28],state_effect[28],1.0181564231368343,149.45713884281355,327.5631723703035,0.0036655574907877926,0.002517460277136236,0.16537314630429714,0.044773064618993705,4,650,2600,149.45713884281355
state_effect[29],state_effect[29],1.0140631201587673,239.7899840493604,501.67981830399964,0.002294738774156193,0.0015175283392179974,-0.04458568364519811,0.035485684213816295,4,650,2600,239.7899840493604
state_effect[30],state_effect[30],1.1294196175733646,25.903618244417284,168.05886537802152,0.013861841201402903,0.008474684378882064,-0.02267372491938018,0.06915381016097222,4,650,2600,25.903618244417284
state_effect[31],state_effect[31],1.0211054356514015,106.91839984861562,161.2845813941413,0.005223376080060269,0.0036157229204184667,0.1189340755017246,0.05362181874109337,4,650,2600,106.91839984861562
state_effect[32],state_effect[32],1.1104921990253354,36.6674289158921,120.7016170170673,0.013058252128883657,0.008912405907994844,-0.31423907635606035,0.07761674705228776,4,650,2600,36.6674289158921
state_effect[33],state_effect[33],1.0667562342907593,59.7088021327128,107.90528671676472,0.009784617820379043,0.007418433821015578,-0.1071282676871275,0.07553206713218877,4,650,2600,59.7088021327128
state_effect[34],state_effect[34],1.0249642431892048,111.95847298237919,238.11230896603635,0.004256555662861737,0.00297480713719139,-0.3310924591792162,0.04467283656361578,4,650,2600,111.95847298237919
state_effect[35],state_effect[35],1.0571221669919615,78.3131367546408,141.5109873633932,0.006450266544576865,0.004801656612999938,0.03896703958874599,0.056790710903879216,4,650,2600,78.3131367546408
state_effect[36],state_effect[36],1.0067928149550347,262.4459413899558,455.9299436080818,0.0019625231413920407,0.0014130515099247739,-0.09536862147368644,0.03164633353922809,4,650,2600,262.4459413899558
state_effect[37],state_effect[37],1.0083140229591618,245.17301153376988,471.7415754106255,0.0018998302636773817,0.0013718193327624485,-0.07934090829532982,0.029737268006100926,4,650,2600,245.17301153376988
state_effect[38],state_effect[38],1.0611880369218647,54.13128001009843,116.68352137955671,0.011798524122842342,0.009760785966428567,-0.09189050844771658,0.08584014691879928,4,650,2600,54.13128001009843
state_effect[39],state_effect[39],1.0092360945629477,290.118598134315,510.9490145154864,0.001725357270445746,0.001137124338647973,-0.04746043435505885,0.029423665132003944,4,650,2600,290.118598134315
state_effect[40],state_effect[40],1.0172095516067827,141.20145342439486,308.15285301501103,0.00366720342052602,0.002666168228179646,0.1300287919176418,0.043206985885387815,4,650,2600,141.20145342439486
state_effect[41],state_effect[41],1.0607069941332472,60.008961817878024,147.86625480904783,0.005753327339092541,0.003656277959342669,0.13208703337798136,0.04388985455700653,4,650,2600,60.008961817878024
state_effect[42],state_effect[42],1.0135695003990253,250.36978514422566,386.1826543716368,0.0020593841080424773,0.0015279496618134324,0.014108581845137028,0.03248554954299726,4,650,2600,250.36978514422566
state_effect[44],state_effect[44],1.157468295048424,19.31621625688811,68.24115175384738,0.02221508655808738,0.013878914433246754,0.1428094392838764,0.0982092136859725,4,650,2600,19.31621625688811
state_effect[45],state_effect[45],1.0218082465857867,187.89467593140787,268.7791416486662,0.002724795211079705,0.0021373925940727442,0.24941977097263274,0.03713500228968486,4,650,2600,187.89467593140787
state_effect[46],state_effect[46],1.0887232615532165,46.63198653511004,86.02680113170611,0.009892818181044984,0.00822848298185083,0.20325952612292575,0.06685869189847857,4,650,2600,46.63198653511004
state_effect[47],state_effect[47],1.0084526620398222,206.30704662761255,414.81274971036953,0.0022421560307699082,0.0016005016165508124,0.14687031180276194,0.03218026116851151,4,650,2600,206.30704662761255
state_effect[48],state_effect[48],1.0059753532820788,321.615285456818,698.9589264397317,0.0013555271299751826,0.0009899467948303335,0.010397436406935707,0.024318861418138025,4,650,2600,321.615285456818
state_effect[49],state_effect[49],1.0478568290616173,93.21193153015577,172.85485276797192,0.006038387786326703,0.004461695987834863,0.09581273791329864,0.05794510331463465,4,650,2600,93.21193153015577
state_effect[50],state_effect[50],1.1309958769323014,21.026075666103328,44.44505345780284,0.016657802536320668,0.012790890301270673,0.21511426662735297,0.07611731835600422,4,650,2600,21.026075666103328
state_effect[51],state_effect[51],1.0112532698142738,262.4811851421737,531.9754553316952,0.0020232306712303087,0.001493304314333187,0.009647047299096961,0.032779562564376134,4,650,2600,262.4811851421737
state_effect[53],state_effect[53],1.0323754857967227,141.4682842930397,180.67897378420366,0.0031870065685089917,0.00225410121396706,0.035431721123729845,0.03764747368549771,4,650,2600,141.4682842930397
state_effect[54],state_effect[54],1.0216950522884127,130.6159114483774,230.5830287913723,0.004277227123405719,0.002984146922129226,0.06368036414391541,0.04878781470418947,4,650,2600,130.6159114483774
state_effect[55],state_effect[55],1.0416024392349688,103.60042236696597,325.08373287127677,0.003932992447366899,0.0028985315027332567,0.03151307449230156,0.041016790595376364,4,650,2600,103.60042236696597
state_effect[56],state_effect[56],1.0507755048655902,58.527748335086635,89.06761662016699,0.010418362048960631,0.007068839023526273,0.0770321669655615,0.07876517969818884,4,650,2600,58.527748335086635
svi_quartile_Q2,SVI Q2 vs Q1,1.0335950875519027,110.95083451080436,254.13797427686453,0.0018926027376878556,0.0013584658189653277,0.10549122657380836,0.02002756013703837,4,650,2600,110.95083451080436
svi_quartile_Q3,SVI Q3 vs Q1,1.0500404240219536,89.5970703886345,209.97090476063863,0.0023300859688944833,0.0017534975393629173,0.22497223523116777,0.022151771708732747,4,650,2600,89.5970703886345
svi_quartile_Q4_highest,SVI Q4 vs Q1,1.0631317259532127,76.36162103166258,205.78916228345525,0.0027956506958595755,0.002164220253802838,0.3623897317193223,0.02456109509549433,4,650,2600,76.36162103166258
year_effect[2019],year_effect[2019],1.0019433497418035,1163.6694108347697,1512.160623336008,0.0004206871177193054,0.00029546882928154394,-0.23143720362170728,0.01435127658435691,4,650,2600,1163.6694108347697
year_effect[2020],year_effect[2020],1.0014963618657846,1327.4835063710793,1633.7113050046678,0.00037928778007181234,0.0002623573994018877,-0.06008180943672985,0.013810369302123517,4,650,2600,1327.4835063710793
year_effect[2021],year_effect[2021],1.0002297687320723,1411.788946545721,1996.459542024563,0.0003628409449675703,0.0002548662060216228,0.005028717323375081,0.013607646805150371,4,650,2600,1411.788946545721
year_effect[2022],year_effect[2022],1.0043942689218943,1108.7438798887642,1529.3139638509929,0.00040788737734156284,0.0002929819845071989,0.0939090809254511,0.013566225532278249,4,650,2600,1108.7438798887642
