chain,block,accepted,proposed,acceptance_rate,type
1,transfer,743,14362,0.0517337418186882,count_move
1,interval_transfer,20176,87202,0.2313708401183459,count_move
1,interval_path,12868,72225,0.1781654551748009,count_move
1,swap_2x2,4672,87001,0.053700532177791,count_move
1,cycle_swap,371,28710,0.0129223267154301,count_move
1,blocked_refresh,21,480,0.04375,count_move
1,beta,679,1500,0.4526666666666666,parameter
1,state,557,1500,0.3713333333333333,parameter
1,year,550,1500,0.3666666666666666,parameter
1,log_sigma_state,775,1500,0.5166666666666667,parameter
1,log_sigma_year,1138,1500,0.7586666666666667,parameter
1,log_kappa,507,1500,0.338,parameter
2,transfer,745,14328,0.0519960915689558,count_move
2,interval_transfer,20283,86690,0.2339716230245703,count_move
2,interval_path,13025,72389,0.179930652447195,count_move
2,swap_2x2,4646,86962,0.0534256341850463,count_move
2,cycle_swap,422,29131,0.0144862860869863,count_move
2,blocked_refresh,30,480,0.0625,count_move
2,beta,695,1500,0.4633333333333333,parameter
2,state,547,1500,0.3646666666666666,parameter
2,year,528,1500,0.352,parameter
2,log_sigma_state,755,1500,0.5033333333333333,parameter
2,log_sigma_year,1122,1500,0.748,parameter
2,log_kappa,458,1500,0.3053333333333333,parameter
3,transfer,794,14441,0.0549823419430787,count_move
3,interval_transfer,20437,86585,0.2360339550730496,count_move
3,interval_path,13370,72602,0.1841547064819151,count_move
3,swap_2x2,4650,87236,0.0533036819661607,count_move
3,cycle_swap,387,28636,0.0135144573264422,count_move
3,blocked_refresh,31,480,0.0645833333333333,count_move
3,beta,663,1500,0.442,parameter
3,state,515,1500,0.3433333333333333,parameter
3,year,603,1500,0.402,parameter
3,log_sigma_state,735,1500,0.49,parameter
3,log_sigma_year,1153,1500,0.7686666666666667,parameter
3,log_kappa,483,1500,0.322,parameter
4,transfer,781,14597,0.0535041446872645,count_move
4,interval_transfer,20756,86918,0.2387997883062196,count_move
4,interval_path,13408,72754,0.1842922725898232,count_move
4,swap_2x2,4804,86575,0.0554894600057753,count_move
4,cycle_swap,437,28656,0.0152498604131769,count_move
4,blocked_refresh,29,480,0.0604166666666666,count_move
4,beta,694,1500,0.4626666666666666,parameter
4,state,536,1500,0.3573333333333333,parameter
4,year,547,1500,0.3646666666666666,parameter
4,log_sigma_state,788,1500,0.5253333333333333,parameter
4,log_sigma_year,1125,1500,0.75,parameter
4,log_kappa,482,1500,0.3213333333333333,parameter
