type,block,min,median,max
count_move,blocked_refresh,0.04375,0.061458333333333295,0.0645833333333333
count_move,cycle_swap,0.0129223267154301,0.01400037170671425,0.0152498604131769
count_move,interval_path,0.1781654551748009,0.18204267946455505,0.1842922725898232
count_move,interval_transfer,0.2313708401183459,0.23500278904880995,0.2387997883062196
count_move,swap_2x2,0.0533036819661607,0.05356308318141865,0.0554894600057753
count_move,transfer,0.0517337418186882,0.052750118128110146,0.0549823419430787
parameter,beta,0.442,0.4576666666666666,0.4633333333333333
parameter,log_kappa,0.3053333333333333,0.32166666666666666,0.338
parameter,log_sigma_state,0.49,0.51,0.5253333333333333
parameter,log_sigma_year,0.748,0.7543333333333333,0.7686666666666667
parameter,state,0.3433333333333333,0.36099999999999993,0.3713333333333333
parameter,year,0.352,0.3656666666666666,0.402
