chain,draw,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed
1,1,7596,3277,0.33800928313563694
1,2,7660,3303,0.34069107787519337
1,3,7678,3311,0.34151624548736464
1,4,7778,3334,0.3438886023723569
1,5,7824,3351,0.34564208354822074
1,6,7914,3377,0.3483238782877772
1,7,7922,3386,0.34925219185146983
1,8,7998,3406,0.3513151108818979
1,9,8058,3441,0.35492521918514697
1,10,8128,3461,0.356988138215575
1,11,8166,3481,0.3590510572460031
1,12,8202,3479,0.3588447653429603
1,13,8238,3507,0.36173285198555954
1,14,8262,3534,0.3645177926766374
1,15,8320,3556,0.3667870036101083
1,16,8352,3580,0.36926250644662195
1,17,8366,3591,0.3703971119133574
1,18,8434,3594,0.3707065497679216
1,19,8460,3600,0.37132542547705005
1,20,8490,3598,0.3711191335740072
1,21,8526,3616,0.3729757607013925
1,22,8590,3649,0.37637957710159875
1,23,8674,3669,0.3784424961320268
1,24,8716,3691,0.3807117070654977
1,25,8744,3709,0.38256833419288294
1,26,8760,3726,0.38432181536874677
1,27,8814,3747,0.38648788035069626
1,28,8828,3768,0.3886539453326457
1,29,8872,3780,0.3898916967509025
1,30,8918,3800,0.39195461578133056
1,31,8888,3795,0.39143888602372356
1,32,8970,3824,0.39443011861784427
1,33,9016,3825,0.39453326456936566
1,34,9098,3850,0.3971119133574007
1,35,9130,3870,0.3991748323878288
1,36,9186,3881,0.4003094378545642
1,37,9274,3887,0.40092831356369263
1,38,9322,3901,0.4023723568849923
1,39,9330,3894,0.40165033522434246
1,40,9390,3900,0.40226921093347084
1,41,9454,3937,0.40608561113976277
1,42,9494,3957,0.4081485301701908
1,43,9476,3976,0.41010830324909747
1,44,9502,3992,0.4117586384734399
1,45,9536,3999,0.41248066013408974
1,46,9532,4009,0.4135121196493038
1,47,9574,4034,0.41609076843733883
1,48,9620,4052,0.4179473955647241
1,49,9684,4065,0.4192882929345023
1,50,9756,4091,0.4219700876740588
1,51,9822,4108,0.4237235688499226
1,52,9834,4112,0.42413615265600824
1,53,9898,4142,0.42723053120165033
1,54,9918,4170,0.4301186178442496
1,55,9954,4181,0.43125322331098503
1,56,9994,4188,0.43197524497163486
1,57,10014,4204,0.4336255801959773
1,58,10052,4200,0.4332129963898917
1,59,10138,4216,0.4348633316142341
1,60,10164,4230,0.4363073749355338
1,61,10144,4231,0.4364105208870552
1,62,10248,4242,0.4375451263537906
1,63,10288,4264,0.4398143372872615
1,64,10320,4274,0.4408457968024755
1,65,10368,4291,0.44259927797833937
1,66,10388,4303,0.4438370293965962
1,67,10458,4311,0.4446621970087674
1,68,10494,4316,0.4451779267663744
1,69,10538,4318,0.44538421866941724
1,70,10568,4332,0.44682826199071685
1,71,10578,4337,0.4473439917483239
1,72,10578,4357,0.44940691077875194
1,73,10618,4356,0.44930376482723056
1,74,10652,4365,0.45023207839092316
1,75,10722,4366,0.45033522434244455
1,76,10724,4369,0.45064466219700877
1,77,10726,4370,0.45074780814853016
1,78,10782,4377,0.45146982980918
1,79,10820,4406,0.4544610624033007
1,80,10822,4404,0.45425477050025787
1,81,10838,4406,0.4544610624033007
1,82,10862,4418,0.4556988138215575
1,83,10912,4423,0.4562145435791645
1,84,10910,4421,0.4560082516761217
1,85,11008,4446,0.4585869004641568
1,86,11034,4468,0.46085611139762767
1,87,11014,4458,0.4598246518824136
1,88,11086,4474,0.46147498710675605
1,89,11088,4484,0.4625064466219701
1,90,11110,4490,0.4631253223310985
1,91,11104,4484,0.4625064466219701
1,92,11160,4491,0.46322846828261993
1,93,11162,4511,0.465291387313048
1,94,11162,4507,0.46487880350696237
1,95,11226,4517,0.46591026302217636
1,96,11212,4529,0.4671480144404332
1,97,11262,4545,0.4687983496647757
1,98,11282,4548,0.46910778751933985
1,99,11298,4542,0.46848891181021146
1,100,11296,4544,0.46869520371325424
2,1,7806,3251,0.33532748839608045
2,2,7892,3298,0.3401753481175864
2,3,7950,3337,0.3441980402269211
2,4,7892,3332,0.3436823104693141
2,5,8000,3355,0.34605466735430634
2,6,8016,3372,0.34780814853017017
2,7,8146,3410,0.3517276946879835
2,8,8140,3420,0.35275915420319753
2,9,8184,3433,0.35410005157297575
2,10,8234,3436,0.35440948942753997
2,11,8344,3476,0.35853532748839606
2,12,8406,3478,0.3587416193914389
2,13,8476,3496,0.36059824651882416
2,14,8582,3547,0.3658586900464157
2,15,8600,3552,0.3663744198040227
2,16,8672,3567,0.36792160907684374
2,17,8726,3597,0.37101598762248583
2,18,8804,3622,0.3735946364105209
2,19,8820,3647,0.376173285198556
2,20,8870,3658,0.3773078906652914
2,21,8896,3684,0.37998968540484784
2,22,8924,3666,0.37813305827746263
2,23,8984,3700,0.3816400206291903
2,24,9012,3693,0.3809179989685405
2,25,9094,3725,0.3842186694172254
2,26,9134,3738,0.3855595667870036
2,27,9168,3746,0.3863847343991748
2,28,9274,3770,0.3888602372356885
2,29,9284,3795,0.39143888602372356
2,30,9288,3803,0.3922640536358948
2,31,9372,3817,0.39370809695719444
2,32,9388,3832,0.3952552862300155
2,33,9424,3855,0.39762764311500776
2,34,9500,3878,0.4
2,35,9478,3880,0.4002062919030428
2,36,9546,3890,0.40123775141825685
2,37,9604,3901,0.4023723568849923
2,38,9636,3902,0.4024755028365137
2,39,9680,3914,0.4037132542547705
2,40,9666,3921,0.40443527591542033
2,41,9660,3922,0.4045384218669417
2,42,9666,3924,0.40474471376998455
2,43,9664,3942,0.40660134089736977
2,44,9732,3962,0.4086642599277978
2,45,9792,3968,0.40928313563692625
2,46,9860,3982,0.4107271789582259
2,47,9960,4019,0.4145435791645178
2,48,10026,4034,0.41609076843733883
2,49,10120,4046,0.41732851985559566
2,50,10152,4064,0.4191851469829809
2,51,10134,4064,0.4191851469829809
2,52,10218,4118,0.4247550283651367
2,53,10238,4106,0.42351727694687985
2,54,10218,4122,0.4251676121712223
2,55,10268,4123,0.4252707581227437
2,56,10314,4139,0.4269210933470861
2,57,10284,4133,0.4263022176379577
2,58,10388,4161,0.429190304280557
2,59,10442,4182,0.4313563692625064
2,60,10452,4209,0.4341413099535843
2,61,10464,4218,0.43506962351727696
2,62,10498,4245,0.43785456420835484
2,63,10552,4254,0.43878287777204744
2,64,10546,4252,0.43857658586900466
2,65,10602,4265,0.4399174832387829
2,66,10582,4250,0.43837029396596183
2,67,10552,4262,0.43960804538421866
2,68,10602,4267,0.44012377514182566
2,69,10658,4280,0.44146467251160393
2,70,10700,4298,0.4433212996389892
2,71,10744,4310,0.444559051057246
2,72,10744,4295,0.443011861784425
2,73,10770,4306,0.4441464672511604
2,74,10848,4310,0.444559051057246
2,75,10872,4311,0.4446621970087674
2,76,10822,4297,0.44321815368746775
2,77,10810,4313,0.4448684889118102
2,78,10834,4310,0.444559051057246
2,79,10846,4321,0.4456936565239814
2,80,10878,4343,0.4479628674574523
2,81,10908,4366,0.45033522434244455
2,82,10860,4381,0.4518824136152656
2,83,10848,4388,0.45260443527591543
2,84,10922,4392,0.45301701908200104
2,85,10944,4407,0.4545642083548221
2,86,10930,4387,0.45250128932439404
2,87,10980,4420,0.4559051057246003
2,88,11032,4424,0.4563176895306859
2,89,11078,4441,0.4580711707065498
2,90,11116,4467,0.4607529654461062
2,91,11144,4475,0.46157813305827744
2,92,11180,4496,0.46374419804022693
2,93,11174,4482,0.46230015471892727
2,94,11202,4468,0.46085611139762767
2,95,11268,4500,0.46415678184631254
2,96,11250,4495,0.46364105208870554
2,97,11274,4509,0.46508509541000514
2,98,11292,4513,0.46549767921609075
2,99,11388,4525,0.4667354306343476
2,100,11402,4523,0.4665291387313048
3,1,7680,3268,0.3370809695719443
3,2,7772,3283,0.3386281588447653
3,3,7904,3315,0.34192882929345025
3,4,7966,3323,0.34275399690562147
3,5,8026,3361,0.3466735430634348
3,6,8024,3378,0.3484270242392986
3,7,8100,3406,0.3513151108818979
3,8,8118,3407,0.35141825683341926
3,9,8144,3423,0.35306859205776175
3,10,8200,3448,0.3556472408457968
3,11,8296,3470,0.3579164517792677
3,12,8330,3466,0.35750386797318207
3,13,8354,3477,0.3586384734399175
3,14,8394,3517,0.3627643115007736
3,15,8452,3530,0.3641052088705518
3,16,8534,3543,0.3654461062403301
3,17,8564,3562,0.36740587931923674
3,18,8622,3585,0.369778236204229
3,19,8632,3613,0.37266632284682827
3,20,8660,3624,0.3738009283135637
3,21,8682,3629,0.3743166580711707
3,22,8730,3654,0.3768953068592058
3,23,8794,3662,0.377720474471377
3,24,8794,3692,0.38081485301701906
3,25,8874,3725,0.3842186694172254
3,26,8928,3750,0.3867973182052604
3,27,8980,3758,0.38762248581743164
3,28,9010,3769,0.3887570912841671
3,29,9098,3787,0.39061371841155235
3,30,9150,3808,0.3927797833935018
3,31,9156,3812,0.3931923671995874
3,32,9194,3809,0.3928829293450232
3,33,9250,3814,0.3933986591026302
3,34,9292,3842,0.3962867457452295
3,35,9272,3846,0.3966993295513151
3,36,9308,3863,0.398452810727179
3,37,9352,3871,0.3992779783393502
3,38,9358,3875,0.3996905621454358
