parameter,label,r_hat,ess_bulk,ess_tail,mcse_mean,mcse_sd,mean,sd,chains,draws_per_chain,draws,ess
Intercept,Intercept,1.342170078321728,10.194098801322683,32.42062333396642,0.006129372143742193,0.0044884952548061435,-10.628713933894128,0.01972798164896713,4,100,400,10.194098801322683
kappa,kappa,1.727747087710161,6.555445149374774,55.96314581541545,0.2300749764427684,0.12291477952341602,4.2410545504273145,0.5619541377071423,4,100,400,6.555445149374774
primary_rurality_metro_other,metro_other vs metro_large,1.5485617197586306,7.97204727109152,15.005037405414678,0.008718897339238188,0.006146188210541914,0.13904579442347823,0.02320252367251773,4,100,400,7.97204727109152
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,1.518681563820358,8.200375097971095,16.135724494029773,0.009795075108391183,0.007475728294706812,0.23838292225502747,0.027186931973853672,4,100,400,8.200375097971095
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,1.694574667700296,6.835328497083025,29.59262922865702,0.013171593649997064,0.009775781184084523,0.22182359114472688,0.034131754309653324,4,100,400,6.835328497083025
sigma_state,sigma_state,1.0917001068347272,29.659870468531846,69.40401772604996,0.003806458237283719,0.0029714140833280033,0.16395873728545943,0.020679376832509862,4,100,400,29.659870468531846
sigma_year,sigma_year,1.002676715778164,240.3025706850516,227.98585467831117,0.006974571320911031,0.010617072502863341,0.19994462536127977,0.10103036071941918,4,100,400,240.3025706850516
state_effect[01],state_effect[01],1.1193770875680331,27.701646925969804,97.3388255190237,0.007586211955258846,0.005226472132247112,-0.1931664961961978,0.03974975156956168,4,100,400,27.701646925969804
state_effect[02],state_effect[02],1.4909198825450662,8.061441880696103,13.703750579929258,0.029853239133198258,0.02313315192051141,0.03703196963033251,0.0845155868508547,4,100,400,8.061441880696103
state_effect[04],state_effect[04],1.2877263560014662,13.01230658747753,28.026096430774906,0.01679463491641844,0.010558548622117818,-0.09603049746818966,0.06070096020826696,4,100,400,13.01230658747753
state_effect[05],state_effect[05],1.0838209886633678,33.168331758529725,57.41053075103523,0.010627448160812979,0.00610580642525732,0.1291808586731701,0.059680591628946,4,100,400,33.168331758529725
