chain,move,proposed,accepted,acceptance_rate
1,state_year_transfer,11323,269,0.02375695487061733
1,county_period_exploration,4964,481,0.09689766317485898
1,swap_2x2,4919,114,0.02317544216304127
1,cycle_swap,3794,12,0.0031628887717448603
2,state_year_transfer,11319,266,0.02350030921459493
2,county_period_exploration,4947,514,0.10390135435617547
2,swap_2x2,5036,115,0.02283558379666402
2,cycle_swap,3698,23,0.006219578150351541
3,state_year_transfer,11100,256,0.023063063063063063
3,county_period_exploration,5003,549,0.10973415950429742
3,swap_2x2,5056,96,0.0189873417721519
3,cycle_swap,3841,15,0.003905233012236397
4,state_year_transfer,11206,230,0.02052471890058897
4,county_period_exploration,4996,552,0.11048839071257005
4,swap_2x2,5066,113,0.022305566521910777
4,cycle_swap,3732,8,0.0021436227224008574
