chain,proposal,state_hash,log_likelihood,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed,maximum_absolute_cell_change,changed_county_period_totals,rurality_total__metro_large,rurality_total__metro_other,rurality_total__nonmetro_adjacent,rurality_total__nonmetro_nonadjacent,svi_total__Q1_lowest,svi_total__Q2,svi_total__Q3,svi_total__Q4_highest
1,0,983dffc6fe182a02,-31143.487570273734,0,0,0.0,0,0,28865,18409,7639,3467,7734,12576,16793,21277
1,500,437e09df31e4053b,-31102.96127886488,128,45,0.0046415678184631255,6,29,28869,18401,7653,3457,7732,12577,16795,21276
1,1000,ea599603fc783799,-31050.18971131675,264,99,0.010211449200618875,6,61,28868,18410,7650,3452,7724,12576,16804,21276
1,1500,95b0926f55630dda,-31013.39474851312,360,137,0.014130995358432182,7,89,28864,18409,7653,3454,7711,12591,16806,21272
1,2000,15016c4c900c107a,-30981.194334076208,450,167,0.017225373904074266,7,116,28872,18430,7636,3442,7715,12598,16793,21274
1,2500,7aa5d5e73fdc477f,-30952.998313561962,552,211,0.021763795771015986,7,145,28863,18433,7644,3440,7718,12605,16789,21268
1,3000,14179bf9f43e659d,-30928.201540559414,664,252,0.025992779783393503,7,167,28860,18438,7630,3452,7715,12603,16785,21277
1,3500,60510e5f5a1c4444,-30922.636813064964,706,278,0.028674574522949973,7,182,28857,18436,7635,3452,7715,12602,16780,21283
1,4000,3182fb599b0fca27,-30885.441856645222,830,326,0.033625580195977306,8,197,28860,18437,7646,3437,7704,12607,16789,21280
1,4500,8c4081da548a52ca,-30871.782484136365,896,349,0.03599793708096957,8,216,28852,18438,7645,3445,7696,12598,16798,21288
1,5000,114180e7547e8f6f,-30840.698652007002,1004,377,0.03888602372356885,8,236,28867,18441,7618,3454,7714,12589,16794,21283
1,5500,c82ec646231b15de,-30822.65238779036,1054,396,0.0408457968024755,8,249,28867,18444,7610,3459,7710,12593,16800,21277
1,6000,18847ead432c7618,-30803.03900004686,1108,413,0.04259927797833935,8,257,28863,18450,7604,3463,7714,12579,16810,21277
1,6500,9dfb251d68919e60,-30780.48305394479,1200,456,0.04703455389375967,8,271,28864,18452,7601,3463,7713,12585,16808,21274
1,7000,c220750185bddeb0,-30755.545498421372,1282,479,0.049406910778751936,8,288,28860,18456,7599,3465,7705,12594,16815,21266
1,7500,32a4e9cb0027ec49,-30723.838371640326,1382,511,0.05270758122743682,8,299,28859,18461,7599,3461,7698,12596,16820,21266
1,8000,7faf176dea733504,-30712.768019180556,1444,541,0.055801959773078905,8,314,28861,18462,7604,3453,7703,12600,16813,21264
1,8500,5d2a908e4e5e4d38,-30678.514432336786,1552,580,0.059824651882413614,8,335,28865,18456,7598,3461,7688,12607,16827,21258
1,9000,a762f17928791bc8,-30655.112091629253,1618,617,0.06364105208870552,8,354,28863,18456,7594,3467,7692,12603,16825,21260
1,9500,a090e96a3e395a92,-30616.253797256075,1692,645,0.0665291387313048,8,369,28864,18455,7602,3459,7692,12606,16819,21263
1,10000,0d4f893e13f8fe69,-30601.118321583162,1742,665,0.06859205776173286,8,378,28861,18458,7608,3453,7690,12608,16821,21261
1,10500,61bb45931dfdbe60,-30553.546701041152,1874,704,0.07261474987106756,8,400,28858,18462,7596,3464,7687,12607,16825,21261
1,11000,c5e9e12629e07d40,-30542.474242864075,1924,733,0.07560598246518824,8,407,28865,18456,7597,3462,7692,12605,16824,21259
1,11500,13b06bfe47f191fd,-30548.00253880279,1970,757,0.0780814853017019,8,423,28866,18461,7590,3463,7700,12603,16829,21248
1,12000,83152dbacebfaec3,-30511.41162932546,2058,792,0.081691593604951,8,436,28866,18463,7588,3463,7696,12619,16824,21241
1,12500,279ce86eea3d9620,-30496.214010461244,2096,811,0.08365136668385766,8,449,28864,18469,7590,3457,7697,12618,16824,21241
1,13000,d59b233dffebe02b,-30480.139260006606,2116,822,0.0847859721505931,8,452,28866,18477,7584,3453,7699,12619,16822,21240
1,13500,9fd3e79ee3c660fb,-30456.552302785905,2174,859,0.08860237235688499,8,481,28865,18475,7580,3460,7704,12625,16810,21241
1,14000,0c13ab6973a9db99,-30432.66236014748,2250,884,0.09118102114492006,8,492,28869,18470,7577,3464,7708,12625,16805,21242
1,14500,14c245f66f553830,-30392.540870524812,2348,915,0.09437854564208355,8,506,28875,18478,7565,3462,7694,12637,16805,21244
1,15000,a2e0e9c650830cb5,-30369.964904991437,2402,929,0.09582258896338319,8,515,28875,18485,7571,3449,7695,12635,16804,21246
1,15500,95f0d06bc5772bfd,-30358.086220629633,2422,943,0.09726663228468282,8,526,28874,18484,7571,3451,7697,12629,16805,21249
1,16000,a87f9b222a2a6695,-30334.000377299722,2480,965,0.09953584321815369,8,536,28875,18487,7569,3449,7695,12641,16807,21237
1,16500,8b71c96d32fb852e,-30309.78614148732,2542,985,0.10159876224858175,8,545,28875,18492,7569,3444,7701,12645,16805,21229
1,17000,9048abfd6006ca47,-30297.43766663303,2578,1005,0.10366168127900979,8,555,28872,18488,7575,3445,7699,12639,16806,21236
1,17500,fa81d47f90c51af2,-30290.412186739566,2614,1021,0.10531201650335224,8,564,28867,18488,7588,3437,7691,12642,16810,21237
1,18000,d940d6cd0bddd314,-30274.57726428972,2682,1047,0.10799381124290872,8,572,28862,18489,7589,3440,7689,12648,16807,21236
1,18500,e7fe229e3361f2dd,-30259.447985397863,2706,1070,0.11036616812790098,8,578,28863,18491,7586,3440,7687,12650,16807,21236
1,19000,916109611d3f39f9,-30251.406926440228,2720,1080,0.111397627643115,8,575,28861,18495,7586,3438,7690,12642,16814,21234
1,19500,b71537fa542e21bb,-30240.530724064727,2776,1099,0.11335740072202166,8,579,28866,18493,7587,3434,7685,12647,16811,21237
1,20000,c37f8dbbcdbe8c44,-30224.855187465717,2820,1117,0.11521402784940692,8,589,28866,18484,7593,3437,7683,12640,16817,21240
1,20500,a7ef9ac08c7c0618,-30208.631984040072,2850,1132,0.11676121712222795,8,592,28860,18479,7602,3439,7686,12640,16810,21244
1,21000,01f55a68807fd7b4,-30197.29714970182,2884,1143,0.11789582258896339,8,591,28862,18471,7612,3435,7688,12633,16814,21245
1,21500,0af893547dc1b8cb,-30183.37841469292,2936,1159,0.11954615781330583,8,602,28864,18475,7609,3432,7685,12635,16819,21241
1,22000,ca34ad496046f185,-30169.24880682473,2958,1176,0.12129963898916968,8,612,28861,18477,7610,3432,7687,12634,16812,21247
1,22500,9e8bc9e842d04154,-30150.967706586933,2998,1193,0.12305312016503352,8,623,28862,18478,7628,3412,7688,12627,16810,21255
1,23000,ebc028709cbea4fa,-30135.871410303072,3050,1211,0.12490974729241877,8,632,28864,18479,7628,3409,7696,12623,16804,21257
1,23500,580553d150325253,-30125.65710407724,3082,1224,0.12625064466219701,8,637,28864,18483,7623,3410,7695,12615,16805,21265
1,24000,17b38b67a4b56c95,-30114.548208734603,3136,1243,0.12821041774110367,8,649,28866,18490,7615,3409,7693,12620,16805,21262
1,24500,b1a46a16d6f9c2eb,-30111.12002500199,3174,1259,0.1298607529654461,8,658,28869,18493,7607,3411,7693,12618,16813,21256
1,25000,9885487f975ea400,-30101.85758057017,3210,1270,0.13099535843218155,8,656,28869,18492,7601,3418,7697,12619,16811,21253
2,0,ea24b5408da9997d,-31248.317353295766,0,0,0.0,0,0,28904,18351,7692,3433,7803,12600,16725,21252
2,500,57836f65d9fd4a23,-31207.48129833226,150,66,0.0068076328004125835,5,37,28900,18349,7696,3435,7805,12592,16734,21249
