state_fips,free_cells,exact_margin_free_cells,interval_margin_free_cells,exact_margin_counties,interval_margin_counties,exact_support_components,exact_support_cycle_rank,exact_support_cycle_edges,exact_support_four_cycle_edges,exact_support_long_cycle_only_edges,cyclic_components_without_four_cycle
01,250,122,128,22,41,1,95,122,122,0,0
02,52,17,35,3,17,1,9,17,17,0,0
04,57,43,14,9,4,1,29,43,43,0,0
05,262,88,174,16,57,1,67,88,88,0,0
06,156,117,39,25,12,1,87,114,114,0,0
08,139,45,94,10,39,1,30,45,45,0,0
09,27,27,0,5,0,1,17,27,27,0,0
10,11,11,0,3,0,1,4,10,10,0,0
11,0,0,0,0,0,0,0,0,0,0,0
12,211,155,56,34,18,1,116,152,152,0,0
13,496,186,310,38,108,1,143,183,183,0,0
15,19,19,0,4,0,1,10,19,19,0,0
16,116,40,76,8,30,1,27,39,39,0,0
17,318,126,192,25,71,1,96,126,126,0,0
18,361,173,188,34,55,1,134,173,173,0,0
19,260,81,179,15,70,1,61,80,80,0,0
20,177,41,136,9,58,1,27,40,40,0,0
21,356,109,247,21,89,1,83,109,109,0,0
22,197,101,96,21,38,1,75,100,100,0,0
23,73,49,24,10,6,1,34,48,48,0,0
24,89,64,25,13,7,1,46,63,63,0,0
25,34,30,4,9,2,1,16,27,27,0,0
26,275,145,130,28,45,1,112,145,145,0,0
27,271,99,172,19,61,1,75,98,98,0,0
28,313,129,184,25,55,1,99,129,129,0,0
29,302,99,203,19,77,1,75,98,98,0,0
30,98,35,63,6,33,1,24,35,35,0,0
31,133,13,120,3,55,1,5,11,11,0,0
32,31,17,14,3,8,1,9,17,17,0,0
33,48,30,18,6,4,1,19,30,30,0,0
34,70,64,6,16,1,1,43,62,62,0,0
35,116,82,34,15,16,1,62,82,82,0,0
36,236,179,57,36,16,1,138,177,177,0,0
37,418,285,133,55,41,1,225,283,283,0,0
38,64,17,47,3,24,1,9,17,17,0,0
39,355,221,134,41,40,1,175,221,221,0,0
40,257,128,129,23,44,1,100,128,128,0,0
41,116,78,38,16,13,1,57,77,77,0,0
42,262,203,59,46,17,1,152,195,195,0,0
44,21,17,4,3,1,1,9,17,17,0,0
45,202,160,42,32,11,1,123,159,159,0,0
46,106,11,95,2,44,1,4,10,10,0,0
47,372,224,148,42,44,1,177,223,223,0,0
48,718,340,378,68,138,1,267,337,337,0,0
49,72,37,35,9,13,1,23,36,36,0,0
50,60,38,22,7,7,1,26,38,38,0,0
51,465,194,271,37,86,1,152,194,194,0,0
53,142,101,41,20,15,1,76,100,100,0,0
54,183,65,118,12,37,1,48,65,65,0,0
55,268,160,108,30,39,1,125,159,159,0,0
56,60,22,38,4,15,1,13,22,22,0,0
