chain,move,proposed,accepted,acceptance_rate
1,state_year_transfer,1376,65,0.047238372093023256
1,county_period_exploration,7978,1274,0.1596891451491602
1,swap_2x2,8024,317,0.03950648055832502
1,cycle_swap,2622,26,0.009916094584286803
2,state_year_transfer,1322,58,0.04387291981845688
2,county_period_exploration,7958,1293,0.16247800955013822
2,swap_2x2,8072,291,0.036050545094152626
2,cycle_swap,2648,18,0.006797583081570997
3,state_year_transfer,1354,55,0.04062038404726736
3,county_period_exploration,7874,1339,0.17005334010668022
3,swap_2x2,8066,291,0.03607736176543516
3,cycle_swap,2706,20,0.007390983000739098
4,state_year_transfer,1347,41,0.030438010393466965
4,county_period_exploration,8050,1289,0.16012422360248446
4,swap_2x2,7870,272,0.034561626429479034
4,cycle_swap,2733,27,0.009879253567508232
