chain,proposal,state_hash,log_likelihood,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed,maximum_absolute_cell_change,changed_county_period_totals,rurality_total__metro_large,rurality_total__metro_other,rurality_total__nonmetro_adjacent,rurality_total__nonmetro_nonadjacent,svi_total__Q1_lowest,svi_total__Q2,svi_total__Q3,svi_total__Q4_highest
1,0,983dffc6fe182a02,-31143.487570273734,0,0,0.0,0,0,28865,18409,7639,3467,7734,12576,16793,21277
1,500,1abc743dee910d3b,-31064.381647690177,224,76,0.007839092315626612,7,54,28866,18426,7640,3448,7732,12570,16793,21285
1,1000,1d813c2d5b3af7bf,-31013.304667958488,420,138,0.014234141309953584,7,78,28864,18428,7633,3455,7727,12581,16784,21288
1,1500,3af39d8cd2829cd9,-30964.65275489398,620,212,0.021866941722537392,7,114,28869,18432,7615,3464,7733,12577,16783,21287
1,2000,84dc8b44cbb65d27,-30934.741091442433,700,255,0.02630221763795771,7,145,28869,18427,7621,3463,7734,12578,16786,21282
1,2500,cdbeee17de3f4d5b,-30906.075158589738,786,289,0.029809179989685405,7,165,28878,18425,7614,3463,7731,12581,16795,21273
1,3000,7b5785a2bd4bbf17,-30869.55793670532,880,322,0.0332129963898917,7,183,28878,18435,7603,3464,7729,12587,16791,21273
1,3500,25451ecb355b2b8c,-30819.166689229398,1040,391,0.04033006704486849,7,214,28878,18439,7604,3459,7736,12582,16791,21271
1,4000,603a46494f19bc7e,-30791.42812005715,1140,443,0.045693656523981434,7,241,28882,18440,7594,3464,7732,12596,16793,21259
1,4500,25c840c92d8f4b4d,-30761.671860853417,1226,485,0.05002578648788035,7,263,28885,18439,7604,3452,7739,12595,16792,21254
1,5000,40b49ee524798279,-30741.486459670556,1358,532,0.054873646209386284,7,287,28883,18435,7611,3451,7734,12603,16792,21251
1,5500,8f823e20635e03e9,-30694.65204782523,1490,581,0.059927797833935016,7,318,28881,18442,7618,3439,7726,12609,16799,21246
1,6000,85d25cf5d4997f20,-30650.55687701587,1672,634,0.06539453326456937,7,344,28888,18439,7606,3447,7719,12630,16786,21245
1,6500,d656cf054a4819c4,-30618.080675118545,1722,656,0.06766374419804022,7,353,28888,18440,7612,3440,7715,12629,16795,21241
1,7000,d0ade815b1e21ff2,-30572.399420839305,1848,706,0.07282104177411036,7,376,28891,18443,7626,3420,7726,12612,16806,21236
1,7500,706db14f2f23063e,-30529.63833044169,1952,736,0.07591542031975244,7,402,28894,18450,7618,3418,7724,12624,16793,21239
1,8000,8a2df3a9b6e12772,-30511.599131962263,2010,763,0.07870036101083032,8,420,28894,18455,7618,3413,7726,12626,16790,21238
1,8500,14466f5f9f183adc,-30475.593376478697,2124,808,0.08334192882929345,8,442,28896,18459,7611,3414,7718,12637,16789,21236
1,9000,7157e8c869908cb9,-30450.582746740118,2202,851,0.08777720474471377,8,454,28897,18456,7608,3419,7718,12631,16798,21233
1,9500,d0d44686fc8be03e,-30427.052216102085,2270,880,0.09076843733883445,8,475,28902,18464,7608,3406,7722,12631,16783,21244
1,10000,895806e3abb96f17,-30401.641106346524,2370,920,0.09489427539969056,8,492,28907,18469,7603,3401,7730,12627,16780,21243
1,10500,789d351a92f78c96,-30376.989494625155,2428,946,0.09757607013924703,8,494,28907,18466,7606,3401,7727,12625,16787,21241
1,11000,ff58116fe218b34e,-30361.289559561177,2476,977,0.10077359463641052,8,502,28905,18460,7610,3405,7720,12630,16789,21241
1,11500,809696c2a9ace042,-30323.815115253987,2608,1026,0.10582774626095925,8,511,28891,18464,7615,3410,7716,12636,16793,21235
1,12000,8fd777fc9981c5c6,-30310.95449079884,2674,1059,0.10923156266116554,8,521,28891,18460,7624,3405,7723,12631,16789,21237
1,12500,37d7189cc830bdeb,-30289.957485712417,2762,1098,0.11325425477050026,8,534,28892,18464,7615,3409,7726,12640,16784,21230
1,13000,3f189181d82c4f86,-30266.998479067068,2828,1129,0.11645177926766374,8,548,28891,18467,7609,3413,7720,12650,16782,21228
1,13500,0776b69d94018f83,-30260.834136499147,2890,1154,0.11903042805569881,8,562,28891,18460,7611,3418,7726,12652,16783,21219
1,14000,ea4a2382b69a8855,-30225.483066585686,3018,1195,0.12325941206807632,8,582,28886,18459,7611,3424,7715,12659,16784,21222
1,14500,28e24c333ee1ccd2,-30211.65055984427,3120,1230,0.12686952037132543,8,595,28891,18456,7612,3421,7721,12642,16784,21233
