chain,move,proposed,accepted,acceptance_rate
1,state_year_transfer,8993,338,0.03758478816857556
1,county_period_exploration,3988,577,0.1446840521564694
1,swap_2x2,3993,152,0.03806661657901327
1,cycle_swap,3026,20,0.006609385327164574
2,state_year_transfer,9051,310,0.034250359076345153
2,county_period_exploration,3964,597,0.15060544904137235
2,swap_2x2,4034,135,0.03346554288547347
2,cycle_swap,2951,27,0.009149440867502542
3,state_year_transfer,8910,332,0.0372615039281706
3,county_period_exploration,4108,653,0.15895813047711782
3,swap_2x2,3936,126,0.03201219512195122
3,cycle_swap,3046,17,0.005581089954038083
4,state_year_transfer,8963,332,0.03704116925136673
4,county_period_exploration,4019,652,0.1622294103010699
4,swap_2x2,4004,158,0.039460539460539464
4,cycle_swap,3014,19,0.0063039150630391505
