chain,proposal,state_hash,log_likelihood,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed,maximum_absolute_cell_change,changed_county_period_totals,rurality_total__metro_large,rurality_total__metro_other,rurality_total__nonmetro_adjacent,rurality_total__nonmetro_nonadjacent,svi_total__Q1_lowest,svi_total__Q2,svi_total__Q3,svi_total__Q4_highest
1,0,983dffc6fe182a02,-31143.487570273734,0,0,0.0,0,0,28865,18409,7639,3467,7734,12576,16793,21277
1,500,1ed00b32904f5580,-31113.30832382571,104,44,0.004538421866941722,6,36,28866,18404,7638,3472,7737,12575,16785,21283
1,1000,384a6ddd4326b563,-31085.76181281481,204,80,0.008251676121712223,6,61,28861,18408,7642,3469,7731,12583,16785,21281
1,1500,a7c5ca7546e49a05,-31036.455676832295,304,120,0.012377514182568335,6,85,28861,18410,7646,3463,7726,12591,16780,21283
1,2000,e750d088198a6883,-31005.72374490992,386,154,0.01588447653429603,6,109,28859,18418,7648,3455,7720,12599,16780,21281
1,2500,79999092b08b0067,-30954.338066262368,546,210,0.021660649819494584,7,148,28862,18426,7635,3457,7719,12600,16780,21281
1,3000,89f3414abbd89d85,-30923.678908538684,674,255,0.02630221763795771,7,170,28867,18425,7633,3455,7719,12605,16779,21277
1,3500,da5d6a88e6118a91,-30905.97091024188,724,278,0.028674574522949973,7,185,28866,18425,7641,3448,7712,12609,16784,21275
1,4000,25def7f13e26ea00,-30882.40747557603,808,312,0.03218153687467767,8,216,28860,18419,7639,3462,7704,12620,16783,21273
1,4500,95790267f8e8c156,-30859.109983080023,868,341,0.03517276946879835,8,230,28859,18420,7648,3453,7703,12622,16782,21273
1,5000,dedef7bd178ce261,-30827.504278177563,980,381,0.03929860752965446,8,261,28859,18425,7658,3438,7692,12637,16791,21260
1,5500,50a841bc49e7f945,-30788.91804958514,1052,404,0.041670964414646725,8,276,28859,18436,7646,3439,7690,12632,16791,21267
1,6000,0dac965903138816,-30780.495909778085,1062,414,0.042702423929860754,8,283,28862,18436,7646,3436,7682,12637,16799,21262
1,6500,2245f5d316dab161,-30739.782377397292,1184,454,0.046828261990716866,8,302,28869,18438,7646,3427,7683,12633,16808,21256
1,7000,95b74e46fd8a4c38,-30724.893109017627,1290,497,0.051263537906137184,8,325,28857,18435,7656,3432,7679,12629,16816,21256
1,7500,3fd5f7a81aee0e7a,-30702.85260968967,1370,529,0.05456420835482207,8,342,28856,18439,7667,3418,7685,12630,16816,21249
1,8000,e4c0c8ff82adb9bc,-30684.06955303659,1414,544,0.05611139762764312,8,353,28862,18445,7662,3411,7686,12627,16823,21244
1,8500,60796955d289853c,-30657.17420016694,1458,561,0.057864878803506964,8,358,28862,18448,7661,3409,7678,12633,16830,21239
1,9000,014f97d4f8d5efc4,-30628.440712259966,1522,586,0.060443527591542034,8,377,28866,18444,7657,3413,7681,12636,16835,21228
1,9500,2010e00dd6ccafe3,-30603.03556237339,1596,620,0.06395048994326973,8,385,28866,18447,7655,3412,7686,12629,16836,21229
1,10000,6bddca2535801183,-30578.824762127908,1684,658,0.06787003610108304,8,400,28867,18443,7663,3407,7678,12630,16848,21224
1,10500,09980e916d54e60f,-30542.966089045043,1788,690,0.07117070654976793,8,412,28873,18450,7665,3392,7676,12634,16848,21222
1,11000,8476085d5a0a7c77,-30517.792542629384,1850,710,0.07323362558019597,7,423,28875,18456,7655,3394,7669,12635,16856,21220
1,11500,7c6dcc9d30d13abd,-30491.284588030845,1934,740,0.07632800412583807,7,439,28874,18455,7660,3391,7664,12629,16847,21240
1,12000,3210ce15ea9970f2,-30456.836711107797,2022,771,0.07952552862300155,8,463,28873,18458,7668,3381,7670,12632,16847,21231
1,12500,c13d1f207ae4ca57,-30429.93766865518,2126,811,0.08365136668385766,8,481,28875,18452,7671,3382,7667,12640,16847,21226
1,13000,591ed9bec807e97a,-30422.261366294944,2164,828,0.08540484785972151,8,483,28876,18450,7672,3382,7668,12636,16845,21231
1,13500,dc8d2e4ea69da34a,-30418.023105921187,2210,858,0.08849922640536359,8,493,28878,18454,7668,3380,7673,12630,16840,21237
1,14000,116ee7ee53c9044b,-30405.45104411756,2262,885,0.09128416709644147,8,510,28877,18455,7665,3383,7677,12622,16843,21238
1,14500,5d94bca0f1a6e035,-30375.551853235957,2364,922,0.09510056730273336,8,526,28876,18452,7671,3381,7687,12610,16845,21238
1,15000,6a41b13f26e420c2,-30345.151663217184,2494,964,0.09943269726663229,8,539,28878,18454,7660,3388,7688,12619,16840,21233
1,15500,fdf2ea33d953c12f,-30327.958736275334,2546,984,0.10149561629706035,8,550,28876,18456,7666,3382,7691,12618,16842,21229
1,16000,76b04de4f056991c,-30302.284526992637,2620,1007,0.1038679731820526,8,566,28879,18450,7667,3384,7694,12610,16848,21228
1,16500,009269f1f163487b,-30294.49300345197,2658,1031,0.10634347601856627,8,581,28879,18452,7668,3381,7694,12613,16843,21230
1,17000,582f8267d8b6a03a,-30267.06992289862,2750,1072,0.11057246003094379,8,595,28876,18449,7663,3392,7697,12611,16836,21236
1,17500,337e7e99e46b5672,-30246.003238713984,2804,1097,0.11315110881897886,8,605,28877,18455,7654,3394,7703,12604,16837,21236
1,18000,06dad5e82ef04ad3,-30233.588844798604,2822,1101,0.11356369262506447,8,607,28880,18450,7650,3400,7700,12612,16838,21230
1,18500,463de95bd7826369,-30210.794538638587,2888,1120,0.11552346570397112,8,622,28882,18455,7642,3401,7697,12611,16842,21230
1,19000,95dac72dc92d9e2e,-30195.455758905184,2918,1139,0.11748323878287777,8,623,28879,18451,7644,3406,7695,12611,16842,21232
1,19500,1529cae44014711c,-30187.073806729197,2948,1149,0.1185146982980918,8,625,28879,18450,7648,3403,7697,12610,16848,21225
1,20000,3e120203dc8368a0,-30174.662378155328,3002,1169,0.12057761732851986,8,633,28880,18448,7638,3414,7702,12603,16850,21225
2,0,ea24b5408da9997d,-31248.317353295766,0,0,0.0,0,0,28904,18351,7692,3433,7803,12600,16725,21252
2,500,2d2c47638dbe7947,-31239.10196851263,60,20,0.0020629190304280558,5,12,28904,18346,7699,3431,7803,12606,16714,21257
2,1000,c73a77eaa02b2d8d,-31203.4734074811,166,58,0.005982465188241362,6,42,28902,18347,7693,3438,7808,12600,16710,21262
2,1500,961de6053ee7987a,-31150.411967989563,254,98,0.010108303249097473,6,74,28902,18356,7686,3436,7800,12594,16733,21253
2,2000,7161c1bc622ce2ee,-31118.1655766609,330,128,0.013202681794739556,6,85,28902,18355,7688,3435,7800,12598,16725,21257
2,2500,807aa425c3aea8cc,-31081.89374723423,450,178,0.018359979370809697,6,121,28902,18356,7688,3434,7797,12600,16731,21252
2,3000,fe841a7c66bc6c3d,-31067.40291278024,526,216,0.022279525528623,6,146,28903,18355,7688,3434,7795,12603,16733,21249
