chain,move,proposed,accepted,acceptance_rate
1,state_year_transfer,1207,39,0.03231151615575808
1,county_period_exploration,11329,1923,0.16974137170094447
1,swap_2x2,6217,210,0.0337783496863439
1,cycle_swap,1247,9,0.007217321571772253
2,state_year_transfer,1301,56,0.04304381245196003
2,county_period_exploration,11182,1903,0.1701842246467537
2,swap_2x2,6288,264,0.04198473282442748
2,cycle_swap,1229,10,0.008136696501220505
3,state_year_transfer,1210,44,0.03636363636363636
3,county_period_exploration,11208,2025,0.1806745182012848
3,swap_2x2,6296,230,0.03653113087674714
3,cycle_swap,1286,7,0.005443234836702955
4,state_year_transfer,1282,50,0.0390015600624025
4,county_period_exploration,11164,1837,0.16454675743461125
4,swap_2x2,6303,229,0.036331905441853087
4,cycle_swap,1251,11,0.008792965627498001
