chain,proposal,state_hash,log_likelihood,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed,maximum_absolute_cell_change,changed_county_period_totals,rurality_total__metro_large,rurality_total__metro_other,rurality_total__nonmetro_adjacent,rurality_total__nonmetro_nonadjacent,svi_total__Q1_lowest,svi_total__Q2,svi_total__Q3,svi_total__Q4_highest
1,0,983dffc6fe182a02,-31143.487570273734,0,0,0.0,0,0,28865,18409,7639,3467,7734,12576,16793,21277
1,500,6275f1e6d8de94dc,-31055.103380431727,210,80,0.008251676121712223,7,60,28865,18408,7642,3465,7731,12571,16806,21272
1,1000,b3d64934a911e234,-31025.083634091505,370,140,0.01444043321299639,7,97,28862,18405,7660,3453,7722,12577,16807,21274
1,1500,d02a0f742e299737,-30989.42550358007,516,200,0.020629190304280558,7,130,28858,18416,7656,3450,7717,12589,16809,21265
1,2000,a6c09691710a5521,-30964.301183488056,606,238,0.02454873646209386,7,155,28853,18422,7662,3443,7714,12581,16820,21265
1,2500,249f07fe97532be9,-30886.61477315136,778,312,0.03218153687467767,7,221,28866,18419,7672,3423,7717,12582,16814,21267
1,3000,8df19dbf883ec677,-30858.971018604625,888,360,0.037132542547705004,7,251,28864,18426,7662,3428,7708,12588,16821,21263
1,3500,450f10750a1b76d1,-30798.59187797701,1058,427,0.04404332129963899,7,292,28866,18429,7671,3414,7715,12588,16820,21257
1,4000,f1224debba0dd924,-30735.16796268945,1182,481,0.04961320268179474,7,333,28867,18439,7663,3411,7719,12588,16814,21259
1,4500,18c18707664aea1e,-30693.19576702795,1332,528,0.05446106240330067,7,374,28872,18435,7652,3421,7710,12606,16791,21273
1,5000,c9ad86759dbf1259,-30652.651647471408,1426,568,0.05858690046415678,8,396,28871,18433,7661,3415,7724,12602,16786,21268
1,5500,84bc33c5b87d9083,-30590.67024722798,1580,637,0.06570397111913358,8,436,28868,18426,7681,3405,7722,12596,16800,21262
1,6000,6e6a55da417266b3,-30553.689366720304,1702,683,0.0704486848891181,8,467,28864,18433,7679,3404,7716,12598,16819,21247
1,6500,598a3691ff077022,-30524.934271694132,1806,730,0.07529654461062403,8,483,28864,18434,7687,3395,7724,12597,16810,21249
1,7000,f4baf65d17b81405,-30488.082420451567,1870,763,0.07870036101083032,8,496,28856,18436,7702,3386,7726,12595,16812,21247
1,7500,b57a4773cdd88360,-30451.726636009575,1992,810,0.08354822073233625,8,508,28859,18432,7705,3384,7727,12586,16812,21255
1,8000,5bd3bfa3c3d77d0b,-30430.002443887133,2082,849,0.08757091284167097,8,531,28866,18427,7710,3377,7726,12587,16824,21243
1,8500,238492bae2d40336,-30411.80046634276,2224,897,0.09252191851469829,8,564,28868,18422,7719,3371,7737,12591,16820,21232
1,9000,3611d96661f2b49d,-30393.370168482375,2290,932,0.0961320268179474,8,597,28865,18418,7720,3377,7732,12586,16824,21238
1,9500,5be9e7524612ce90,-30366.032333888703,2348,961,0.09912325941206808,8,613,28872,18415,7707,3386,7724,12600,16822,21234
1,10000,194537ff7e4a360a,-30331.59295746756,2494,1013,0.10448684889118103,8,635,28873,18420,7717,3370,7733,12606,16820,21221
1,10500,e8cba66b3ed83f2a,-30292.944082926588,2614,1059,0.10923156266116554,8,657,28875,18429,7706,3370,7738,12608,16815,21219
1,11000,d6115f872dd2b807,-30267.622686012066,2672,1094,0.11284167096441465,8,671,28874,18431,7688,3387,7740,12610,16809,21221
1,11500,a39f9f8817e72a36,-30241.514539068114,2754,1128,0.11634863331614234,8,681,28868,18439,7686,3387,7740,12611,16797,21232
1,12000,216b4d8f8626c88a,-30222.390911374216,2808,1163,0.11995874161939143,8,692,28864,18443,7690,3383,7735,12612,16810,21223
1,12500,84f6a9fe75083331,-30205.59834419024,2866,1192,0.12294997421351211,8,705,28860,18453,7684,3383,7737,12616,16798,21229
1,13000,8c048f7e8c603ac6,-30184.924246814804,2928,1224,0.12625064466219701,8,735,28867,18453,7669,3391,7744,12608,16799,21229
1,13500,e6ed42fdce1940ed,-30166.95728987722,2972,1253,0.1292418772563177,8,740,28867,18455,7662,3396,7745,12624,16790,21221
1,14000,ae1a713b9c00f519,-30134.42702022026,3026,1285,0.13254254770500257,8,758,28860,18462,7660,3398,7744,12623,16788,21225
1,14500,102dfa56778d3340,-30117.527581083716,3092,1316,0.13574007220216608,8,775,28861,18459,7658,3402,7749,12618,16785,21228
1,15000,ba4d04e1877404af,-30082.69905770719,3184,1338,0.13800928313563693,8,786,28852,18459,7677,3392,7755,12623,16789,21213
1,15500,8ede3fb276e4f189,-30076.985262443082,3234,1363,0.140587931923672,8,787,28849,18455,7686,3390,7752,12625,16797,21206
