chain,move,proposed,accepted,acceptance_rate
1,state_year_transfer,1260,56,0.044444444444444446
1,county_period_exploration,4988,749,0.15016038492381717
1,swap_2x2,12509,469,0.03749300503637381
1,cycle_swap,1243,15,0.012067578439259855
2,state_year_transfer,1259,43,0.03415409054805401
2,county_period_exploration,4997,796,0.15929557734640784
2,swap_2x2,12471,459,0.03680538850132307
2,cycle_swap,1273,14,0.010997643362136685
3,state_year_transfer,1236,39,0.03155339805825243
3,county_period_exploration,5067,793,0.15650286165383856
3,swap_2x2,12405,479,0.03861346231358323
3,cycle_swap,1292,11,0.008513931888544891
4,state_year_transfer,1281,49,0.03825136612021858
4,county_period_exploration,5009,788,0.15731682970652824
4,swap_2x2,12475,427,0.03422845691382766
4,cycle_swap,1235,8,0.006477732793522267
