chain,proposal,state_hash,log_likelihood,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed,maximum_absolute_cell_change,changed_county_period_totals,rurality_total__metro_large,rurality_total__metro_other,rurality_total__nonmetro_adjacent,rurality_total__nonmetro_nonadjacent,svi_total__Q1_lowest,svi_total__Q2,svi_total__Q3,svi_total__Q4_highest
1,0,983dffc6fe182a02,-31143.487570273734,0,0,0.0,0,0,28865,18409,7639,3467,7734,12576,16793,21277
1,500,520fdfd38f42d0fc,-31087.625771357907,144,54,0.00556988138215575,5,33,28861,18420,7638,3461,7736,12565,16793,21286
1,1000,6c2655b96446e570,-31058.673191539223,250,103,0.010624033006704487,5,66,28864,18425,7639,3452,7737,12572,16794,21277
1,1500,45b68924dfb0274b,-31016.28453050571,356,147,0.01516245487364621,5,100,28865,18422,7644,3449,7730,12570,16806,21274
1,2000,ca6d48760a8b0855,-30969.630167092655,490,194,0.02001031459515214,6,131,28869,18432,7648,3431,7724,12581,16802,21273
1,2500,0fe59385a8da3b64,-30925.167664901033,616,234,0.024136152656008252,7,158,28867,18448,7653,3412,7725,12583,16798,21274
1,3000,7f822667f3221fc3,-30880.943496285483,814,309,0.03187209902011346,7,196,28871,18449,7649,3411,7724,12588,16796,21272
1,3500,75293f1d4ebfc2a8,-30855.689942482015,920,345,0.03558535327488396,7,212,28873,18449,7654,3404,7723,12598,16800,21259
1,4000,d948d8ab16fb7c0a,-30799.914568166,1086,411,0.04239298607529655,7,236,28875,18458,7638,3409,7718,12604,16798,21260
1,4500,59974cd8b0973523,-30775.361225906283,1196,457,0.04713769984528107,7,254,28872,18457,7647,3404,7717,12606,16798,21259
1,5000,9df0c905fcca0006,-30753.779962751876,1270,490,0.05054151624548736,7,275,28867,18462,7650,3401,7714,12602,16806,21258
1,5500,4897c24dc394ceef,-30725.040590105393,1370,530,0.05466735430634347,7,293,28863,18457,7645,3415,7707,12599,16812,21262
1,6000,bbacba7f8aa61e33,-30688.271970378006,1560,598,0.06168127900979887,7,321,28864,18448,7648,3420,7703,12587,16816,21274
1,6500,55a9660982b91af4,-30652.831342895144,1730,650,0.06704486848891181,7,338,28866,18456,7634,3424,7695,12601,16820,21264
1,7000,0b7ca8774ec3cfbb,-30610.111922517957,1842,693,0.07148014440433213,7,351,28868,18460,7635,3417,7695,12598,16830,21257
1,7500,8c74b7995ed5a4ed,-30573.359053228367,1968,741,0.07643115007735947,7,366,28868,18454,7641,3417,7692,12598,16840,21250
1,8000,d3ac524160cbdccf,-30564.19901070492,2048,788,0.08127900979886539,7,381,28865,18453,7657,3405,7681,12610,16836,21253
1,8500,74b335c70062a3cf,-30540.691571991672,2160,830,0.08561113976276431,7,398,28864,18458,7651,3407,7682,12614,16835,21249
1,9000,55e35142b18fcc7f,-30507.193482988827,2290,868,0.08953068592057761,8,411,28865,18461,7644,3410,7691,12606,16829,21254
1,9500,05bb72280ee2cda1,-30473.172751238853,2370,891,0.09190304280556988,8,428,28868,18460,7636,3416,7694,12602,16831,21253
1,10000,5223c82110785c59,-30463.881853159328,2406,906,0.09345023207839093,8,430,28867,18458,7632,3423,7695,12601,16832,21252
1,10500,e7ecaeeb2fb20470,-30441.539100757698,2480,936,0.09654461062403301,8,438,28866,18455,7634,3425,7691,12601,16834,21254
1,11000,136ce1fbd4eaae0f,-30415.96311525659,2590,976,0.10067044868488911,8,458,28867,18458,7629,3426,7695,12600,16831,21254
1,11500,f64438b0ad70d31e,-30400.452060555897,2658,1007,0.1038679731820526,8,461,28865,18454,7636,3425,7694,12605,16827,21254
1,12000,247838bb90d77bde,-30375.50118577204,2720,1036,0.10685920577617329,8,466,28869,18451,7645,3415,7697,12609,16823,21251
1,12500,1ccc681c6756248d,-30355.201206060996,2802,1063,0.10964414646725117,8,476,28869,18452,7642,3417,7694,12613,16828,21245
1,13000,2f9206f99595fb41,-30323.985686426247,2904,1107,0.11418256833419288,8,491,28870,18457,7633,3420,7700,12612,16830,21238
1,13500,222063ad40bbfd2e,-30320.38863964093,2974,1143,0.11789582258896339,8,514,28875,18457,7625,3423,7699,12621,16822,21238
1,14000,4634e8acb859bdd0,-30299.71136345061,3020,1170,0.12068076328004126,8,530,28875,18456,7629,3420,7702,12616,16823,21239
1,14500,2c7b6d735993c4a8,-30263.427997286548,3114,1210,0.12480660134089737,8,543,28879,18447,7644,3410,7698,12614,16829,21239
1,15000,5c0f8963f4506060,-30240.85301866872,3194,1236,0.12748839608045384,8,550,28880,18441,7650,3409,7693,12620,16830,21237
1,15500,d087c3d1741223bd,-30231.293470730623,3294,1269,0.13089221248066013,8,564,28877,18439,7654,3410,7690,12624,16825,21241
1,16000,21eeab4493776f74,-30209.99792512424,3406,1306,0.13470861268695203,8,576,28876,18437,7650,3417,7706,12616,16821,21237
1,16500,a9231765bfb92c93,-30199.8683548254,3440,1321,0.13625580195977308,8,579,28874,18439,7646,3421,7703,12612,16818,21247
1,17000,fb2316a26d61d384,-30162.376567853025,3524,1356,0.13986591026302217,8,591,28879,18442,7636,3423,7708,12612,16807,21253
1,17500,ad60ff1bf4d88a2d,-30131.899847690125,3588,1385,0.14285714285714285,8,597,28875,18442,7629,3434,7703,12611,16813,21253
1,18000,59aa0e79382538eb,-30116.93197230558,3622,1409,0.14533264569365653,8,606,28873,18449,7626,3432,7702,12611,16815,21252
1,18500,4cf3eee2d905f0a9,-30098.56557087649,3664,1434,0.1479112944816916,8,612,28874,18451,7618,3437,7702,12615,16816,21247
1,19000,099e8114ff4ed345,-30094.82004133324,3722,1467,0.1513151108818979,8,616,28879,18451,7615,3435,7704,12616,16813,21247
1,19500,df916fc68c32af91,-30079.351519856886,3788,1494,0.15410005157297577,8,623,28880,18455,7625,3420,7703,12611,16813,21253
1,20000,1093f45248d28158,-30061.67159643383,3882,1530,0.15781330582774625,8,635,28880,18448,7628,3424,7707,12614,16812,21247
2,0,ea24b5408da9997d,-31248.317353295766,0,0,0.0,0,0,28904,18351,7692,3433,7803,12600,16725,21252
2,500,fbd3e0687bff73d5,-31161.809807729755,244,87,0.008973697782362042,6,42,28899,18354,7699,3428,7785,12600,16750,21245
2,1000,e4484cb78f6bc1e4,-31093.228071551403,458,171,0.017637957710159875,6,75,28899,18364,7709,3408,7783,12599,16747,21251
2,1500,744981f4c4649a00,-31034.646385496577,634,242,0.024961320268179474,6,116,28902,18373,7694,3411,7789,12595,16742,21254
2,2000,7953ff34679926a3,-30998.750472800013,744,296,0.030531201650335224,6,147,28909,18376,7685,3410,7797,12590,16740,21253
2,2500,14265dd237615acf,-30942.510918145843,884,356,0.036719958741619395,7,184,28911,18375,7692,3402,7793,12583,16739,21265
2,3000,e7408600fa3a6817,-30902.72946399852,1002,403,0.04156781846312532,8,193,28917,18379,7688,3396,7803,12571,16750,21256
2,3500,00b305edb8d184ba,-30858.33389314726,1142,462,0.047653429602888084,8,227,28914,18370,7691,3405,7806,12570,16746,21258
2,4000,0d415b0424bf3fc2,-30818.53624475414,1278,510,0.05260443527591542,8,255,28912,18376,7677,3415,7808,12566,16754,21252
2,4500,6c423af478958a45,-30764.742736000007,1398,556,0.057349149045899946,8,284,28905,18373,7681,3421,7809,12559,16764,21248
2,5000,6b53d4c1d284cd49,-30730.7540432039,1492,596,0.06147498710675606,8,302,28907,18379,7681,3413,7808,12556,16779,21237
2,5500,04ed24c01da5a253,-30709.18090428512,1548,631,0.06508509541000515,8,321,28910,18375,7682,3413,7795,12561,16783,21241
2,6000,7935e945045e89f6,-30671.584842093856,1668,673,0.06941722537390407,8,341,28904,18388,7677,3411,7789,12560,16795,21236
2,6500,e815541dfd9500f3,-30642.45009289355,1744,712,0.07343991748323879,8,356,28908,18387,7675,3410,7782,12563,16795,21240
2,7000,6b8fbb57b6212d7c,-30612.0281939035,1872,767,0.07911294481691594,8,372,28906,18385,7669,3420,7767,12575,16810,21228
2,7500,c04db4a3ce0d304d,-30572.64543893381,1962,802,0.08272305312016504,8,385,28905,18382,7679,3414,7752,12581,16820,21227
2,8000,8c12d99df38c0312,-30560.063725161854,2014,821,0.08468282619907169,8,389,28905,18386,7676,3413,7755,12582,16813,21230
2,8500,77e9021d08acec57,-30516.74702301382,2100,850,0.08767405879319237,8,395,28908,18387,7668,3417,7761,12569,16808,21242
2,9000,bb469e28b6962d2b,-30492.22033532848,2168,874,0.09014956162970604,8,408,28910,18388,7670,3412,7760,12566,16809,21245
2,9500,9986e32ec46be771,-30472.462627143603,2254,919,0.09479112944816916,8,430,28913,18386,7657,3424,7761,12563,16811,21245
2,10000,d18c7628a7609e83,-30452.99742136742,2338,949,0.09788550799381124,8,445,28913,18380,7659,3428,7757,12576,16806,21241
2,10500,0a0b2e7d75973ddb,-30431.093493290937,2398,976,0.10067044868488911,8,454,28919,18381,7659,3421,7759,12574,16803,21244
2,11000,9e632bb2cd55e097,-30402.10940892117,2474,1007,0.1038679731820526,8,466,28919,18383,7644,3434,7750,12580,16804,21246
2,11500,1abd22c607dfbd9c,-30385.40205305467,2530,1037,0.1069623517276947,8,481,28919,18381,7645,3435,7746,12587,16800,21247
2,12000,112e5a7d86b82927,-30367.4284859061,2618,1068,0.11015987622485818,8,490,28919,18380,7651,3430,7739,12588,16819,21234
2,12500,2fbee28159872cfa,-30365.41152574365,2646,1084,0.11181021144920061,8,491,28916,18384,7649,3431,7743,12586,16818,21233
2,13000,dd4d08a8985c16e8,-30335.331435192646,2756,1114,0.1149045899948427,8,496,28919,18387,7642,3432,7740,12589,16817,21234
2,13500,a815795ac9e51fca,-30312.340559060307,2840,1145,0.1181021144920062,8,507,28915,18402,7629,3434,7743,12588,16815,21234
2,14000,f9b2e2a87cf07292,-30270.059745413746,2924,1172,0.12088705518308407,8,520,28919,18411,7617,3433,7736,12584,16829,21231
2,14500,3f746beb759fc3e7,-30256.61045174144,2996,1201,0.12387828777720475,8,535,28920,18408,7617,3435,7738,12588,16824,21230
2,15000,3b7fa0e23855bc72,-30226.5156388277,3100,1240,0.12790097988653945,8,542,28922,18407,7615,3436,7741,12590,16824,21225
2,15500,3fa86a837e1c4401,-30207.94620489684,3150,1263,0.13027333677153172,8,553,28921,18405,7608,3446,7740,12581,16828,21231
2,16000,a6a6daf630e6e10c,-30194.786128268766,3214,1284,0.13243940175348118,8,551,28921,18413,7599,3447,7738,12579,16832,21231
2,16500,b85f64809416e71d,-30171.766676478364,3272,1307,0.13481175863847344,8,555,28914,18409,7609,3448,7730,12586,16828,21236
2,17000,cb6e6a29714bf14b,-30155.20331523675,3404,1347,0.13893759669932956,8,568,28920,18396,7609,3455,7732,12584,16829,21235
2,17500,acf6047350141d70,-30142.159425099053,3436,1361,0.1403816400206292,8,582,28917,18399,7609,3455,7738,12580,16828,21234
2,18000,4098fb138f0b1428,-30124.98727347135,3464,1370,0.14130995358432183,8,591,28911,18397,7624,3448,7736,12580,16834,21230
2,18500,33340238fd1a08a9,-30104.20028402437,3524,1397,0.1440948942753997,8,598,28910,18396,7619,3455,7736,12580,16827,21237
2,19000,f0d0388447ba5a44,-30087.179193691678,3560,1419,0.14636410520887055,8,606,28902,18393,7637,3448,7731,12582,16821,21246
2,19500,acc27f811acb774e,-30072.369044659663,3624,1446,0.14914904589994843,8,614,28899,18395,7640,3446,7732,12582,16821,21245
2,20000,94838061dae37edd,-30049.72519183154,3712,1480,0.15265600825167613,8,620,28902,18393,7640,3445,7725,12587,16827,21241
3,0,28fe06375b1c5c3a,-31148.00016508593,0,0,0.0,0,0,28912,18463,7519,3486,7712,12619,16809,21240
3,500,15e6f79b57c47e5f,-31086.019049664446,174,65,0.006704486848891181,7,48,28918,18464,7528,3470,7709,12622,16806,21243
3,1000,c4225d16b76305b9,-31041.695233673934,316,120,0.012377514182568335,7,77,28925,18453,7532,3470,7706,12629,16799,21246
3,1500,af2f04316fec4271,-30989.05137447447,486,189,0.019494584837545126,7,111,28921,18453,7522,3484,7701,12628,16813,21238
3,2000,2810c7018baf21bb,-30938.530172611267,610,244,0.02516761217122228,7,134,28928,18449,7524,3479,7708,12624,16822,21226
3,2500,f3fe6189efb247cf,-30904.46105507001,750,292,0.03011861784424961,7,149,28929,18451,7526,3474,7716,12623,16816,21225
3,3000,822f4f92c32a45c7,-30870.64984701279,834,338,0.03486333161423414,7,173,28926,18447,7542,3465,7722,12621,16808,21229
3,3500,a821198303379270,-30844.65226925333,918,382,0.03940175348117586,7,189,28919,18445,7551,3465,7726,12623,16801,21230
3,4000,da5896e0aa93da31,-30811.515055341944,1038,435,0.04486848891181021,8,212,28920,18443,7557,3460,7726,12620,16798,21236
3,4500,318c3f3bb96ff6a2,-30779.091107878696,1168,486,0.05012893243940175,8,236,28921,18451,7551,3457,7727,12617,16798,21238
3,5000,495e0cd3c5e751fe,-30729.53547910674,1308,540,0.0556988138215575,8,259,28925,18459,7551,3445,7726,12618,16806,21230
3,5500,8770d0e01dcfc23e,-30686.265057551267,1454,593,0.06116554925219185,8,279,28935,18455,7527,3463,7719,12617,16809,21235
3,6000,2f660278c0e2a53e,-30660.315757921548,1548,624,0.06436307374935533,8,294,28927,18458,7523,3472,7718,12621,16811,21230
3,6500,7d92ea3c206436bd,-30636.49267452012,1632,663,0.06838576585869005,8,327,28920,18461,7528,3471,7723,12620,16814,21223
3,7000,d25ac3906e5feb02,-30595.945494373667,1736,696,0.07178958225889634,8,338,28919,18463,7543,3455,7720,12627,16811,21222
3,7500,b6b205e6e7456050,-30582.059352786397,1778,719,0.0741619391438886,8,349,28922,18460,7549,3449,7726,12623,16811,21220
3,8000,a9494070ecc22346,-30558.655598547073,1902,764,0.07880350696235172,8,370,28922,18452,7561,3445,7725,12631,16805,21219
3,8500,e5648df53fa64fa6,-30515.06426311522,2064,819,0.08447653429602887,8,390,28914,18459,7556,3451,7726,12629,16805,21220
3,9000,0c38b2548cd09c7e,-30510.381667625203,2114,844,0.08705518308406394,8,406,28912,18460,7560,3448,7722,12626,16815,21217
3,9500,af43b7d3282f5b91,-30481.875513016686,2260,906,0.09345023207839093,8,421,28912,18465,7553,3450,7719,12630,16809,21222
3,10000,21e140a0b83800bd,-30458.98636327694,2316,933,0.0962351727694688,8,444,28906,18467,7557,3450,7719,12614,16818,21229
3,10500,d7964301ad15abb5,-30421.470898393734,2408,978,0.10087674058793192,8,455,28903,18478,7555,3444,7723,12610,16816,21231
3,11000,9ade0721d1b0f032,-30405.881054948724,2450,1006,0.1037648272305312,8,469,28905,18478,7556,3441,7722,12612,16813,21233
3,11500,50b016942fa39dfe,-30388.3343152577,2498,1029,0.10613718411552346,8,478,28906,18480,7545,3449,7722,12613,16815,21230
3,12000,f2b0ba90dd7ef26e,-30371.562687128542,2556,1051,0.10840639504899433,8,491,28894,18476,7563,3447,7725,12606,16814,21235
3,12500,20e272b8e50de77f,-30354.419146881868,2644,1090,0.11242908715832904,8,504,28896,18473,7559,3452,7728,12603,16817,21232
3,13000,aa7b5251fe0c9efc,-30323.917696216682,2750,1129,0.11645177926766374,8,513,28892,18479,7562,3447,7739,12608,16809,21224
3,13500,f1ba4e94b0549160,-30290.279581242266,2834,1168,0.12047447137699845,8,533,28895,18477,7573,3435,7742,12602,16810,21226
3,14000,30e88cb2ffdc1f22,-30272.318462588628,2874,1191,0.12284682826199071,8,544,28896,18480,7563,3441,7740,12603,16816,21221
3,14500,1afd6441e33234bd,-30240.981875261416,2922,1219,0.12573491490459,8,550,28895,18480,7567,3438,7735,12610,16810,21225
3,15000,7f8d58bc5e871416,-30226.95967317077,2986,1241,0.12800412583806087,8,559,28897,18481,7556,3446,7732,12619,16808,21221
3,15500,2dde2d4824b4713a,-30205.667842632756,3070,1273,0.13130479628674574,8,566,28894,18477,7566,3443,7724,12621,16815,21220
3,16000,d71d58c6609b0a56,-30182.44473338381,3148,1306,0.13470861268695203,8,576,28897,18479,7569,3435,7726,12618,16812,21224
3,16500,e3a588575f2f0490,-30169.093170736243,3164,1317,0.13584321815368747,8,581,28903,18472,7577,3428,7726,12617,16814,21223
3,17000,d322664c4f530d67,-30138.510384579906,3238,1351,0.13935018050541517,8,591,28907,18462,7587,3424,7733,12606,16813,21228
3,17500,f7918d70042aaba0,-30123.54310586767,3278,1368,0.141103661681279,8,593,28908,18458,7593,3421,7734,12600,16816,21230
3,18000,3c0450d0d3b72f62,-30124.344984529376,3304,1379,0.14223826714801444,8,600,28911,18460,7583,3426,7739,12590,16815,21236
3,18500,fe44c534e96220b6,-30110.996300521452,3356,1397,0.1440948942753997,8,612,28909,18460,7588,3423,7738,12586,16813,21243
3,19000,3644824e516271ec,-30084.83361622105,3392,1417,0.14615781330582775,8,627,28908,18451,7589,3432,7721,12588,16826,21245
3,19500,564760e56df20675,-30064.47767279417,3478,1462,0.15079938112429087,8,642,28902,18446,7594,3438,7717,12591,16824,21248
3,20000,2c269ffcf01bbe51,-30058.61739100422,3540,1493,0.15399690562145435,8,653,28905,18442,7613,3420,7725,12593,16823,21239
4,0,77f8354ce465a460,-31227.291672304895,0,0,0.0,0,0,28925,18382,7685,3388,7791,12645,16781,21163
4,500,01dbd8ffa50e2fc8,-31195.305767561134,190,65,0.006704486848891181,8,34,28921,18373,7698,3388,7795,12643,16775,21167
4,1000,445c177586d37a2d,-31143.822911740273,346,118,0.012171222279525528,8,75,28917,18383,7707,3373,7789,12633,16772,21186
4,1500,3e18d40b0b2c485d,-31088.067235974348,524,192,0.019804022692109336,8,115,28912,18380,7728,3360,7788,12635,16775,21182
4,2000,1c75fedd4b6ba8e8,-31039.54871379442,656,248,0.02558019597730789,8,145,28914,18377,7726,3363,7783,12643,16766,21188
4,2500,0b896cdb8b341c7c,-30961.45641534899,788,298,0.03073749355337803,8,175,28909,18377,7726,3368,7761,12649,16770,21200
4,3000,5978794e25e4f822,-30912.463357456058,896,335,0.03455389375966993,8,194,28911,18381,7712,3376,7759,12653,16772,21196
4,3500,223ff42c65ecb3d4,-30849.584111364245,1046,385,0.039711191335740074,8,217,28910,18382,7712,3376,7758,12641,16783,21198
4,4000,205cb5f3d2f2ef2e,-30828.356605908964,1114,420,0.04332129963898917,8,225,28908,18379,7714,3379,7754,12634,16793,21199
4,4500,006848fd9add3539,-30794.841510822836,1208,460,0.04744713769984528,8,254,28904,18379,7709,3388,7752,12623,16799,21206
4,5000,b9d3c773ff5c2536,-30762.920722778996,1300,507,0.052294997421351214,8,286,28906,18369,7713,3392,7755,12610,16809,21206
4,5500,ee91ea7e520570fb,-30723.010556075285,1400,539,0.0555956678700361,8,311,28907,18372,7700,3401,7749,12610,16801,21220
4,6000,acc2f4860897f146,-30701.10498506853,1488,577,0.05951521402784941,8,322,28906,18371,7689,3414,7748,12609,16801,21222
4,6500,d89f785df5a96350,-30657.153337860265,1648,644,0.0664259927797834,8,338,28906,18382,7688,3404,7748,12603,16812,21217
4,7000,69c148d4e301c9b6,-30632.7445127892,1722,671,0.06921093347086127,8,349,28899,18388,7680,3413,7742,12604,16822,21212
4,7500,5bbf1faa2ba4831b,-30596.719325275844,1812,719,0.0741619391438886,8,364,28900,18384,7694,3402,7729,12617,16823,21211
4,8000,2e43f22f112d8626,-30579.731792426224,1886,742,0.07653429602888087,8,376,28902,18385,7688,3405,7719,12625,16821,21215
4,8500,c56b6bd38c0009ca,-30562.57134783332,1954,792,0.081691593604951,8,389,28902,18383,7693,3402,7716,12629,16823,21212
4,9000,90fac0541d6e2676,-30536.201755846327,2048,822,0.0847859721505931,8,407,28898,18387,7692,3403,7714,12634,16828,21204
4,9500,94102b907e01de73,-30508.925317254034,2106,856,0.08829293450232079,8,408,28898,18389,7697,3396,7716,12637,16823,21204
4,10000,63afef91a3d41b8b,-30482.958970112482,2164,883,0.09107787519339866,8,425,28896,18385,7694,3405,7717,12626,16830,21207
4,10500,a6be77032649a40f,-30449.869334350617,2260,914,0.09427539969056214,8,436,28901,18384,7694,3401,7714,12623,16847,21196
4,11000,58252682cda01f3e,-30430.008569881,2332,943,0.09726663228468282,8,452,28901,18383,7695,3401,7716,12623,16846,21195
4,11500,08a51f911e98ce7c,-30396.269029594423,2438,992,0.10232078390923156,8,478,28901,18377,7695,3407,7704,12624,16854,21198
4,12000,8dfc6034b0754216,-30379.58753803314,2532,1031,0.10634347601856627,8,493,28899,18377,7695,3409,7708,12617,16855,21200
4,12500,c923ad9077249973,-30350.689458644927,2616,1065,0.10985043837029397,8,505,28899,18379,7692,3410,7710,12618,16860,21192
4,13000,d38d2beefc5d5d44,-30332.67039949808,2654,1086,0.11201650335224342,8,509,28900,18383,7690,3407,7708,12618,16861,21193
4,13500,c523e4525bec6597,-30304.069345072006,2730,1111,0.11459515214027849,8,525,28896,18389,7696,3399,7708,12628,16858,21186
4,14000,39364770fc72e204,-30278.41608317844,2832,1157,0.11933986591026302,8,530,28893,18397,7693,3397,7705,12627,16866,21182
4,14500,e6e7009c629ce820,-30262.35925639946,2906,1183,0.1220216606498195,8,548,28892,18402,7689,3397,7708,12626,16863,21183
