chain,move,proposed,accepted,acceptance_rate
1,state_year_transfer,3889,164,0.04217022370789406
1,county_period_exploration,9073,1510,0.16642786288989309
1,swap_2x2,6077,215,0.03537929899621524
1,cycle_swap,961,10,0.01040582726326743
2,state_year_transfer,3967,137,0.03453491303251827
2,county_period_exploration,9100,1535,0.1686813186813187
2,swap_2x2,5964,237,0.039738430583501
2,cycle_swap,969,7,0.007223942208462332
3,state_year_transfer,4039,145,0.03589997524139638
3,county_period_exploration,8918,1496,0.16775061673020858
3,swap_2x2,6090,237,0.03891625615763547
3,cycle_swap,953,7,0.007345225603357817
4,state_year_transfer,3956,155,0.03918099089989889
4,county_period_exploration,9021,1467,0.1626205520452278
4,swap_2x2,5991,227,0.03789016858621265
4,cycle_swap,1032,9,0.00872093023255814
