chain,proposal,state_hash,log_likelihood,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed,maximum_absolute_cell_change,changed_county_period_totals,rurality_total__metro_large,rurality_total__metro_other,rurality_total__nonmetro_adjacent,rurality_total__nonmetro_nonadjacent,svi_total__Q1_lowest,svi_total__Q2,svi_total__Q3,svi_total__Q4_highest
1,0,983dffc6fe182a02,-31143.487570273734,0,0,0.0,0,0,28865,18409,7639,3467,7734,12576,16793,21277
1,500,914c6a119973050b,-31063.46452085385,244,85,0.008767405879319236,8,52,28861,18421,7636,3462,7723,12582,16795,21280
1,1000,270d184080fe368b,-31009.239168118685,414,149,0.015368746776689014,8,100,28851,18427,7652,3450,7735,12570,16798,21277
1,1500,9acb9b7012a61f43,-30967.021296227012,570,230,0.02372356884992264,8,157,28854,18442,7639,3445,7736,12574,16790,21280
1,2000,b7f4f47a3391a721,-30900.07278173814,756,295,0.030428055698813822,8,192,28858,18441,7650,3431,7729,12592,16775,21284
1,2500,ca5937d343b9d594,-30863.48830829903,882,348,0.03589479112944817,8,221,28857,18450,7646,3427,7737,12584,16775,21284
1,3000,8284ff44c119457d,-30825.908263827656,1042,404,0.041670964414646725,8,260,28857,18448,7647,3428,7736,12584,16780,21280
1,3500,800891b5882e5f96,-30791.19225450675,1130,443,0.045693656523981434,8,277,28857,18454,7643,3426,7734,12598,16770,21278
1,4000,68b851d69aea43f6,-30755.708280118848,1232,494,0.05095410005157298,8,305,28856,18458,7634,3432,7729,12604,16764,21283
1,4500,7a4733c77f993eb6,-30726.265116015464,1302,528,0.05446106240330067,8,316,28862,18457,7622,3439,7733,12614,16759,21274
1,5000,1733f3a94535084f,-30708.745874398453,1394,570,0.058793192367199584,8,342,28863,18462,7616,3439,7733,12618,16765,21264
1,5500,5d32658f3a59b52f,-30684.623885924164,1476,607,0.0626095925734915,8,366,28852,18472,7627,3429,7725,12610,16772,21273
1,6000,d9dbee46e86eb66a,-30637.905129295075,1620,669,0.06900464156781846,8,406,28852,18482,7613,3433,7727,12607,16767,21279
1,6500,0d251eadedbe4018,-30595.344405739914,1750,717,0.0739556472408458,8,432,28858,18480,7620,3422,7728,12598,16773,21281
1,7000,46c14febe7e95e06,-30589.242636888986,1808,734,0.07570912841670964,8,441,28859,18477,7619,3425,7731,12599,16772,21278
1,7500,891f0160c3d8a417,-30549.66626334483,1904,766,0.07900979886539454,8,468,28872,18469,7618,3421,7742,12594,16781,21263
1,8000,7843578f5b7a9c89,-30523.088449930205,2000,810,0.08354822073233625,8,487,28872,18484,7621,3403,7736,12603,16757,21284
1,8500,cdc4d2f2b120568b,-30494.246292282427,2104,849,0.08757091284167097,8,512,28871,18471,7623,3415,7738,12603,16758,21281
1,9000,7e5a55e70fa8f9e2,-30458.50138451728,2210,886,0.09138731304796287,8,541,28869,18474,7623,3414,7738,12603,16754,21285
1,9500,32384fad7492a44f,-30439.977084694434,2292,916,0.09448169159360495,8,562,28868,18464,7632,3416,7737,12600,16750,21293
1,10000,e6c7dbe47ea8ef3e,-30414.273357060887,2376,953,0.09829809179989685,8,576,28873,18462,7635,3410,7733,12605,16752,21290
1,10500,5b4038f60144760a,-30379.089077268443,2442,981,0.10118617844249614,8,589,28870,18472,7638,3400,7737,12598,16750,21295
1,11000,8fa4061e76689386,-30355.999215287437,2506,1021,0.10531201650335224,8,601,28872,18474,7640,3394,7734,12604,16745,21297
1,11500,09c523d2636fe94e,-30327.837637829034,2566,1049,0.10820010314595152,8,614,28876,18467,7652,3385,7741,12600,16740,21299
1,12000,fb931eff7dab7b21,-30308.78070167102,2612,1063,0.10964414646725117,8,622,28876,18471,7652,3381,7738,12597,16744,21301
1,12500,a0b61406606c3137,-30296.289673381987,2692,1098,0.11325425477050026,8,639,28877,18470,7643,3390,7737,12596,16753,21294
1,13000,ca31070953bf1edd,-30269.322599027517,2794,1141,0.11768953068592057,8,660,28877,18471,7635,3397,7731,12595,16757,21297
1,13500,1cd4c441027b2d25,-30250.88252687172,2862,1171,0.12078390923156267,8,674,28876,18470,7633,3401,7728,12587,16769,21296
1,14000,ac5ab7eed061e126,-30217.74867656742,2946,1204,0.12418772563176896,8,681,28878,18475,7624,3403,7724,12592,16765,21299
1,14500,fb09d8be68aeed2b,-30207.92234728232,2984,1216,0.1254254770500258,8,691,28882,18472,7626,3400,7719,12608,16761,21292
1,15000,f30e6f0746be634c,-30184.378172391625,3038,1236,0.12748839608045384,8,703,28874,18479,7625,3402,7719,12610,16759,21292
1,15500,d269b279a8d575b9,-30164.67005738003,3106,1269,0.13089221248066013,8,720,28870,18479,7623,3408,7713,12609,16766,21292
1,16000,0d0d5a279bbe9ea7,-30150.572972384623,3164,1286,0.13264569365652398,8,723,28872,18478,7625,3405,7713,12618,16759,21290
1,16500,4c292a6818f80d64,-30134.85839183504,3198,1303,0.13439917483238784,8,728,28875,18469,7629,3407,7703,12623,16776,21278
1,17000,ba06be0c2e35b651,-30116.91738309901,3266,1322,0.1363589479112945,8,728,28878,18474,7618,3410,7706,12619,16781,21274
1,17500,b41fecacc1519052,-30106.141773264244,3298,1338,0.13800928313563693,8,738,28883,18471,7619,3407,7703,12625,16777,21275
1,18000,629efd46ff5ca817,-30096.406639204164,3302,1343,0.13852501289324395,8,732,28882,18473,7617,3408,7709,12618,16779,21274
1,18500,c2112f85b5759d2c,-30064.738130460802,3388,1369,0.1412068076328004,8,740,28880,18472,7615,3413,7705,12618,16786,21271
1,19000,3148ad327460c584,-30066.05192219914,3424,1390,0.14337287261474987,8,748,28879,18468,7621,3412,7706,12608,16799,21267
1,19500,9873ccd68e841d62,-30054.111405081298,3506,1422,0.14667354306343475,8,760,28884,18471,7618,3407,7684,12619,16805,21272
1,20000,3228c0d575aa7492,-30030.946850368717,3566,1452,0.14976792160907684,8,762,28886,18463,7622,3409,7679,12620,16808,21273
2,0,ea24b5408da9997d,-31248.317353295766,0,0,0.0,0,0,28904,18351,7692,3433,7803,12600,16725,21252
2,500,5777b222122e549f,-31185.88541202234,210,79,0.00814853017019082,6,54,28901,18342,7702,3435,7790,12599,16733,21258
2,1000,809e89dad9cf6eb3,-31099.034151257772,434,158,0.01629706034038164,8,110,28895,18343,7689,3453,7776,12590,16742,21272
2,1500,85c7fb7a888621a5,-31042.258315659376,598,229,0.023620422898401237,8,160,28897,18355,7680,3448,7778,12586,16754,21262
2,2000,172982628c8528f6,-30982.63656563631,750,294,0.03032490974729242,8,202,28892,18360,7688,3440,7768,12590,16763,21259
2,2500,0a15124572336759,-30904.090822246057,934,360,0.037132542547705004,8,238,28890,18371,7683,3436,7764,12590,16772,21254
2,3000,a7d1e6e7cd130502,-30866.539863848713,1040,407,0.04198040226921093,8,277,28890,18374,7699,3417,7765,12599,16762,21254
2,3500,36b0b716d438590d,-30839.906284488417,1168,446,0.04600309437854564,8,301,28884,18368,7708,3420,7755,12602,16772,21251
2,4000,bbfbd322a1c31187,-30801.52255563834,1284,489,0.05043837029396596,8,322,28888,18368,7702,3422,7755,12605,16774,21246
2,4500,faf4a6b950a727cb,-30737.41968384967,1466,548,0.05652398143372873,8,353,28886,18387,7693,3414,7745,12624,16773,21238
2,5000,13e870ac8706836d,-30702.00029173195,1584,589,0.06075296544610624,8,375,28882,18393,7680,3425,7753,12608,16780,21239
2,5500,81b3c8dc0c1e88bd,-30666.73427055699,1684,639,0.06591026302217638,8,394,28888,18389,7672,3431,7757,12614,16783,21226
2,6000,d6c9203e05db6254,-30630.23474118524,1798,684,0.0705518308406395,8,420,28883,18386,7682,3429,7756,12612,16782,21230
2,6500,18855cccf26665fe,-30614.805771310326,1876,723,0.07457452294997421,8,441,28875,18390,7689,3426,7753,12621,16780,21226
2,7000,fafed14f95bc597b,-30565.44555367216,2002,765,0.07890665291387312,8,458,28874,18386,7690,3430,7739,12641,16769,21231
2,7500,ba8ebae2705d9bb5,-30540.208033438525,2064,796,0.08210417741103662,8,466,28875,18383,7699,3423,7744,12633,16773,21230
2,8000,c9c44f51f4811f41,-30509.666293199425,2174,836,0.08623001547189273,8,483,28868,18381,7703,3428,7738,12631,16780,21231
2,8500,805126a27d2fd342,-30482.3446749507,2262,883,0.09107787519339866,8,510,28869,18395,7696,3420,7743,12627,16778,21232
2,9000,70dcd39c6dbc4342,-30452.324335052042,2330,927,0.09561629706034039,8,527,28868,18395,7686,3431,7741,12631,16772,21236
2,9500,9c0cef1f26cd229b,-30427.363044679507,2416,966,0.09963898916967509,8,546,28862,18399,7699,3420,7752,12626,16760,21242
2,10000,be8da7b767a602f4,-30388.35473703575,2514,1004,0.10355853532748839,8,564,28865,18391,7707,3417,7756,12620,16765,21239
2,10500,6fad99a33ad14545,-30371.969718322565,2562,1024,0.10562145435791645,8,571,28864,18396,7700,3420,7750,12619,16770,21241
2,11000,025f99ab539e1d79,-30337.787675367465,2634,1050,0.10830324909747292,8,590,28860,18393,7701,3426,7744,12622,16779,21235
