chain,move,proposed,accepted,acceptance_rate
1,state_year_transfer,1960,65,0.03316326530612245
1,county_period_exploration,11056,1876,0.16968162083936325
1,swap_2x2,5948,189,0.031775386684599866
1,cycle_swap,1036,12,0.011583011583011582
2,state_year_transfer,2055,81,0.03941605839416058
2,county_period_exploration,10968,1887,0.17204595185995625
2,swap_2x2,6019,243,0.04037215484299717
2,cycle_swap,958,4,0.0041753653444676405
3,state_year_transfer,2015,75,0.03722084367245657
3,county_period_exploration,10883,1959,0.18000551318570246
3,swap_2x2,6110,225,0.036824877250409165
3,cycle_swap,992,8,0.008064516129032258
4,state_year_transfer,2017,96,0.047595438770451165
4,county_period_exploration,10946,1850,0.1690115110542664
4,swap_2x2,6005,215,0.035803497085761866
4,cycle_swap,1032,7,0.006782945736434108
