chain,proposal,state_hash,log_likelihood,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed,maximum_absolute_cell_change,changed_county_period_totals,rurality_total__metro_large,rurality_total__metro_other,rurality_total__nonmetro_adjacent,rurality_total__nonmetro_nonadjacent,svi_total__Q1_lowest,svi_total__Q2,svi_total__Q3,svi_total__Q4_highest
1,0,983dffc6fe182a02,-31143.487570273734,0,0,0.0,0,0,28865,18409,7639,3467,7734,12576,16793,21277
1,500,4c65b91334809325,-31078.20514897626,194,70,0.007220216606498195,7,62,28859,18405,7652,3464,7725,12588,16792,21275
1,1000,b7654da3f42b0557,-31059.942777996184,320,121,0.012480660134089737,7,90,28857,18401,7669,3453,7723,12595,16781,21281
1,1500,c407c8043302f981,-30999.855211131697,494,205,0.021144920061887573,7,152,28854,18407,7678,3441,7718,12595,16778,21289
1,2000,11165166c1343ac2,-30954.913124902996,668,262,0.02702423929860753,7,188,28852,18416,7663,3449,7709,12594,16798,21279
1,2500,287f7f9ceecba51f,-30875.609966827513,846,330,0.03403816400206292,7,235,28859,18413,7670,3438,7714,12595,16787,21284
1,3000,33b940d2bc16ba51,-30838.724270433926,942,371,0.038267148014440436,7,263,28861,18416,7661,3442,7712,12598,16784,21286
1,3500,ba87c1a1b2ef1f7a,-30790.307661273946,1102,431,0.0444559051057246,7,303,28863,18410,7661,3446,7705,12621,16783,21271
1,4000,157cc777cc491077,-30736.631192980145,1214,475,0.04899432697266632,7,329,28867,18415,7654,3444,7701,12629,16775,21275
1,4500,c1c84757440dff63,-30695.682810555147,1340,526,0.054254770500257864,7,366,28874,18408,7653,3445,7697,12631,16782,21270
1,5000,e1a88cff2975067c,-30672.091979368663,1400,566,0.058380608561113975,7,391,28875,18411,7654,3440,7703,12629,16785,21263
1,5500,94fc13bceb2031d2,-30641.070488964462,1480,608,0.0627127385250129,7,410,28875,18410,7653,3442,7693,12636,16785,21266
1,6000,c88866e908b91e41,-30588.797956980845,1644,658,0.06787003610108304,7,442,28870,18421,7673,3416,7702,12629,16796,21253
1,6500,007d479ffd50533f,-30548.82717289072,1778,721,0.07436823104693141,7,459,28871,18422,7685,3402,7709,12631,16782,21258
1,7000,69ed74b8495b156c,-30490.5227942015,1906,771,0.07952552862300155,7,475,28871,18434,7687,3388,7710,12635,16785,21250
1,7500,5865bc5679f458bc,-30478.446900852607,1964,796,0.08210417741103662,7,489,28871,18422,7702,3385,7720,12633,16775,21252
1,8000,4b2cdbe990bce775,-30447.626020095355,2046,829,0.08550799381124291,7,513,28872,18421,7687,3400,7717,12637,16770,21256
1,8500,8eb142cd616d0da5,-30448.93285515889,2134,869,0.08963383187209902,8,532,28866,18420,7690,3404,7715,12640,16773,21252
1,9000,2390c59aeac46d81,-30423.322552817084,2244,918,0.09468798349664775,8,560,28881,18407,7688,3404,7715,12640,16786,21239
1,9500,7e97a3f1c251ef22,-30385.937956901387,2360,962,0.09922640536358948,8,584,28889,18409,7672,3410,7723,12644,16779,21234
1,10000,1e0323842c9dd6f6,-30350.792295941894,2452,993,0.10242392986075297,8,601,28889,18412,7685,3394,7714,12660,16783,21223
1,10500,4831c1a3bb71eabd,-30330.961162044823,2540,1038,0.1070654976792161,8,623,28887,18414,7680,3399,7726,12643,16781,21230
1,11000,a515da6a639f5786,-30298.605253962112,2630,1082,0.11160391954615781,8,644,28880,18417,7681,3402,7723,12638,16779,21240
1,11500,addd90c743e374d9,-30295.493246624108,2686,1109,0.11438886023723568,8,652,28882,18425,7672,3401,7730,12633,16769,21248
1,12000,3bad6c5679e3cb2c,-30260.947633045555,2762,1141,0.11768953068592057,8,660,28879,18426,7668,3407,7729,12642,16759,21250
1,12500,c75aa708144d31e1,-30242.67826371516,2812,1178,0.12150593089221248,8,679,28879,18431,7666,3404,7723,12649,16757,21251
1,13000,45f64ddcc404401e,-30210.701053548313,2872,1210,0.12480660134089737,8,683,28876,18438,7666,3400,7724,12654,16747,21255
1,13500,c93004f5b392c0da,-30173.086527327123,2920,1234,0.12728210417741104,8,698,28880,18443,7659,3398,7727,12650,16757,21246
1,14000,2867c49476e9451e,-30153.911487890728,2956,1263,0.13027333677153172,8,702,28884,18436,7652,3408,7728,12652,16762,21238
1,14500,ea29b94a50e4d73d,-30135.557460118245,3014,1288,0.1328519855595668,8,711,28886,18427,7655,3412,7717,12662,16751,21250
1,15000,d4937c41002844f7,-30102.143534840652,3124,1330,0.1371841155234657,8,729,28884,18428,7651,3417,7719,12655,16761,21245
1,15500,13b8917f8e32ff8c,-30081.43717771138,3190,1356,0.13986591026302217,8,740,28890,18427,7650,3413,7714,12663,16772,21231
1,16000,bbfd546beac82a89,-30065.102525240363,3254,1382,0.14254770500257866,8,747,28892,18410,7657,3421,7700,12665,16785,21230
1,16500,2665a2fe5e43356a,-30032.180940772094,3358,1410,0.14543579164517792,8,756,28898,18402,7668,3412,7708,12656,16790,21226
1,17000,f73535cb6eb4122c,-30017.681742386674,3386,1433,0.14780814853017019,8,771,28899,18402,7669,3410,7712,12652,16792,21224
1,17500,bcc490d745d44539,-30009.491840727955,3432,1451,0.14966477565755545,8,778,28897,18404,7661,3418,7714,12649,16795,21222
1,18000,95aef5b8abbdfca5,-29991.775031421857,3494,1475,0.1521402784940691,8,781,28898,18406,7662,3414,7709,12650,16788,21233
1,18500,fd863229a70437fc,-29980.224733224975,3552,1492,0.15389375966993296,8,788,28899,18411,7654,3416,7706,12654,16787,21233
1,19000,d1ecaf3999ea2256,-29966.45394884571,3604,1512,0.155956678700361,8,787,28897,18417,7646,3420,7705,12657,16785,21233
1,19500,8fa3052309cebd40,-29941.386715295674,3678,1538,0.1586384734399175,8,792,28898,18418,7644,3420,7711,12659,16785,21225
1,20000,e6ad3e73b7379e76,-29917.199309007054,3732,1568,0.16173285198555956,8,804,28894,18418,7654,3414,7710,12652,16781,21237
2,0,ea24b5408da9997d,-31248.317353295766,0,0,0.0,0,0,28904,18351,7692,3433,7803,12600,16725,21252
2,500,9dac32ba78668ca8,-31190.08690594758,202,78,0.008045384218669417,7,67,28896,18362,7691,3431,7781,12600,16737,21262
2,1000,d27f79e8bdc9a0d8,-31123.42332299579,424,167,0.017225373904074266,7,128,28902,18356,7693,3429,7762,12616,16740,21262
2,1500,d66e760dcebcb202,-31073.214912400974,642,255,0.02630221763795771,7,179,28903,18356,7696,3425,7753,12630,16746,21251
2,2000,4aaa67dfca34f17a,-31020.265174759974,778,310,0.03197524497163486,7,219,28906,18358,7702,3414,7755,12620,16769,21236
2,2500,0c4f651473627d95,-30955.255517281264,920,377,0.03888602372356885,7,260,28902,18364,7681,3433,7756,12617,16780,21227
2,3000,4d164cb890fbf580,-30939.44740899786,1022,415,0.042805569881382156,7,293,28900,18370,7678,3432,7758,12602,16789,21231
2,3500,39fe96ad53a1202d,-30874.791637001286,1166,472,0.04868488911810211,7,320,28897,18363,7684,3436,7753,12601,16786,21240
2,4000,bd4f3305cd064d27,-30817.076780259697,1330,532,0.054873646209386284,7,354,28891,18370,7688,3431,7749,12589,16793,21249
2,4500,d1cff587019c6907,-30769.860679440324,1464,582,0.06003094378545642,8,378,28891,18368,7690,3431,7748,12597,16797,21238
2,5000,6b48eea71972d423,-30729.780025142038,1596,631,0.06508509541000515,8,389,28889,18371,7686,3434,7749,12584,16814,21233
2,5500,9ca41f07b6ad265c,-30667.229894852237,1704,688,0.07096441464672512,8,424,28902,18378,7673,3427,7771,12571,16800,21238
2,6000,e8fdd164fdc18cd0,-30636.19565668719,1832,737,0.07601856627127385,8,457,28898,18367,7682,3433,7756,12581,16809,21234
2,6500,a7e244747216a285,-30605.980605538487,1898,771,0.07952552862300155,8,473,28904,18368,7674,3434,7761,12579,16806,21234
2,7000,03d4df9e6cdbf087,-30548.890605327902,2082,830,0.08561113976276431,8,503,28903,18365,7684,3428,7770,12579,16812,21219
2,7500,b8261efecbf7b9fb,-30537.30984046727,2158,858,0.08849922640536359,8,518,28907,18363,7689,3421,7766,12581,16808,21225
2,8000,9746382203b0c3c8,-30513.914072935353,2206,881,0.09087158329035586,8,536,28906,18374,7680,3420,7767,12585,16810,21218
2,8500,0aba3b16d812d4e5,-30469.39723395467,2290,915,0.09437854564208355,8,561,28901,18379,7686,3414,7759,12594,16807,21220
2,9000,9c3fee102347c711,-30434.22268925123,2380,960,0.09902011346054668,8,584,28896,18386,7686,3412,7762,12593,16803,21222
2,9500,7cc10fab1ccbadea,-30388.122904012802,2450,992,0.10232078390923156,8,600,28898,18395,7679,3408,7765,12583,16806,21226
2,10000,017f6cf8770b7e62,-30350.765660074074,2494,1023,0.10551830840639505,8,610,28906,18390,7664,3420,7768,12585,16806,21221
2,10500,59fbaaf1769b144a,-30326.11257262031,2584,1051,0.10840639504899433,8,618,28911,18384,7654,3431,7761,12583,16813,21223
2,11000,b339f846547c1c7c,-30308.960663393427,2664,1080,0.111397627643115,8,629,28914,18388,7673,3405,7759,12594,16795,21232
