chain,move,proposed,accepted,acceptance_rate
1,state_year_transfer,1680,67,0.03988095238095238
1,county_period_exploration,8292,1357,0.1636517124939701
1,swap_2x2,8427,336,0.03987184051263795
1,cycle_swap,1601,6,0.0037476577139287947
2,state_year_transfer,1642,70,0.04263093788063337
2,county_period_exploration,8280,1345,0.16243961352657005
2,swap_2x2,8406,291,0.03461812990720914
2,cycle_swap,1672,15,0.008971291866028708
3,state_year_transfer,1689,69,0.04085257548845471
3,county_period_exploration,8346,1398,0.16750539180445723
3,swap_2x2,8295,307,0.03701024713682941
3,cycle_swap,1670,12,0.00718562874251497
4,state_year_transfer,1659,59,0.03556359252561784
4,county_period_exploration,8149,1364,0.16738250092035833
4,swap_2x2,8453,276,0.03265112977641074
4,cycle_swap,1739,22,0.012650948821161587
