chain,proposal,state_hash,log_likelihood,l1_distance_free_cells,changed_free_cells,fraction_free_cells_changed,maximum_absolute_cell_change,changed_county_period_totals,rurality_total__metro_large,rurality_total__metro_other,rurality_total__nonmetro_adjacent,rurality_total__nonmetro_nonadjacent,svi_total__Q1_lowest,svi_total__Q2,svi_total__Q3,svi_total__Q4_highest
1,0,983dffc6fe182a02,-31143.487570273734,0,0,0.0,0,0,28865,18409,7639,3467,7734,12576,16793,21277
1,500,11e4904df834f989,-31091.489465026374,216,89,0.009179989685404849,5,39,28859,18416,7640,3465,7738,12571,16795,21276
1,1000,de0bdf2ff8502fcb,-31039.963629979626,418,179,0.0184631253223311,5,100,28862,18418,7636,3464,7738,12569,16790,21283
1,1500,cfa8faec3e62eb9b,-30988.75907869651,612,255,0.02630221763795771,6,140,28868,18420,7623,3469,7743,12566,16801,21270
1,2000,1cc4279aad370979,-30954.648091071627,724,295,0.030428055698813822,6,166,28872,18421,7625,3462,7741,12566,16805,21268
1,2500,7bd4553b407d6ccd,-30931.812146254433,842,347,0.03579164517792677,6,192,28877,18426,7626,3451,7733,12573,16804,21270
1,3000,02a2b725f5d957c1,-30871.736267871034,998,399,0.04115523465703971,7,215,28874,18428,7629,3449,7729,12575,16812,21264
1,3500,5553d714e1e4b09e,-30855.512143257838,1046,428,0.04414646725116039,7,235,28873,18436,7625,3446,7730,12584,16810,21256
1,4000,1416262a88900b50,-30822.20601647474,1154,475,0.04899432697266632,7,262,28876,18433,7622,3449,7732,12599,16795,21254
1,4500,2f4740191e6c0cff,-30779.7352473021,1344,534,0.05507993811242909,7,292,28881,18435,7607,3457,7733,12616,16781,21250
1,5000,383b2fcd22a5fca8,-30740.721303497317,1502,575,0.0593089221248066,7,307,28887,18433,7615,3445,7723,12619,16788,21250
1,5500,f5ccb140a8d106e8,-30702.505907289094,1616,618,0.06374419804022692,7,339,28888,18431,7613,3448,7720,12629,16782,21249
1,6000,abeae4323eb92019,-30672.077685552333,1670,642,0.06621970087674059,8,347,28889,18432,7618,3441,7716,12628,16789,21247
1,6500,25701014936f7ac3,-30643.171291468032,1762,687,0.07086126869520372,8,371,28885,18427,7616,3452,7709,12628,16800,21243
1,7000,a5e5390ee0df0256,-30606.981062756655,1878,736,0.07591542031975244,8,402,28887,18426,7625,3442,7716,12634,16779,21251
1,7500,dd2de4c5e8a98bf7,-30588.128299478332,1988,789,0.08138215575038679,8,428,28883,18435,7626,3436,7713,12638,16790,21239
1,8000,06b14dd938282261,-30577.134741421407,2048,820,0.08457968024755029,8,444,28881,18441,7627,3431,7711,12646,16785,21238
1,8500,66706aec8a2ef663,-30560.570266918578,2124,848,0.08746776689014957,8,462,28880,18440,7627,3433,7710,12647,16783,21240
1,9000,20ce5f9b2399502b,-30543.080540756273,2150,861,0.0888086642599278,8,468,28879,18443,7619,3439,7709,12645,16781,21245
1,9500,bb68c6a76ecf754a,-30513.746736652385,2232,890,0.09179989685404848,8,468,28882,18453,7613,3432,7707,12652,16777,21244
1,10000,7283648b19c022ef,-30474.80383778009,2332,928,0.09571944301186179,8,479,28879,18449,7609,3443,7694,12660,16782,21244
1,10500,dea5136d8426643b,-30428.695447116683,2438,970,0.1000515729757607,8,489,28878,18453,7607,3442,7697,12658,16777,21248
1,11000,b8f204dc5100a3cf,-30389.730926730466,2530,1009,0.10407426508509542,8,508,28884,18454,7609,3433,7708,12660,16776,21236
1,11500,b711433f585d9ec2,-30372.330784258542,2648,1046,0.10789066529138731,8,519,28884,18460,7603,3433,7710,12654,16786,21230
1,12000,daa3f29231c33c41,-30357.23712696908,2724,1078,0.1111913357400722,8,537,28886,18464,7605,3425,7716,12656,16786,21222
1,12500,97b04fc25a6f8d14,-30330.104122732533,2830,1120,0.11552346570397112,8,557,28887,18455,7605,3433,7695,12670,16782,21233
1,13000,580598c638533217,-30296.05185901592,2926,1156,0.11923671995874162,8,570,28892,18454,7600,3434,7698,12657,16794,21231
1,13500,1afe3b6e1cd854e6,-30275.972865266398,2998,1179,0.12160907684373388,8,579,28888,18458,7604,3430,7693,12654,16795,21238
1,14000,c66105353b841213,-30239.792880499983,3086,1209,0.12470345538937597,8,590,28893,18472,7595,3420,7700,12661,16789,21230
1,14500,11b2b029a0248c21,-30224.075861398233,3162,1247,0.12862300154718928,8,599,28894,18469,7605,3412,7698,12661,16789,21232
1,15000,9448659ca966f5c6,-30204.96809188452,3222,1281,0.13212996389891696,8,610,28894,18464,7611,3411,7696,12666,16789,21229
