chain,block,accepted,proposed,acceptance_rate,type
1,transfer,253515,4502451,0.0563059986660598,count_move
1,interval_transfer,6698446,26999678,0.2480935513379085,count_move
1,interval_path,4638138,22502726,0.2061144947505471,count_move
1,swap_2x2,1840885,26994148,0.0681957067139144,count_move
1,cycle_swap,175133,9000997,0.0194570668115987,count_move
1,blocked_refresh,5425,96000,0.0565104166666666,count_move
1,beta,109235,300000,0.3641166666666666,parameter
1,state,80520,300000,0.2684,parameter
1,year,88243,300000,0.2941433333333333,parameter
1,log_sigma_state,130110,300000,0.4337,parameter
1,log_sigma_year,158446,300000,0.5281533333333334,parameter
1,log_kappa,131244,300000,0.43748,parameter
2,transfer,254545,4501944,0.0565411297874873,count_move
2,interval_transfer,6708970,26997530,0.2485031038024589,count_move
2,interval_path,4643532,22507004,0.2063149764402227,count_move
2,swap_2x2,1838560,26997090,0.0681021547137117,count_move
2,cycle_swap,176093,8996432,0.0195736487531946,count_move
2,blocked_refresh,5479,96000,0.0570729166666666,count_move
2,beta,108771,300000,0.36257,parameter
2,state,80653,300000,0.2688433333333333,parameter
2,year,87958,300000,0.2931933333333333,parameter
2,log_sigma_state,130795,300000,0.4359833333333333,parameter
2,log_sigma_year,158452,300000,0.5281733333333334,parameter
2,log_kappa,131621,300000,0.4387366666666666,parameter
3,transfer,254803,4498277,0.0566445774682172,count_move
3,interval_transfer,6711646,27000086,0.2485786897123216,count_move
3,interval_path,4637029,22498003,0.2061084710496304,count_move
3,swap_2x2,1837555,26999196,0.0680596192568104,count_move
3,cycle_swap,175954,9004438,0.0195408086545767,count_move
3,blocked_refresh,5524,96000,0.0575416666666666,count_move
3,beta,109285,300000,0.3642833333333333,parameter
3,state,80516,300000,0.2683866666666666,parameter
3,year,88307,300000,0.2943566666666666,parameter
3,log_sigma_state,130476,300000,0.43492,parameter
3,log_sigma_year,158686,300000,0.5289533333333334,parameter
3,log_kappa,131411,300000,0.4380366666666667,parameter
4,transfer,254334,4501618,0.0564983523701922,count_move
4,interval_transfer,6709913,26991910,0.248589781160355,count_move
4,interval_path,4642638,22504969,0.2062939078032055,count_move
4,swap_2x2,1838263,26999428,0.0680852572135972,count_move
4,cycle_swap,175863,9002075,0.0195358292393698,count_move
4,blocked_refresh,5380,96000,0.0560416666666666,count_move
4,beta,109278,300000,0.36426,parameter
4,state,80855,300000,0.2695166666666667,parameter
4,year,88307,300000,0.2943566666666666,parameter
4,log_sigma_state,130336,300000,0.4344533333333333,parameter
4,log_sigma_year,158621,300000,0.5287366666666666,parameter
4,log_kappa,131004,300000,0.43668,parameter
5,transfer,254126,4498749,0.05648814814963,count_move
5,interval_transfer,6715345,27003006,0.2486887941290684,count_move
5,interval_path,4640716,22504035,0.2062170628511731,count_move
5,swap_2x2,1839385,26998616,0.0681288626054017,count_move
5,cycle_swap,175426,8995594,0.0195013247596545,count_move
5,blocked_refresh,5348,96000,0.0557083333333333,count_move
5,beta,109051,300000,0.3635033333333333,parameter
5,state,80514,300000,0.26838,parameter
5,year,87951,300000,0.29317,parameter
5,log_sigma_state,130331,300000,0.4344366666666667,parameter
5,log_sigma_year,158505,300000,0.52835,parameter
5,log_kappa,131148,300000,0.43716,parameter
6,transfer,254616,4498389,0.0566015967049537,count_move
6,interval_transfer,6704874,26990024,0.248420453423828,count_move
6,interval_path,4635726,22510302,0.2059379745327272,count_move
6,swap_2x2,1839609,26999281,0.0681354810892927,count_move
6,cycle_swap,175694,9002004,0.0195172097235237,count_move
6,blocked_refresh,5282,96000,0.0550208333333333,count_move
6,beta,109093,300000,0.3636433333333333,parameter
6,state,80765,300000,0.2692166666666666,parameter
6,year,87899,300000,0.2929966666666667,parameter
6,log_sigma_state,130188,300000,0.43396,parameter
6,log_sigma_year,158555,300000,0.5285166666666666,parameter
6,log_kappa,131598,300000,0.43866,parameter
7,transfer,254749,4502067,0.0565848975592766,count_move
7,interval_transfer,6709516,27001515,0.2484866497305799,count_move
7,interval_path,4640023,22500353,0.2062200090816353,count_move
7,swap_2x2,1839453,26998749,0.0681310456273363,count_move
7,cycle_swap,175748,8997316,0.0195333808437983,count_move
7,blocked_refresh,5510,96000,0.0573958333333333,count_move
7,beta,109012,300000,0.3633733333333333,parameter
7,state,80459,300000,0.2681966666666667,parameter
7,year,88314,300000,0.29438,parameter
7,log_sigma_state,130173,300000,0.43391,parameter
7,log_sigma_year,158290,300000,0.5276333333333333,parameter
7,log_kappa,131063,300000,0.4368766666666667,parameter
8,transfer,254177,4500592,0.0564763480004408,count_move
8,interval_transfer,6716010,27008375,0.2486639792286651,count_move
8,interval_path,4639801,22496308,0.2062472206550515,count_move
8,swap_2x2,1837134,26993648,0.0680580112773197,count_move
8,cycle_swap,175743,9001077,0.0195246635485953,count_move
8,blocked_refresh,5264,96000,0.0548333333333333,count_move
8,beta,109114,300000,0.3637133333333333,parameter
8,state,80770,300000,0.2692333333333333,parameter
8,year,88280,300000,0.2942666666666667,parameter
8,log_sigma_state,129978,300000,0.43326,parameter
8,log_sigma_year,158434,300000,0.5281133333333333,parameter
8,log_kappa,131444,300000,0.4381466666666667,parameter
