type,block,min,median,max
count_move,blocked_refresh,0.0548333333333333,0.056276041666666596,0.0575416666666666
count_move,cycle_swap,0.0194570668115987,0.019529022196196802,0.0195736487531946
count_move,interval_path,0.2059379745327272,0.20621853596640422,0.2063149764402227
count_move,interval_transfer,0.2480935513379085,0.24854089675739027,0.2486887941290684
count_move,swap_2x2,0.0680580112773197,0.0681155086595567,0.0681957067139144
count_move,transfer,0.0563059986660598,0.05651974107883975,0.0566445774682172
parameter,beta,0.36257,0.3636783333333333,0.3642833333333333
parameter,log_kappa,0.43668,0.43775833333333336,0.4387366666666666
parameter,log_sigma_state,0.43326,0.43419833333333335,0.4359833333333333
parameter,log_sigma_year,0.5276333333333333,0.5282616666666666,0.5289533333333334
parameter,state,0.2681966666666667,0.26862166666666665,0.2695166666666667
parameter,year,0.2929966666666667,0.294205,0.29438
