chain,block,accepted,proposed,acceptance_rate,type
1,transfer,253515,4502451,0.056305998666059884,count_move
1,interval_transfer,6698446,26999678,0.24809355133790856,count_move
1,interval_path,4638138,22502726,0.2061144947505471,count_move
1,swap_2x2,1840885,26994148,0.06819570671391444,count_move
1,cycle_swap,175133,9000997,0.01945706681159876,count_move
1,blocked_refresh,5425,96000,0.05651041666666667,count_move
1,beta,109235,300000,0.36411666666666664,parameter
1,state,80520,300000,0.2684,parameter
1,year,88243,300000,0.2941433333333333,parameter
1,log_sigma_state,130110,300000,0.4337,parameter
1,log_sigma_year,158446,300000,0.5281533333333334,parameter
1,log_kappa,131244,300000,0.43748,parameter
