parameter,label,scale,posterior_mean,posterior_median,credible_interval_lower_95,credible_interval_upper_95,posterior_probability_gt_1,r_hat,ess_bulk,ess_tail,mcse_mean
Intercept,Intercept,model_parameter,-10.641608158571083,-10.641562729235076,-10.679366362875939,-10.603479019569024,,1.0010035245623188,4698.196525912588,9371.147120621075,0.0002828314581565343
kappa,kappa,model_parameter,10.746328571258731,10.727172054133433,9.670516264423586,11.94513075517493,,1.001459981573654,9606.333726388295,23709.622531529152,0.005887874169117896
primary_rurality_metro_other,metro_other vs metro_large,IRR,1.1403338873342552,1.1401796936656368,1.1049066814259227,1.1768467182385152,1.0,1.0007981648717639,6433.791964846747,15363.996692893199,0.0002011859077597688
primary_rurality_nonmetro_adjacent,nonmetro_adjacent vs metro_large,IRR,1.2720275378038404,1.2717936761728863,1.2197775708824512,1.325443548503288,1.0,1.0014065904788219,4823.065310024777,11382.065901371298,0.00030402221430197925
primary_rurality_nonmetro_nonadjacent,nonmetro_nonadjacent vs metro_large,IRR,1.2331827436306375,1.2328941409382113,1.1680696759294398,1.3002371725831436,1.0,1.0014534057281523,4271.987045541003,10299.937998070163,0.00041789596429667956
sigma_state,sigma_state,model_parameter,0.1923816922779508,0.19073748577189253,0.15340698371324274,0.2413157407547328,,1.000973522822764,8718.505883203821,19166.47955698569,0.00024093710626755095
sigma_year,sigma_year,model_parameter,0.1803947455670382,0.15790890470306285,0.0864808130113984,0.4088935445620732,,0.9999824204583488,35982.96762772027,35848.14631384933,0.00046604675164655475
state_effect[01],state_effect[01],model_parameter,-0.2023272993255797,-0.20226391756716386,-0.2811030121704488,-0.12385542574689715,,1.0004555013266905,11207.520658785434,20348.531898055055,0.0003801804918696392
state_effect[02],state_effect[02],model_parameter,0.06298216467673509,0.06285566850802168,-0.11114493227695836,0.23348508446554878,,1.005516097591336,2303.9198849198197,5298.6130795815325,0.001833130235607155
state_effect[04],state_effect[04],model_parameter,-0.11834230515432202,-0.11802677267503814,-0.22342011886681815,-0.013868296921746057,,1.0009409078680482,5934.930228156058,12637.870832900395,0.0006923542498789611
state_effect[05],state_effect[05],model_parameter,0.10041240497800798,0.10051988497263536,0.015581250329905948,0.18451397412462736,,1.0006288808572192,10083.418290543186,18311.53280618285,0.00042806380822369897
state_effect[06],state_effect[06],model_parameter,-0.0668619762246387,-0.06679922679641104,-0.12109850600808274,-0.012984231547933541,,1.0001243826826138,13170.2489551939,23885.118340296947,0.00023959323342650132
state_effect[08],state_effect[08],model_parameter,0.3159711532861627,0.31598121087403386,0.2377106591884658,0.39274055889799564,,1.000425244556148,11122.038588247147,20116.918823036347,0.0003728395275131584
state_effect[09],state_effect[09],model_parameter,0.175933466314309,0.1759908864700605,0.04907342652055671,0.3041628210595457,,1.0024944183776683,4298.530231368427,9815.151193116551,0.0009897838399714962
state_effect[10],state_effect[10],model_parameter,-0.09368487047031325,-0.0935499129629892,-0.27082805976835855,0.08126186084581827,,1.002076123786899,2481.871591538891,5077.797087697557,0.0018021067398217138
state_effect[11],state_effect[11],model_parameter,0.22423531576417838,0.2224041831133775,0.004653682017841352,0.4509777327469041,,1.0020895818573918,1577.7050192956528,2738.2345972667213,0.0028738407724790633
state_effect[12],state_effect[12],model_parameter,-0.32278728284222724,-0.3227718734757667,-0.3847397202860595,-0.26094138919675414,,1.0005222098617184,9427.377685383413,18745.032936991676,0.0003247785431911114
state_effect[13],state_effect[13],model_parameter,-0.2075617762433532,-0.20746763291234493,-0.2689534661812604,-0.14650645375728522,,1.0004190789531378,14237.540249469173,25693.68494378317,0.00026177374994830433
state_effect[15],state_effect[15],model_parameter,-0.4837150388920135,-0.4818545283954535,-0.6854958957713054,-0.29257286688674994,,1.0059755719352546,2071.092918359349,4228.64193749443,0.002190157884512052
state_effect[16],state_effect[16],model_parameter,-0.03395996779765195,-0.033855495167294185,-0.15199119895906932,0.08210027840526227,,1.0013532471816007,5687.5483889445095,10894.789729417422,0.0007904933125304261
state_effect[17],state_effect[17],model_parameter,-0.26788985350946337,-0.2677125439504129,-0.3419929258692254,-0.1939995459172189,,1.0005218298576888,11930.982549704318,21302.216198420232,0.00034589169195989067
state_effect[18],state_effect[18],model_parameter,0.21770176624202914,0.21782491943375532,0.1536324124476315,0.28130151704920964,,1.000869806966936,14195.667513043321,24455.39842764583,0.0002728754030993285
state_effect[19],state_effect[19],model_parameter,0.04823614327700201,0.04872452939713459,-0.04142097815936737,0.1349343452886408,,1.0003218938150524,8399.237280336567,17072.614780085747,0.000494892144128908
state_effect[20],state_effect[20],model_parameter,-0.10274897303513113,-0.10229160972066975,-0.20577438261027778,-0.002287111792339612,,1.001010193678926,6823.191589142856,13398.67316979756,0.0006246615678606066
state_effect[21],state_effect[21],model_parameter,0.0002954382864975317,0.00036627725710263733,-0.07613145268419315,0.07570950079409887,,1.001112997438762,10966.322019452964,19051.578930490952,0.00037080281409594717
state_effect[22],state_effect[22],model_parameter,-0.10556154989043826,-0.10523648108971595,-0.1852490831746507,-0.026670551935217147,,1.0005925126231114,10279.398953244649,19862.901880420122,0.00040002585287551346
state_effect[23],state_effect[23],model_parameter,0.18648806422573266,0.18635570484597525,0.0654697115718192,0.3081614186200069,,1.0008619913867491,5038.809894749135,10420.330033888684,0.00087246305398811
state_effect[24],state_effect[24],model_parameter,0.10930121066737002,0.10930230624974765,0.022060547344854943,0.19532197889725675,,1.000474489328391,9099.110678163686,16403.22471821472,0.00046324877105735103
state_effect[25],state_effect[25],model_parameter,-0.40021376141355663,-0.4003558154786935,-0.5014025308436603,-0.29861895450899717,,1.0014660033063851,6756.631095453151,13655.714654459323,0.0006306756903407704
state_effect[26],state_effect[26],model_parameter,-0.02035920753272688,-0.02033071613383592,-0.0850111986490822,0.04415139492235288,,1.0000902702853671,14771.424532653702,24865.715783616557,0.0002704520075237723
state_effect[27],state_effect[27],model_parameter,0.24989355452741802,0.24977717926096113,0.17636687061475184,0.3238161557781593,,1.000304327042679,11598.891966128871,21081.049098281037,0.0003482774997123997
state_effect[28],state_effect[28],model_parameter,0.16608724880114187,0.16640897044249692,0.08476831828557183,0.24602795472925687,,1.0001770964694243,9732.841796142482,17735.537675940046,0.00041999857749271065
state_effect[29],state_effect[29],model_parameter,-0.0405238254404897,-0.040013874395752755,-0.11364152047576923,0.031009337041079436,,1.00037860792146,12494.635622978363,20412.6086570291,0.0003282308771719042
state_effect[30],state_effect[30],model_parameter,-0.019359134312201112,-0.019292018793046872,-0.1574330532814657,0.11574291687796895,,1.0021699784730769,3900.996860044433,8156.665571407295,0.001116522962830867
state_effect[31],state_effect[31],model_parameter,0.11784303713906694,0.11811790066936512,0.003898549207213936,0.2303981885845138,,1.0010589487896822,5438.927234380751,10655.286279951564,0.0007802370523746968
state_effect[32],state_effect[32],model_parameter,-0.3097742865713576,-0.3095458807956972,-0.46965030858438694,-0.1552976822960767,,1.0014549161397848,3144.561092818396,6252.294328128653,0.0014271868174311954
state_effect[33],state_effect[33],model_parameter,-0.10797817069287115,-0.10737767986211388,-0.25939180455933636,0.03944155787965864,,1.0016125413816699,3487.0781509774283,6605.10967679935,0.0012981112213353095
state_effect[34],state_effect[34],model_parameter,-0.3285547136928071,-0.3285881494568982,-0.41258287888582035,-0.24511450034589555,,1.000765342831289,9164.686037229745,17595.50917958048,0.00044539900296406467
state_effect[35],state_effect[35],model_parameter,0.03602289801853464,0.03608386935763688,-0.07134081524468287,0.14262769588194613,,1.0007864064900167,6357.811366710802,12925.699898466606,0.0006864057462698707
state_effect[36],state_effect[36],model_parameter,-0.09978667980177788,-0.09952404548752306,-0.15996010830200433,-0.04006645494978163,,1.0002090197759546,15148.202224169365,24773.457035543022,0.000249318025909698
state_effect[37],state_effect[37],model_parameter,-0.08157220625936118,-0.08160897958669602,-0.13931654671877208,-0.024328040298429342,,1.0001521290946391,15726.712319044409,26417.58438910738,0.00023443435297977857
state_effect[38],state_effect[38],model_parameter,-0.10990143213243048,-0.10960723931971034,-0.28251699996068974,0.05894508398485064,,1.0030074125901438,2806.7033450256226,5706.945284249156,0.001640786764214303
state_effect[39],state_effect[39],model_parameter,-0.04757364928485451,-0.047472036113679686,-0.10748678407473018,0.011792269485980235,,1.0004845058387306,16202.378397152257,24650.00098852675,0.00023818910168981952
state_effect[40],state_effect[40],model_parameter,0.13283768881870708,0.13333589456868808,0.050701177053038116,0.2138538462002699,,1.000478790492799,8623.97762908552,17952.317070115616,0.00044772374980294545
state_effect[41],state_effect[41],model_parameter,0.13652509661915885,0.1364104909174566,0.05286273524566927,0.2205618696901994,,1.00049983144411,9929.359529216026,18536.244250438718,0.00043280427837463
state_effect[42],state_effect[42],model_parameter,0.015393539387752784,0.015220984592205958,-0.0432548339022891,0.07449213788718623,,1.0003710897083227,16050.226140627467,24726.29584186275,0.00023713328396371953
state_effect[44],state_effect[44],model_parameter,0.14404779618376493,0.14398740417573552,-0.02597370705838234,0.3146927810918728,,1.0020268977938998,2646.665778098779,5200.871448814634,0.00170577904436994
state_effect[45],state_effect[45],model_parameter,0.2508850992515701,0.25095028042586676,0.1789355345166047,0.3219855239909472,,1.0006192712063555,11350.082898522132,22783.326098129826,0.0003425821081842508
state_effect[46],state_effect[46],model_parameter,0.20835305363417528,0.20886633169062319,0.0675664888174146,0.3456776673789264,,1.0028750244767162,3803.9880839589296,7828.029297573932,0.0011460669637811216
state_effect[47],state_effect[47],model_parameter,0.14800079414839723,0.1481252102298641,0.08306603987700648,0.2123410277483608,,1.0007909322045911,13963.930917845555,24013.90060667872,0.00028004725068360903
state_effect[48],state_effect[48],model_parameter,0.006736446029783999,0.006666470662091535,-0.04018397981029999,0.05367123728223966,,1.000440135484965,14462.623537273394,27059.34382150588,0.0002006212541071885
state_effect[49],state_effect[49],model_parameter,0.0916058359099607,0.09183401097127963,-0.023055142624065057,0.20564242355944,,1.0016374160341863,5667.948400181838,11567.867755726067,0.0007728924625070156
state_effect[50],state_effect[50],model_parameter,0.21349019299210678,0.21436383561116973,0.05132666188343594,0.3696191086820764,,1.0022403438216518,2851.5989849356843,6357.384609561838,0.0015226825497209715
state_effect[51],state_effect[51],model_parameter,0.005033446945736509,0.005062311149894571,-0.05715144431841222,0.06776098011651407,,1.0001521071826682,14322.641531260851,24129.212326123696,0.0002665210571423364
state_effect[53],state_effect[53],model_parameter,0.03457743558010831,0.034535222461893215,-0.042584085309206175,0.11212317160145938,,1.0002765486528906,11222.17786813036,19769.024335722224,0.00037061309859596326
state_effect[54],state_effect[54],model_parameter,0.05593611268171345,0.056787351646786347,-0.049488856891744544,0.15967842582141897,,1.0002527694023347,6800.452447368813,13777.415795120412,0.0006474868426790558
state_effect[55],state_effect[55],model_parameter,0.032453351363383835,0.032520030824704935,-0.042882085651283985,0.10767773224944249,,1.0003190950727536,10426.730335839686,19588.973878554538,0.0003762510299699318
state_effect[56],state_effect[56],model_parameter,0.08375820476906082,0.08553644567192276,-0.09256635117934028,0.2503511609915278,,1.0041426301267273,2592.6940935958614,4913.223113558401,0.0017195215168848066
svi_quartile_Q2,SVI Q2 vs Q1,IRR,1.1131905040235366,1.1130818320015405,1.0690457974861958,1.1581325474522626,1.0,1.000530563964248,5389.1921559114735,12087.170581512375,0.00027736924202668046
svi_quartile_Q3,SVI Q3 vs Q1,IRR,1.2520625183622993,1.251744472865571,1.2009171462904047,1.3037033515592784,1.0,1.000844716731325,4832.427892771567,10485.758518951658,0.000300809175561785
svi_quartile_Q4_highest,SVI Q4 vs Q1,IRR,1.434192939903933,1.4338777216772276,1.3703909248911337,1.5002875019375106,1.0,1.0008868781051936,4070.5907573019153,9330.538745933776,0.0003631611283106626
year_effect[2019],year_effect[2019],model_parameter,-0.2311187071071075,-0.2311350673547568,-0.25837908131030135,-0.20360606407155074,,1.0000907384172621,34496.669915876795,35730.896486566315,7.535488290995463e-05
