county_fips,county_name,state_fips,state_name,primary_rurality,svi_quartile,q001_period_status,posterior_mean_county_period_deaths,posterior_median_county_period_deaths,deaths_credible_interval_lower_95,deaths_credible_interval_upper_95,posterior_mean_rate_per_100k,posterior_median_rate_per_100k,rate_credible_interval_lower_95,rate_credible_interval_upper_95,posterior_probability_rate_exceeds_national_rate,posterior_quantity_note,posterior_mean_expected_county_period_deaths,posterior_mean_county_period_conditional_variance,raw_residual,pearson_residual,mean_neighbor_pearson_residual,adjacent_model_counties
01001,Autauga County,01,Alabama,metro_other,Q2,suppressed_1_9,5.623972222222222,5.0,3.0,9.0,1.5946659584276806,1.417739895767763,0.8506439374606578,2.551931812381973,0.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,8.579705446545642,9.74434276984753,-2.95573322432342,-0.9468669482663971,-0.5427540998346909,5
01003,Baldwin County,01,Alabama,metro_other,Q2,exact,26.0,26.0,26.0,26.0,1.7889518462325282,1.788951846232708,1.788951846232708,1.788951846232708,0.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,38.82014658939922,62.78512023608473,-12.820146589399222,-1.6179482474464262,0.5211939058970043,6
01005,Barbour County,01,Alabama,nonmetro_adjacent,Q4_highest,suppressed_1_9,7.823194444444445,8.0,6.0,9.0,5.289945394112838,5.409499080385157,4.057124310288867,6.085686465433301,1.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,5.0484205287523825,5.448446239794637,2.7747739156920623,1.1887520208445688,0.07054443870111601,8
01007,Bibb County,01,Alabama,metro_large,Q4_highest,suppressed_1_9,2.674555555555556,2.0,2.0,5.0,2.008859646049168,1.502200724060749,1.502200724060749,3.755501810151873,0.1545277777777777,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,3.2855273517838857,3.4548600229057653,-0.6109717962283296,-0.3287047156937417,0.6284306569469883,6
01009,Blount County,01,Alabama,metro_large,Q3,suppressed_1_9,6.499194444444444,6.0,4.0,9.0,1.8347023163724192,1.6937812820230522,1.1291875213487017,2.5406719230345787,0.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,8.469828276412931,9.599674358973637,-1.9706338319684873,-0.6360301218519313,0.9533208620446154,6
01011,Bullock County,01,Alabama,nonmetro_adjacent,Q4_highest,suppressed_1_9,4.678944444444444,4.0,4.0,7.0,7.746981546176488,6.622845505571468,6.622845505571468,11.58997963475007,1.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,1.8699400257971543,1.9248207079029456,2.80900441864729,2.0246841413817123,-0.20090281664849446,5
01013,Butler County,01,Alabama,nonmetro_adjacent,Q3,suppressed_1_9,5.44425,5.0,4.0,8.0,4.812639227750163,4.419928573954245,3.5359428591633963,7.071885718326793,1.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,4.0337560391242455,4.288213293011888,1.4104939608757547,0.6811347563648277,-0.027588669269210584,6
01015,Calhoun County,01,Alabama,metro_other,Q4_highest,exact,11.0,11.0,11.0,11.0,1.5903077968464066,1.5903077968454078,1.5903077968454078,1.5903077968454078,0.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,22.50155451272425,30.46759788836558,-11.501554512724251,-2.083710761015354,-0.2392581434215016,5
01017,Chambers County,01,Alabama,nonmetro_adjacent,Q4_highest,exact,13.0,13.0,13.0,13.0,6.415317804968321,6.415317804974339,6.415317804974339,6.415317804974339,1.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,7.95387552765812,8.949441262558668,5.04612447234188,1.6867860397040313,-0.05037541263506906,5
01019,Cherokee County,01,Alabama,nonmetro_adjacent,Q2,suppressed_1_9,1.538638888888889,1.0,1.0,4.0,0.9952901113185644,0.6468640033119437,0.6468640033119437,2.587456013247775,0.00575,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,4.752153472737643,5.106344627558302,-3.2135145838487538,-1.4220838822168982,-0.2681417521559372,7
01021,Chilton County,01,Alabama,metro_large,Q3,exact,10.0,10.0,10.0,10.0,3.653955772519116,3.6539557725193297,3.6539557725193297,3.6539557725193297,1.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,6.588504671334952,7.273126628622766,3.4114953286650476,1.264981594258058,-0.3319809680648665,7
01023,Choctaw County,01,Alabama,nonmetro_nonadjacent,Q3,suppressed_1_9,2.4221666666666666,2.0,2.0,4.0,3.260728116347725,2.6924060686832787,2.6924060686832787,5.384812137366557,0.3351111111111111,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,2.637437986482544,2.746457262341602,-0.21527131981587733,-0.129897188349613,0.09710274013757904,7
01025,Clarke County,01,Alabama,nonmetro_nonadjacent,Q4_highest,exact,11.0,11.0,11.0,11.0,8.04876085667764,8.048760856680838,8.048760856680838,8.048760856680838,1.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,5.16418020416463,5.581270899408985,5.83581979583537,2.470218225276638,-0.2594201251982217,6
01027,Clay County,01,Alabama,nonmetro_nonadjacent,Q3,suppressed_1_9,2.524694444444445,2.0,2.0,4.0,3.038688625436944,2.4071733766624543,2.4071733766624543,4.814346753324909,0.3938888888888889,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,2.6937392268592157,2.8084542794090988,-0.16904478241477072,-0.1008714100422759,-0.9405859686399346,5
01029,Cleburne County,01,Alabama,nonmetro_adjacent,Q3,suppressed_1_9,1.3286666666666669,1.0,1.0,3.0,1.4462465077470998,1.088494611951671,1.088494611951671,3.2654838358550125,0.0527222222222222,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,2.919723125243504,3.0541820562591653,-1.591056458576837,-0.9104123285823275,-0.6984605099885675,8
01031,Coffee County,01,Alabama,nonmetro_adjacent,Q3,suppressed_1_9,4.3277777777777775,4.0,2.0,8.0,1.3252951376128184,1.224919767755212,0.612459883877606,2.449839535510424,0.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,9.840452514001305,11.36888065782355,-5.512674736223527,-1.6349463829098978,0.23653220158837848,5
01033,Colbert County,01,Alabama,metro_other,Q2,suppressed_1_9,7.054861111111111,7.0,4.0,9.0,2.054983501874838,2.039003218712224,1.165144696406985,2.6215755669157166,0.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,9.073366373082324,10.372549291190706,-2.018505261971213,-0.6267395944474585,0.17430098489105847,4
01035,Conecuh County,01,Alabama,nonmetro_nonadjacent,Q3,suppressed_1_9,4.8404444444444445,5.0,4.0,7.0,7.042182940926677,7.274314395868189,5.819451516694551,10.184040154215465,1.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,2.486446254820198,2.5830109472666694,2.3539981896242463,1.464680842260061,-0.5764460522414014,4
01037,Coosa County,01,Alabama,nonmetro_adjacent,Q2,zero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,1.8633131348499048,1.917662551379367,-1.8633131348499048,-1.3455497247729444,-0.03641381671050318,6
01039,Covington County,01,Alabama,nonmetro_adjacent,Q3,suppressed_1_9,3.819194444444444,4.0,2.0,7.0,1.6988921262626138,1.779319854985432,0.8896599274927159,3.1138097462245056,0.0524444444444444,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,7.689324467202262,8.619336465311687,-3.870130022757818,-1.318222253627956,0.2612623438899414,8
01041,Crenshaw County,01,Alabama,nonmetro_adjacent,Q3,suppressed_1_9,4.949222222222223,5.0,4.0,7.0,6.203898694121655,6.267549137585239,5.014039310068191,8.774568792619334,1.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,2.606835791140139,2.713149107305199,2.3423864310820837,1.4220724163550023,-0.5110820131904412,6
01043,Cullman County,01,Alabama,nonmetro_adjacent,Q2,exact,14.0,14.0,14.0,14.0,2.6263262947771224,2.6263262947788637,2.6263262947788637,2.6263262947788637,0.0,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,14.901279646947222,18.417807920908317,-0.9012796469472217,-0.21001029939221239,0.1320713284701868,6
01045,Dale County,01,Alabama,nonmetro_adjacent,Q4_highest,suppressed_1_9,7.176555555555556,7.0,4.0,9.0,2.4167148408193846,2.3572595174353017,1.347005438534458,3.03076223670253,0.2042222222222222,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,10.515692479963228,12.25426652596684,-3.339136924407672,-0.9538730245356164,0.8010037953744839,6
01047,Dallas County,01,Alabama,nonmetro_adjacent,Q4_highest,suppressed_1_9,5.4767777777777775,5.0,3.0,9.0,2.4963661870540323,2.279046446966589,1.3674278681799534,4.10228360453986,0.2583611111111111,Corrected constrained Bayesian posterior summary; not an observed or recovered suppressed count.,8.62093299001738,9.78618756658336,-3.1441552122396024,-1.0050720810262033,0.28708381246683345,6
