residual,state_fips,statistic,expected_under_randomization,permutation_p_two_sided,permutations,observations,nonisolated_observations,directed_weight_sum
raw_residual,01,-0.02870247318342716,-0.015151515151515152,0.792,999,67,67,67.0
raw_residual,02,0.12529862460079877,-0.038461538461538464,0.179,999,29,27,27.0
raw_residual,04,-0.18273815978843813,-0.07142857142857142,0.086,999,15,15,15.0
raw_residual,05,0.2811927013312733,-0.013513513513513514,0.002,999,75,75,75.0
raw_residual,06,0.09720917000155056,-0.017543859649122806,0.107,999,58,58,58.0
raw_residual,08,0.341162243469602,-0.015873015873015872,0.001,999,64,64,63.99999999999999
raw_residual,12,0.16029534554827654,-0.015151515151515152,0.024,999,67,67,67.0
raw_residual,13,-0.007471989674530107,-0.006329113924050633,0.984,999,159,159,159.0
raw_residual,16,-0.011600826699904816,-0.023255813953488372,0.891,999,44,44,44.0
raw_residual,17,0.3652607317413853,-0.009900990099009901,0.001,999,102,102,102.0
raw_residual,18,0.1207698547734263,-0.01098901098901099,0.031,999,92,92,92.0
raw_residual,19,0.06203982542596625,-0.01020408163265306,0.213,999,99,99,99.0
raw_residual,20,-0.04305283218788149,-0.009615384615384616,0.537,999,105,105,105.0
raw_residual,21,0.11805200648466317,-0.008403361344537815,0.028,999,120,120,120.0
raw_residual,22,0.09909319277354897,-0.015873015873015872,0.114,999,64,64,64.0
raw_residual,23,-0.08211702485770121,-0.06666666666666667,0.908,999,16,16,16.0
raw_residual,24,0.3544863693059449,-0.043478260869565216,0.009,999,24,24,24.0
raw_residual,25,0.031208073496424897,-0.07692307692307693,0.527,999,14,14,14.0
raw_residual,26,0.20746316233473924,-0.012195121951219513,0.008,999,83,83,83.0
raw_residual,27,0.232978609632206,-0.011627906976744186,0.003,999,87,87,87.0
raw_residual,28,0.22535728828017457,-0.012345679012345678,0.001,999,82,82,82.0
raw_residual,29,0.165442848615205,-0.008771929824561403,0.011,999,115,115,114.99999999999999
raw_residual,30,-0.020880672950544153,-0.01818181818181818,0.955,999,56,56,56.0
raw_residual,31,0.11883226726489031,-0.010869565217391304,0.014,999,93,93,93.0
raw_residual,32,0.052353179578141305,-0.0625,0.081,999,17,17,17.0
raw_residual,33,0.07975565315040557,-0.1111111111111111,0.296,999,10,10,10.0
raw_residual,34,0.27349309993851073,-0.05,0.026,999,21,21,20.999999999999996
raw_residual,35,-0.07481782931530744,-0.03125,0.618,999,33,33,33.0
raw_residual,36,0.6006256970627796,-0.01639344262295082,0.001,999,62,62,62.0
raw_residual,37,0.2863890863230353,-0.010101010101010102,0.001,999,100,100,100.0
raw_residual,38,0.04412429317159503,-0.019230769230769232,0.42,999,53,53,53.0
raw_residual,39,0.2950705489147078,-0.011494252873563218,0.001,999,88,88,87.99999999999999
raw_residual,40,0.025639064102334793,-0.013157894736842105,0.56,999,77,77,77.0
raw_residual,41,0.12372957179155296,-0.02857142857142857,0.053,999,36,36,35.99999999999999
raw_residual,42,0.31304869138747254,-0.015151515151515152,0.001,999,67,67,67.0
raw_residual,45,-0.07451492261748624,-0.022222222222222223,0.516,999,46,46,46.0
raw_residual,46,-0.010787528646383661,-0.015625,0.945,999,66,65,65.0
raw_residual,47,0.21501231744864804,-0.010638297872340425,0.003,999,95,95,95.0
raw_residual,48,0.16868369005832326,-0.003952569169960474,0.001,999,254,254,254.0
