scenario,model_family,model_type,n_rows,events,pearson_chi2,df_resid,overdispersion_ratio,aic
observed_exact_positive_only,rurality_only,GLM_negative_binomial_alpha1_robust,1077,50833.0,229.62189528142062,1071.0,0.21439952874082224,9600.809004499886
observed_exact_positive_only,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,1077,50833.0,229.2413786737742,1068.0,0.21464548564960131,9605.80452806832
observed_exact_positive_only,acs_component_family,GLM_negative_binomial_alpha1_robust,1077,50833.0,161.7151001000069,1066.0,0.15170272054409653,9553.33714851156
observed_exact_plus_zero,rurality_only,GLM_negative_binomial_alpha1_robust,1412,50833.0,523.7559799088934,1406.0,0.37251492169907074,10049.981336946072
observed_exact_plus_zero,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,1412,50833.0,523.0409682809344,1403.0,0.3728018305637451,10055.728319699985
observed_exact_plus_zero,acs_component_family,GLM_negative_binomial_alpha1_robust,1412,50833.0,433.0506938340927,1401.0,0.30910113764032315,10040.894962728993
suppressed_equals_1,rurality_only,GLM_negative_binomial_alpha1_robust,3131,52552.0,1978.67044915619,3125.0,0.6331745437299808,16022.84159829211
suppressed_equals_1,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,3131,52552.0,1975.66633678803,3122.0,0.6328207356784209,16025.398903171243
suppressed_equals_1,acs_component_family,GLM_negative_binomial_alpha1_robust,3131,52552.0,1944.0903978642705,3120.0,0.6231058967513687,16020.528642477104
suppressed_equals_5,rurality_only,GLM_negative_binomial_alpha1_robust,3131,59428.0,2529.5256143257748,3125.0,0.8094481965842479,20461.032960076926
suppressed_equals_5,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,3131,59428.0,2514.855427326103,3122.0,0.80552704270535,20464.32461547939
suppressed_equals_5,acs_component_family,GLM_negative_binomial_alpha1_robust,3131,59428.0,2504.9310503446823,3120.0,0.8028625161361161,20391.116643923146
suppressed_equals_9,rurality_only,GLM_negative_binomial_alpha1_robust,3131,66304.0,3952.2861289812863,3125.0,1.2647315612740115,23043.137292072817
suppressed_equals_9,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,3131,66304.0,3900.438725660915,3122.0,1.2493397583795371,23043.41282626468
suppressed_equals_9,acs_component_family,GLM_negative_binomial_alpha1_robust,3131,66304.0,3916.8175405466013,3120.0,1.25539023735468,22922.860492421147
population_scaled_residual_allocation,rurality_only,GLM_negative_binomial_alpha1_robust,3131,57817.43527186942,652.77345321379,3125.0,0.20888750502841283,18512.866573735882
population_scaled_residual_allocation,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,3131,57817.43527186942,652.3168146678362,3122.0,0.20894196498008846,18517.594866980577
population_scaled_residual_allocation,acs_component_family,GLM_negative_binomial_alpha1_robust,3131,57817.43527186942,604.6668292420304,3120.0,0.1938034709109072,18489.936118765974
conservative_anti_rural_allocation,rurality_only,GLM_negative_binomial_alpha1_robust,3131,57812.09100924799,1118.4139589153167,3125.0,0.3578924668529013,18563.05299392435
conservative_anti_rural_allocation,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,3131,57812.09100924799,1118.4777612795779,3122.0,0.35825681014720623,18566.954186850664
conservative_anti_rural_allocation,acs_component_family,GLM_negative_binomial_alpha1_robust,3131,57812.09100924799,1066.1963063363503,3120.0,0.3417295853642148,18550.550694366415
pro_rural_allocation,rurality_only,GLM_negative_binomial_alpha1_robust,3131,57818.54555727841,820.4387397914877,3125.0,0.26254039673327606,18710.672551117135
pro_rural_allocation,rurality_svi_composite,GLM_negative_binomial_alpha1_robust,3131,57818.54555727841,819.8913230348849,3122.0,0.2626173360137363,18715.38455735223
pro_rural_allocation,acs_component_family,GLM_negative_binomial_alpha1_robust,3131,57818.54555727841,761.6544290181437,3120.0,0.24412000930068709,18652.266632400344
