death_count_status,rows,section,urbanization,year,mcod_lower,mcod_upper,ucd_lower,ucd_upper
exact,504.0,ucd_county_suppression_profile,,,,,,
suppressed_1_9,1866.0,ucd_county_suppression_profile,,,,,,
zero,772.0,ucd_county_suppression_profile,,,,,,
,,uc_vs_mc_urbanization_year,Large Central Metro,2019.0,2153.0,2153.0,917.0,917.0
,,uc_vs_mc_urbanization_year,Large Central Metro,2020.0,2751.0,2751.0,1058.0,1058.0
,,uc_vs_mc_urbanization_year,Large Central Metro,2021.0,2741.0,2741.0,1112.0,1112.0
,,uc_vs_mc_urbanization_year,Large Central Metro,2022.0,3039.0,3039.0,1215.0,1215.0
,,uc_vs_mc_urbanization_year,Large Central Metro,2023.0,2944.0,2944.0,1124.0,1124.0
,,uc_vs_mc_urbanization_year,Large Central Metro,2024.0,2993.0,2993.0,1170.0,1170.0
,,uc_vs_mc_urbanization_year,Large Fringe Metro,2019.0,1592.0,1592.0,686.0,686.0
,,uc_vs_mc_urbanization_year,Large Fringe Metro,2020.0,1792.0,1792.0,691.0,691.0
,,uc_vs_mc_urbanization_year,Large Fringe Metro,2021.0,2012.0,2012.0,781.0,781.0
,,uc_vs_mc_urbanization_year,Large Fringe Metro,2022.0,2215.0,2215.0,869.0,869.0
,,uc_vs_mc_urbanization_year,Large Fringe Metro,2023.0,2165.0,2165.0,870.0,870.0
,,uc_vs_mc_urbanization_year,Large Fringe Metro,2024.0,2226.0,2226.0,842.0,842.0
,,uc_vs_mc_urbanization_year,Medium Metro,2019.0,1628.0,1628.0,628.0,628.0
,,uc_vs_mc_urbanization_year,Medium Metro,2020.0,1968.0,1968.0,721.0,721.0
,,uc_vs_mc_urbanization_year,Medium Metro,2021.0,2213.0,2213.0,835.0,835.0
,,uc_vs_mc_urbanization_year,Medium Metro,2022.0,2351.0,2351.0,865.0,865.0
,,uc_vs_mc_urbanization_year,Medium Metro,2023.0,2353.0,2353.0,823.0,823.0
,,uc_vs_mc_urbanization_year,Medium Metro,2024.0,2485.0,2485.0,931.0,931.0
,,uc_vs_mc_urbanization_year,Micropolitan (Nonmetro),2019.0,844.0,844.0,305.0,305.0
,,uc_vs_mc_urbanization_year,Micropolitan (Nonmetro),2020.0,1006.0,1006.0,359.0,359.0
,,uc_vs_mc_urbanization_year,Micropolitan (Nonmetro),2021.0,1026.0,1026.0,375.0,375.0
,,uc_vs_mc_urbanization_year,Micropolitan (Nonmetro),2022.0,1124.0,1124.0,387.0,387.0
,,uc_vs_mc_urbanization_year,Micropolitan (Nonmetro),2023.0,1154.0,1154.0,424.0,424.0
,,uc_vs_mc_urbanization_year,Micropolitan (Nonmetro),2024.0,1095.0,1095.0,367.0,367.0
,,uc_vs_mc_urbanization_year,NonCore (Nonmetro),2019.0,527.0,527.0,212.0,212.0
,,uc_vs_mc_urbanization_year,NonCore (Nonmetro),2020.0,686.0,686.0,237.0,237.0
,,uc_vs_mc_urbanization_year,NonCore (Nonmetro),2021.0,673.0,673.0,246.0,246.0
,,uc_vs_mc_urbanization_year,NonCore (Nonmetro),2022.0,755.0,755.0,265.0,265.0
,,uc_vs_mc_urbanization_year,NonCore (Nonmetro),2023.0,766.0,766.0,265.0,265.0
,,uc_vs_mc_urbanization_year,NonCore (Nonmetro),2024.0,803.0,803.0,294.0,294.0
,,uc_vs_mc_urbanization_year,Not Available,2019.0,76.0,76.0,37.0,37.0
,,uc_vs_mc_urbanization_year,Not Available,2020.0,67.0,67.0,30.0,30.0
,,uc_vs_mc_urbanization_year,Not Available,2021.0,99.0,99.0,50.0,50.0
,,uc_vs_mc_urbanization_year,Not Available,2022.0,91.0,91.0,43.0,43.0
,,uc_vs_mc_urbanization_year,Not Available,2023.0,103.0,103.0,50.0,50.0
,,uc_vs_mc_urbanization_year,Not Available,2024.0,119.0,119.0,56.0,56.0
,,uc_vs_mc_urbanization_year,Small Metro,2019.0,763.0,763.0,315.0,315.0
,,uc_vs_mc_urbanization_year,Small Metro,2020.0,877.0,877.0,336.0,336.0
,,uc_vs_mc_urbanization_year,Small Metro,2021.0,969.0,969.0,348.0,348.0
,,uc_vs_mc_urbanization_year,Small Metro,2022.0,1000.0,1000.0,354.0,354.0
,,uc_vs_mc_urbanization_year,Small Metro,2023.0,1061.0,1061.0,401.0,401.0
,,uc_vs_mc_urbanization_year,Small Metro,2024.0,1075.0,1075.0,412.0,412.0
